Country,Date,Bioenergy,Hydro,Wind,Solar
Bosnia and Herzegovina,2023-01-01,0.0,5489.2,0.0,0.0
Bosnia and Herzegovina,2023-01-02,0.0,8109.6,0.2,0.0
Bosnia and Herzegovina,2023-01-03,0.0,11186.3,40.4,0.0
Bosnia and Herzegovina,2023-01-04,0.0,9366.0,289.1,0.0
Bosnia and Herzegovina,2023-01-05,0.0,9151.7,14.6,0.0
Bosnia and Herzegovina,2023-01-06,0.0,8170.4,22.8,0.0
Bosnia and Herzegovina,2023-01-07,0.0,7112.0,16.7,0.0
Bosnia and Herzegovina,2023-01-08,0.0,6590.9,315.7,0.0
Bosnia and Herzegovina,2023-01-09,0.0,8354.4,1455.9,0.0
Bosnia and Herzegovina,2023-01-10,0.0,13073.199999999999,1137.3,0.0
Bosnia and Herzegovina,2023-01-11,0.0,12892.2,783.1,0.0
Bosnia and Herzegovina,2023-01-12,0.0,15524.2,972.3,0.0
Bosnia and Herzegovina,2023-01-13,0.0,16647.8,44.3,0.0
Bosnia and Herzegovina,2023-01-14,0.0,13640.8,798.8,0.0
Bosnia and Herzegovina,2023-01-15,0.0,10615.8,223.5,0.0
Bosnia and Herzegovina,2023-01-16,0.0,15806.199999999999,1078.8999999999999,0.0
Bosnia and Herzegovina,2023-01-17,0.0,18808.1,1433.5,0.0
Bosnia and Herzegovina,2023-01-18,0.0,24025.0,1495.8,0.0
Bosnia and Herzegovina,2023-01-19,0.0,28032.9,633.2,0.0
Bosnia and Herzegovina,2023-01-20,0.0,32311.5,365.0,0.0
Bosnia and Herzegovina,2023-01-21,0.0,28504.8,847.3,0.0
Bosnia and Herzegovina,2023-01-22,0.0,29916.4,455.3,0.0
Bosnia and Herzegovina,2023-01-23,0.0,33076.9,778.9,0.0
Bosnia and Herzegovina,2023-01-24,0.0,31551.1,515.2,0.0
Bosnia and Herzegovina,2023-01-25,0.0,31642.0,1425.2,0.0
Bosnia and Herzegovina,2023-01-26,0.0,28150.5,1652.3,0.0
Bosnia and Herzegovina,2023-01-27,0.0,29472.2,2113.4,0.0
Bosnia and Herzegovina,2023-01-28,0.0,26778.5,1727.0,0.0
Bosnia and Herzegovina,2023-01-29,0.0,20948.8,1528.2,0.0
Bosnia and Herzegovina,2023-01-30,0.0,24174.4,182.7,0.0
Bosnia and Herzegovina,2023-01-31,0.0,23728.7,1400.8,0.0
Bosnia and Herzegovina,2023-02-01,0.0,19242.6,96.3,0.0
Bosnia and Herzegovina,2023-02-02,0.0,19545.8,124.2,0.0
Bosnia and Herzegovina,2023-02-03,0.0,20807.4,503.90000000000003,0.0
Bosnia and Herzegovina,2023-02-04,0.0,21006.8,835.9,0.0
Bosnia and Herzegovina,2023-02-05,0.0,19749.5,1286.8,0.0
Bosnia and Herzegovina,2023-02-06,0.0,21921.6,1441.0,0.0
Bosnia and Herzegovina,2023-02-07,0.0,20322.4,1575.2,0.0
Bosnia and Herzegovina,2023-02-08,0.0,20965.8,1398.2,0.0
Bosnia and Herzegovina,2023-02-09,0.0,22512.2,641.7,0.0
Bosnia and Herzegovina,2023-02-10,0.0,21483.0,743.0,0.0
Bosnia and Herzegovina,2023-02-11,0.0,19623.7,396.3,0.0
Bosnia and Herzegovina,2023-02-12,0.0,15781.7,1034.1,0.0
Bosnia and Herzegovina,2023-02-13,0.0,18932.3,598.7,0.0
Bosnia and Herzegovina,2023-02-14,0.0,18629.9,1309.3,0.0
Bosnia and Herzegovina,2023-02-15,0.0,18622.9,408.0,0.0
Bosnia and Herzegovina,2023-02-16,0.0,22209.3,8.0,0.0
Bosnia and Herzegovina,2023-02-17,0.0,17536.4,35.3,0.0
Bosnia and Herzegovina,2023-02-18,0.0,17434.5,55.2,0.0
Bosnia and Herzegovina,2023-02-19,0.0,13746.2,5.3,0.0
Bosnia and Herzegovina,2023-02-20,0.0,16004.7,111.69999999999999,0.0
Bosnia and Herzegovina,2023-02-21,0.0,17056.9,43.8,0.0
Bosnia and Herzegovina,2023-02-22,0.0,18694.7,7.6,0.0
Bosnia and Herzegovina,2023-02-23,0.0,21007.1,8.9,0.0
Bosnia and Herzegovina,2023-02-24,0.0,20380.0,267.7,0.0
Bosnia and Herzegovina,2023-02-25,0.0,13897.2,1485.8,0.0
Bosnia and Herzegovina,2023-02-26,0.0,14565.6,823.0,0.0
Bosnia and Herzegovina,2023-02-27,0.0,24520.4,214.5,0.0
Bosnia and Herzegovina,2023-02-28,0.0,24394.4,502.1,0.0
Bosnia and Herzegovina,2023-03-01,0.0,25716.5,562.6,0.0
Bosnia and Herzegovina,2023-03-02,0.0,26334.5,199.70000000000002,0.0
Bosnia and Herzegovina,2023-03-03,0.0,28696.2,113.4,0.0
Bosnia and Herzegovina,2023-03-04,0.0,25188.9,839.8,0.0
Bosnia and Herzegovina,2023-03-05,0.0,22357.2,363.6,0.0
Bosnia and Herzegovina,2023-03-06,0.0,26037.5,425.4,0.0
Bosnia and Herzegovina,2023-03-07,0.0,22486.9,386.1,0.0
Bosnia and Herzegovina,2023-03-08,0.0,23104.0,610.9,0.0
Bosnia and Herzegovina,2023-03-09,0.0,22696.1,1032.3,0.0
Bosnia and Herzegovina,2023-03-10,0.0,26180.9,579.8,0.0
Bosnia and Herzegovina,2023-03-11,0.0,27252.7,359.1,0.0
Bosnia and Herzegovina,2023-03-12,0.0,24027.0,1154.1,0.0
Bosnia and Herzegovina,2023-03-13,0.0,26021.5,193.2,0.0
Bosnia and Herzegovina,2023-03-14,0.0,27737.4,793.4,0.0
Bosnia and Herzegovina,2023-03-15,0.0,28999.8,1286.0,0.0
Bosnia and Herzegovina,2023-03-16,0.0,25313.1,1681.9,0.0
Bosnia and Herzegovina,2023-03-17,0.0,22174.4,794.0,0.0
Bosnia and Herzegovina,2023-03-18,0.0,22721.5,12.4,0.0
Bosnia and Herzegovina,2023-03-19,0.0,21596.2,69.3,0.0
Bosnia and Herzegovina,2023-03-20,0.0,27049.6,41.9,0.0
Bosnia and Herzegovina,2023-03-21,0.0,23298.8,328.4,0.0
Bosnia and Herzegovina,2023-03-22,0.0,21808.4,360.5,0.0
Bosnia and Herzegovina,2023-03-23,0.0,24312.7,79.5,0.0
Bosnia and Herzegovina,2023-03-24,0.0,17399.2,39.5,0.0
Bosnia and Herzegovina,2023-03-25,0.0,17044.1,193.4,0.0
Bosnia and Herzegovina,2023-03-26,0.0,13990.0,319.1,0.0
Bosnia and Herzegovina,2023-03-27,0.0,19126.0,1052.5,0.0
Bosnia and Herzegovina,2023-03-28,0.0,16086.6,973.1,0.0
Bosnia and Herzegovina,2023-03-29,0.0,7642.7,39.2,0.0
Bosnia and Herzegovina,2023-03-30,0.0,7131.4,13.1,0.0
Bosnia and Herzegovina,2023-03-31,0.0,773.5,15.5,0.0
Bosnia and Herzegovina,2023-04-01,0.0,13287.6,114.5,0.0
Bosnia and Herzegovina,2023-04-02,0.0,12683.9,135.7,0.0
Bosnia and Herzegovina,2023-04-03,0.0,18597.7,1082.4,0.0
Bosnia and Herzegovina,2023-04-04,0.0,18302.6,1611.5,0.0
Bosnia and Herzegovina,2023-04-05,0.0,15547.2,1620.3,0.0
Bosnia and Herzegovina,2023-04-06,0.0,15179.0,1843.3,0.0
Bosnia and Herzegovina,2023-04-07,0.0,16089.1,368.1,0.0
Bosnia and Herzegovina,2023-04-08,0.0,15522.4,50.9,0.0
Bosnia and Herzegovina,2023-04-09,0.0,12211.7,804.4,0.0
Bosnia and Herzegovina,2023-04-10,0.0,10912.3,1538.7,0.0
Bosnia and Herzegovina,2023-04-11,0.0,13964.8,366.8,0.0
Bosnia and Herzegovina,2023-04-12,0.0,6879.8,186.9,0.0
Bosnia and Herzegovina,2023-04-13,0.0,11420.8,718.1,0.0
Bosnia and Herzegovina,2023-04-14,0.0,12890.0,512.6,0.0
Bosnia and Herzegovina,2023-04-15,0.0,11277.9,435.8,0.0
Bosnia and Herzegovina,2023-04-16,0.0,11778.2,500.8,0.0
Bosnia and Herzegovina,2023-04-17,0.0,11567.9,882.9,0.0
Bosnia and Herzegovina,2023-04-18,0.0,14729.0,387.2,0.0
Bosnia and Herzegovina,2023-04-19,0.0,19481.0,287.1,0.0
Bosnia and Herzegovina,2023-04-20,0.0,17200.8,42.3,0.0
Bosnia and Herzegovina,2023-04-21,0.0,16172.5,169.2,0.0
Bosnia and Herzegovina,2023-04-22,0.0,14733.4,181.9,0.0
Bosnia and Herzegovina,2023-04-23,0.0,12654.2,78.0,0.0
Bosnia and Herzegovina,2023-04-24,0.0,14032.7,592.3,0.0
Bosnia and Herzegovina,2023-04-25,0.0,9108.7,207.29999999999998,0.0
Bosnia and Herzegovina,2023-04-26,0.0,12387.7,989.3,0.0
Bosnia and Herzegovina,2023-04-27,0.0,20092.4,680.5,0.0
Bosnia and Herzegovina,2023-04-28,0.0,21506.2,219.0,0.0
Bosnia and Herzegovina,2023-04-29,0.0,15073.3,19.200000000000003,0.0
Bosnia and Herzegovina,2023-04-30,0.0,11447.3,307.1,0.0
Bosnia and Herzegovina,2023-05-01,0.0,8336.4,268.0,0.0
Bosnia and Herzegovina,2023-05-02,0.0,8980.9,242.1,0.0
Bosnia and Herzegovina,2023-05-03,0.0,13859.4,95.80000000000001,0.0
Bosnia and Herzegovina,2023-05-04,0.0,14733.8,916.6999999999999,0.0
Bosnia and Herzegovina,2023-05-05,0.0,14069.3,368.6,0.0
Bosnia and Herzegovina,2023-05-06,0.0,11487.2,109.7,0.0
Bosnia and Herzegovina,2023-05-07,0.0,8450.8,78.6,0.0
Bosnia and Herzegovina,2023-05-08,0.0,14458.7,157.3,0.0
Bosnia and Herzegovina,2023-05-09,0.0,12946.0,403.3,0.0
Bosnia and Herzegovina,2023-05-10,0.0,19906.0,53.6,0.0
Bosnia and Herzegovina,2023-05-11,0.0,21247.8,770.1,0.0
Bosnia and Herzegovina,2023-05-12,0.0,19510.7,527.2,0.0
Bosnia and Herzegovina,2023-05-13,0.0,24102.9,231.1,0.0
Bosnia and Herzegovina,2023-05-14,0.0,26447.0,1129.2,0.0
Bosnia and Herzegovina,2023-05-15,0.0,34208.7,668.0,0.0
Bosnia and Herzegovina,2023-05-16,0.0,35032.6,1227.8,0.0
Bosnia and Herzegovina,2023-05-17,0.0,35331.1,329.6,0.0
Bosnia and Herzegovina,2023-05-18,0.0,35727.6,911.3,0.0
Bosnia and Herzegovina,2023-05-19,0.0,32450.6,134.8,0.0
Bosnia and Herzegovina,2023-05-20,0.0,25623.2,106.8,0.0
Bosnia and Herzegovina,2023-05-21,0.0,22550.7,319.4,0.0
Bosnia and Herzegovina,2023-05-22,0.0,26189.6,177.9,0.0
Bosnia and Herzegovina,2023-05-23,0.0,23300.6,68.60000000000001,0.0
Bosnia and Herzegovina,2023-05-24,0.0,23263.1,123.4,0.0
Bosnia and Herzegovina,2023-05-25,0.0,22561.1,345.5,0.0
Bosnia and Herzegovina,2023-05-26,0.0,21694.4,1029.1,0.0
Bosnia and Herzegovina,2023-05-27,0.0,15097.2,1207.2,0.0
Bosnia and Herzegovina,2023-05-28,0.0,12463.3,744.6,0.0
Bosnia and Herzegovina,2023-05-29,0.0,18022.0,307.7,0.0
Bosnia and Herzegovina,2023-05-30,0.0,23442.4,115.5,0.0
Bosnia and Herzegovina,2023-05-31,0.0,21982.4,117.3,0.0
Bosnia and Herzegovina,2023-06-01,0.0,20233.7,86.7,0.0
Bosnia and Herzegovina,2023-06-02,0.0,18301.6,8.3,0.0
Bosnia and Herzegovina,2023-06-03,0.0,18189.9,61.4,0.0
Bosnia and Herzegovina,2023-06-04,0.0,15474.1,70.8,0.0
Bosnia and Herzegovina,2023-06-05,0.0,15322.9,11.9,0.0
Bosnia and Herzegovina,2023-06-06,0.0,19255.8,63.5,0.0
Bosnia and Herzegovina,2023-06-07,0.0,17423.7,45.199999999999996,0.0
Bosnia and Herzegovina,2023-06-08,0.0,14126.7,16.3,0.0
Bosnia and Herzegovina,2023-06-09,0.0,14314.7,54.5,0.0
Bosnia and Herzegovina,2023-06-10,0.0,12835.6,83.0,0.0
Bosnia and Herzegovina,2023-06-11,0.0,10935.9,95.9,0.0
Bosnia and Herzegovina,2023-06-12,0.0,16808.2,755.2,0.0
