Country,Date,Bioenergy,Hydro,Wind,Solar
Italy,2023-01-01,17548.0,50803.0,5948.0,28558.0
Italy,2023-01-02,16535.0,56956.0,18848.0,20857.0
Italy,2023-01-03,15293.0,66045.0,11422.0,17489.0
Italy,2023-01-04,14999.0,79354.0,17617.0,24595.0
Italy,2023-01-05,14401.0,63417.0,36201.0,27535.0
Italy,2023-01-06,14551.0,53027.0,14477.0,20535.0
Italy,2023-01-07,14477.0,48384.0,8731.0,20343.0
Italy,2023-01-08,14048.0,45656.0,70172.0,23111.0
Italy,2023-01-09,14424.0,65528.0,170824.0,11818.0
Italy,2023-01-10,14816.0,78952.0,160732.0,33881.0
Italy,2023-01-11,14654.0,75059.0,111472.0,33685.0
Italy,2023-01-12,15354.0,74401.0,68534.0,31160.0
Italy,2023-01-13,15267.0,71849.0,54292.0,23198.0
Italy,2023-01-14,15809.0,59971.0,64069.0,36220.0
Italy,2023-01-15,16067.0,47881.0,84321.0,24679.0
Italy,2023-01-16,16019.0,74264.0,147283.0,15147.0
Italy,2023-01-17,15607.0,74653.0,164579.0,9510.0
Italy,2023-01-18,16015.0,78826.0,141940.0,17877.0
Italy,2023-01-19,16484.0,100403.0,95545.0,22600.0
Italy,2023-01-20,16446.0,91344.0,102180.0,20343.0
Italy,2023-01-21,16354.0,83701.0,96203.0,23769.0
Italy,2023-01-22,16239.0,80664.0,31674.0,22577.0
Italy,2023-01-23,15828.0,87988.0,54333.0,19373.0
Italy,2023-01-24,15807.0,81727.0,33019.0,37434.0
Italy,2023-01-25,16096.0,77143.0,63818.0,24588.0
Italy,2023-01-26,16075.0,71735.0,80590.0,28190.0
Italy,2023-01-27,17204.0,82558.0,90308.0,33846.0
Italy,2023-01-28,17761.0,61811.0,46572.0,35571.0
Italy,2023-01-29,17920.0,60244.0,62257.0,47653.0
Italy,2023-01-30,16482.0,79148.0,60728.0,47511.0
Italy,2023-01-31,16974.0,69807.0,99721.0,50954.0
Italy,2023-02-01,17669.0,68058.0,79788.0,50709.0
Italy,2023-02-02,17461.0,72499.0,35554.0,53035.0
Italy,2023-02-03,17518.0,68434.0,66015.0,52285.0
Italy,2023-02-04,18122.0,54679.0,118303.0,48490.0
Italy,2023-02-05,17589.0,51649.0,160352.0,48477.0
