Country,Date,Bioenergy,Hydro,Wind,Solar
Montenegro,2023-01-01,0.0,0.0,0.0,0.0
Montenegro,2023-01-02,0.0,0.0,0.0,0.0
Montenegro,2023-01-03,0.0,0.0,177.3,0.0
Montenegro,2023-01-04,0.0,0.0,404.1,0.0
Montenegro,2023-01-05,0.0,0.0,98.1,0.0
Montenegro,2023-01-06,0.0,0.0,798.2,0.0
Montenegro,2023-01-07,0.0,0.0,105.7,0.0
Montenegro,2023-01-08,0.0,0.0,379.9,0.0
Montenegro,2023-01-09,0.0,0.0,2662.9,0.0
Montenegro,2023-01-10,0.0,0.0,1268.9,0.0
Montenegro,2023-01-11,0.0,0.0,1905.1,0.0
Montenegro,2023-01-12,0.0,0.0,1108.9,0.0
Montenegro,2023-01-13,0.0,0.0,88.3,0.0
Montenegro,2023-01-14,0.0,4833.0,806.9,0.0
Montenegro,2023-01-15,0.0,3741.2,377.8,0.0
Montenegro,2023-01-16,0.0,7907.1,2382.7,0.0
Montenegro,2023-01-17,0.0,8365.4,1833.9,0.0
Montenegro,2023-01-18,0.0,10088.1,1401.6,0.0
Montenegro,2023-01-19,0.0,10613.9,1734.6,0.0
Montenegro,2023-01-20,0.0,11696.0,550.5,0.0
Montenegro,2023-01-21,0.0,11085.1,1932.0,0.0
Montenegro,2023-01-22,0.0,11124.0,1685.7,0.0
Montenegro,2023-01-23,0.0,11203.0,1388.7,0.0
Montenegro,2023-01-24,0.0,12188.0,389.3,0.0
Montenegro,2023-01-25,0.0,12405.0,1463.3,0.0
Montenegro,2023-01-26,0.0,12538.9,1300.6,0.0
Montenegro,2023-01-27,0.0,12429.5,1739.9,0.0
Montenegro,2023-01-28,0.0,11454.2,1230.3,0.0
Montenegro,2023-01-29,0.0,11342.8,1593.7,0.0
Montenegro,2023-01-30,0.0,11291.8,248.0,0.0
Montenegro,2023-01-31,0.0,9748.6,2258.2,0.0
Montenegro,2023-02-01,0.0,10302.9,414.2,0.0
Montenegro,2023-02-02,0.0,11294.4,114.3,0.0
Montenegro,2023-02-03,0.0,11061.800000000001,895.3,0.0
Montenegro,2023-02-04,0.0,10208.6,876.5,0.0
Montenegro,2023-02-05,0.0,9505.5,1792.2,0.0
Montenegro,2023-02-06,0.0,11067.2,2304.7,0.0
Montenegro,2023-02-07,0.0,11155.5,2308.5,0.0
Montenegro,2023-02-08,0.0,9724.3,2405.8,0.0
Montenegro,2023-02-09,0.0,9207.1,1365.5,0.0
Montenegro,2023-02-10,0.0,8566.4,1166.2,0.0
Montenegro,2023-02-11,0.0,7072.7,618.5,0.0
Montenegro,2023-02-12,0.0,6048.0,1634.9,0.0
Montenegro,2023-02-13,0.0,9240.7,1176.8,0.0
Montenegro,2023-02-14,0.0,11453.8,1218.2,0.0
Montenegro,2023-02-15,0.0,9885.2,570.9,0.0
Montenegro,2023-02-16,0.0,10101.0,12.1,0.0
Montenegro,2023-02-17,0.0,9161.9,70.4,0.0
Montenegro,2023-02-18,0.0,3342.5,52.4,0.0
Montenegro,2023-02-19,0.0,3487.3,78.0,0.0
Montenegro,2023-02-20,0.0,7755.5,547.7,0.0
Montenegro,2023-02-21,0.0,8542.6,21.599999999999998,0.0
Montenegro,2023-02-22,0.0,9813.5,10.799999999999999,0.0
Montenegro,2023-02-23,0.0,9798.5,51.1,0.0
Montenegro,2023-02-24,0.0,7444.4,507.4,0.0
Montenegro,2023-02-25,0.0,3079.8,2745.5,0.0
Montenegro,2023-02-26,0.0,6180.5,1628.6,0.0
Montenegro,2023-02-27,0.0,9958.8,1336.3,0.0
Montenegro,2023-02-28,0.0,11433.5,977.1,0.0
Montenegro,2023-03-01,0.0,11349.2,895.1,0.0
Montenegro,2023-03-02,0.0,11314.4,358.8,0.0
Montenegro,2023-03-03,0.0,11229.1,194.6,0.0
Montenegro,2023-03-04,0.0,9598.0,1045.9,0.0
Montenegro,2023-03-05,0.0,9321.4,430.6,0.0
Montenegro,2023-03-06,0.0,11154.6,1208.6,0.0
Montenegro,2023-03-07,0.0,10471.0,965.9,0.0
Montenegro,2023-03-08,0.0,10290.1,1333.9,0.0
Montenegro,2023-03-09,0.0,9178.5,2313.5,0.0
Montenegro,2023-03-10,0.0,6899.1,2058.0,0.0
Montenegro,2023-03-11,0.0,8740.9,481.9,0.0
Montenegro,2023-03-12,0.0,8026.7,2167.7,0.0
Montenegro,2023-03-13,0.0,9184.6,635.6,0.0
Montenegro,2023-03-14,0.0,9770.8,1221.7,0.0
Montenegro,2023-03-15,0.0,9357.3,1608.6,0.0
Montenegro,2023-03-16,0.0,8093.8,2378.1,0.0
Montenegro,2023-03-17,0.0,7570.7,1264.2,0.0
Montenegro,2023-03-18,0.0,6885.9,254.0,0.0
Montenegro,2023-03-19,0.0,7298.3,139.0,0.0
Montenegro,2023-03-20,0.0,7880.2,49.0,0.0
Montenegro,2023-03-21,0.0,8046.3,670.9,0.0
Montenegro,2023-03-22,0.0,7399.3,817.7,0.0
Montenegro,2023-03-23,0.0,7040.9,233.1,0.0
Montenegro,2023-03-24,0.0,6298.0,250.1,0.0
Montenegro,2023-03-25,0.0,3515.3,288.7,0.0
Montenegro,2023-03-26,0.0,3504.2,605.9,0.0
Montenegro,2023-03-27,0.0,3699.4,1771.7,0.0
Montenegro,2023-03-28,0.0,6502.5,2396.3,0.0
Montenegro,2023-03-29,0.0,8341.2,785.2,0.0
Montenegro,2023-03-30,0.0,7138.6,186.5,0.0
Montenegro,2023-03-31,0.0,6070.0,811.5,0.0
Montenegro,2023-04-01,0.0,1689.2,1722.3,0.0
Montenegro,2023-04-02,0.0,2179.0,161.1,0.0
Montenegro,2023-04-03,0.0,6213.4,2446.8,0.0
Montenegro,2023-04-04,0.0,5848.8,2213.3,0.0
Montenegro,2023-04-05,0.0,5880.0,1032.7,0.0
Montenegro,2023-04-06,0.0,4669.2,864.2,0.0
Montenegro,2023-04-07,0.0,3683.3,589.1,0.0
Montenegro,2023-04-08,0.0,2698.2999999999997,22.8,0.0
Montenegro,2023-04-09,0.0,1801.6,1075.2,0.0
Montenegro,2023-04-10,0.0,1450.2,1902.5,0.0
Montenegro,2023-04-11,0.0,1398.5,1149.1,0.0
Montenegro,2023-04-12,0.0,1659.0,225.4,0.0
Montenegro,2023-04-13,0.0,1372.0,1263.9,0.0
Montenegro,2023-04-14,0.0,2100.7000000000003,1853.6,0.0
Montenegro,2023-04-15,0.0,2664.3,1546.4,0.0
Montenegro,2023-04-16,0.0,3594.2999999999997,404.3,0.0
Montenegro,2023-04-17,0.0,3746.5,513.4,0.0
Montenegro,2023-04-18,,,,
Montenegro,2023-05-01,0.0,4449.0,756.2,0.0
Montenegro,2023-05-02,0.0,5360.6,609.4,0.0
Montenegro,2023-05-03,0.0,5044.0,727.8,0.0
Montenegro,2023-05-04,0.0,3824.5,1141.1,0.0
Montenegro,2023-05-05,0.0,3808.0,1174.7,0.0
Montenegro,2023-05-06,0.0,2675.7999999999997,311.0,0.0
Montenegro,2023-05-07,0.0,2218.5,114.0,0.0
Montenegro,2023-05-08,0.0,4600.0,75.6,0.0
Montenegro,2023-05-09,0.0,4537.8,1122.3,0.0
Montenegro,2023-05-10,0.0,6076.6,534.3,0.0
Montenegro,2023-05-11,0.0,5946.6,1886.1,0.0
Montenegro,2023-05-12,0.0,9352.8,1477.7,0.0
Montenegro,2023-05-13,0.0,9493.2,717.4,0.0
Montenegro,2023-05-14,0.0,9923.4,2169.8,0.0
Montenegro,2023-05-15,0.0,12326.3,1887.1,0.0
Montenegro,2023-05-16,0.0,12225.6,2381.0,0.0
Montenegro,2023-05-17,0.0,12357.2,588.8,0.0
Montenegro,2023-05-18,0.0,12244.6,736.2,0.0
Montenegro,2023-05-19,0.0,12338.0,885.4,0.0
Montenegro,2023-05-20,0.0,11971.1,994.1,0.0
Montenegro,2023-05-21,0.0,11733.8,1476.5,0.0
Montenegro,2023-05-22,0.0,12349.6,756.7,0.0
Montenegro,2023-05-23,0.0,12367.6,165.9,0.0
Montenegro,2023-05-24,0.0,12365.0,101.8,0.0
Montenegro,2023-05-25,0.0,8888.6,752.2,0.0
Montenegro,2023-05-26,0.0,6856.1,1242.8,0.0
Montenegro,2023-05-27,0.0,4953.6,1660.4,0.0
Montenegro,2023-05-28,0.0,4256.3,1104.0,0.0
Montenegro,2023-05-29,0.0,4600.2,521.5,0.0
Montenegro,2023-05-30,0.0,6223.5,123.60000000000001,0.0
Montenegro,2023-05-31,0.0,6070.6,134.0,0.0
Montenegro,2023-06-01,0.0,5483.1,168.7,0.0
Montenegro,2023-06-02,0.0,5418.8,62.3,0.0
Montenegro,2023-06-03,0.0,2702.7,163.6,0.0
Montenegro,2023-06-04,0.0,2412.7,187.9,0.0
Montenegro,2023-06-05,0.0,4553.9,190.5,0.0
Montenegro,2023-06-06,0.0,2034.1,166.8,0.0
Montenegro,2023-06-07,0.0,3135.8,49.4,0.0
Montenegro,2023-06-08,0.0,2873.3,62.4,0.0
Montenegro,2023-06-09,0.0,2672.7,154.8,0.0
Montenegro,2023-06-10,0.0,999.6,159.6,0.0
Montenegro,2023-06-11,0.0,925.6,63.6,0.0
Montenegro,2023-06-12,0.0,2545.1,380.6,0.0
Montenegro,2023-06-13,0.0,2427.4,252.9,0.0
Montenegro,2023-06-14,0.0,2827.7,86.0,0.0
Montenegro,2023-06-15,0.0,3400.8,489.9,0.0
Montenegro,2023-06-16,0.0,2452.2,1429.1,0.0
Montenegro,2023-06-17,0.0,1291.0,1698.8,0.0
Montenegro,2023-06-18,0.0,1642.0,1187.3,0.0
Montenegro,2023-06-19,0.0,4480.6,402.8,0.0
Montenegro,2023-06-20,0.0,6127.7,106.1,0.0
Montenegro,2023-06-21,0.0,6292.1,13.8,0.0
Montenegro,2023-06-22,0.0,6033.3,235.6,0.0
Montenegro,2023-06-23,0.0,5135.7,63.4,0.0
Montenegro,2023-06-24,0.0,1823.0,496.2,0.0
Montenegro,2023-06-25,0.0,1311.2,617.5,0.0
