Country,Date,Bioenergy,Hydro,Wind,Solar
North Macedonia,2023-01-01,0.0,4405.1,160.2,0.0
North Macedonia,2023-01-02,0.0,6262.5,6.199999999999999,0.0
North Macedonia,2023-01-03,0.0,6963.5,491.0,0.0
North Macedonia,2023-01-04,0.0,8769.0,852.3,0.0
North Macedonia,2023-01-05,0.0,5198.8,406.1,0.0
North Macedonia,2023-01-06,0.0,8875.1,853.3,0.0
North Macedonia,2023-01-07,0.0,5963.7,0.0,0.0
North Macedonia,2023-01-08,0.0,6375.3,43.6,0.0
North Macedonia,2023-01-09,0.0,5861.8,156.8,0.0
North Macedonia,2023-01-10,0.0,5462.7,366.5,0.0
North Macedonia,2023-01-11,0.0,2013.0,861.4,0.0
North Macedonia,2023-01-12,0.0,2491.5,862.1,0.0
North Macedonia,2023-01-13,0.0,2070.5,726.1999999999999,0.0
North Macedonia,2023-01-14,0.0,2468.4,431.0,0.0
North Macedonia,2023-01-15,0.0,5050.4,349.4,0.0
North Macedonia,2023-01-16,0.0,4189.4,145.9,0.0
North Macedonia,2023-01-17,0.0,3620.0,257.3,0.0
North Macedonia,2023-01-18,0.0,2123.9,659.5,0.0
North Macedonia,2023-01-19,0.0,2120.7,578.7,0.0
North Macedonia,2023-01-20,0.0,2520.5,168.0,0.0
North Macedonia,2023-01-21,0.0,3114.8,232.2,0.0
North Macedonia,2023-01-22,0.0,2927.6,58.1,0.0
North Macedonia,2023-01-23,0.0,3758.8,562.0,0.0
North Macedonia,2023-01-24,0.0,5145.4,44.1,0.0
North Macedonia,2023-01-25,0.0,5593.0,51.7,0.0
North Macedonia,2023-01-26,0.0,6392.5,128.6,0.0
North Macedonia,2023-01-27,0.0,6355.0,819.3,0.0
North Macedonia,2023-01-28,0.0,6425.9,861.1,0.0
North Macedonia,2023-01-29,0.0,6192.2,853.1,0.0
North Macedonia,2023-01-30,0.0,4217.3,799.4,0.0
North Macedonia,2023-01-31,0.0,3504.0,690.1,0.0
North Macedonia,2023-02-01,0.0,4624.9,617.7,0.0
North Macedonia,2023-02-02,0.0,4743.0,203.39999999999998,0.0
North Macedonia,2023-02-03,0.0,3719.2,659.2,0.0
North Macedonia,2023-02-04,0.0,4895.5,506.9,0.0
North Macedonia,2023-02-05,0.0,6818.2,572.3000000000001,0.0
North Macedonia,2023-02-06,0.0,6397.9,837.2,0.0
North Macedonia,2023-02-07,0.0,8238.6,838.3,0.0
North Macedonia,2023-02-08,0.0,8324.1,536.5,0.0
North Macedonia,2023-02-09,0.0,5399.9,146.9,0.0
North Macedonia,2023-02-10,0.0,4481.1,92.6,0.0
North Macedonia,2023-02-11,0.0,3855.4,737.5,0.0
North Macedonia,2023-02-12,0.0,5486.2,833.4,0.0
North Macedonia,2023-02-13,0.0,3306.3,726.1,0.0
North Macedonia,2023-02-14,0.0,3280.5,858.4,0.0
North Macedonia,2023-02-15,0.0,4518.7,663.7,0.0
North Macedonia,2023-02-16,0.0,5745.6,71.0,0.0
North Macedonia,2023-02-17,0.0,5467.4,178.1,0.0
North Macedonia,2023-02-18,0.0,4618.9,274.7,0.0
North Macedonia,2023-02-19,0.0,5326.7,307.9,0.0
North Macedonia,2023-02-20,0.0,3300.1,710.6,0.0
North Macedonia,2023-02-21,0.0,3381.4,309.9,0.0
North Macedonia,2023-02-22,0.0,2998.1,271.90000000000003,0.0
North Macedonia,2023-02-23,0.0,2988.7,115.9,0.0
North Macedonia,2023-02-24,0.0,2730.2,87.5,0.0
North Macedonia,2023-02-25,0.0,2326.9,177.9,0.0
North Macedonia,2023-02-26,0.0,2163.8,451.7,0.0
North Macedonia,2023-02-27,0.0,3271.9,111.1,0.0
North Macedonia,2023-02-28,0.0,4119.599999999999,69.1,0.0
North Macedonia,2023-03-01,0.0,3969.0,45.6,0.0
North Macedonia,2023-03-02,0.0,3480.5,29.6,0.0
North Macedonia,2023-03-03,0.0,2151.9,7.5,0.0
North Macedonia,2023-03-04,0.0,1396.8,33.7,0.0
North Macedonia,2023-03-05,0.0,2442.5,575.1,0.0
North Macedonia,2023-03-06,0.0,4567.8,260.8,0.0
North Macedonia,2023-03-07,0.0,3680.7000000000003,59.5,0.0
North Macedonia,2023-03-08,0.0,4750.6,9.3,0.0
North Macedonia,2023-03-09,0.0,3512.0,29.0,0.0
North Macedonia,2023-03-10,0.0,4374.4,117.5,0.0
North Macedonia,2023-03-11,0.0,3984.0,163.4,0.0
North Macedonia,2023-03-12,0.0,5625.2,677.0,0.0
North Macedonia,2023-03-13,0.0,4444.0,388.3,0.0
North Macedonia,2023-03-14,0.0,4525.9,234.4,0.0
