Country,Date,Bioenergy,Hydro,Wind,Solar
Norway,2023-01-01,787.2,226484.2,45921.4,0.0
Norway,2023-01-02,674.0,401445.0,18329.8,0.0
Norway,2023-01-03,561.0,432940.6,25784.2,0.0
Norway,2023-01-04,633.5,321197.0,86639.8,0.0
Norway,2023-01-05,571.6,405095.7,74556.8,0.0
Norway,2023-01-06,552.6,373733.7,83892.4,0.0
Norway,2023-01-07,905.0,284854.9,79681.9,0.0
Norway,2023-01-08,909.1,265257.2,85140.3,0.0
Norway,2023-01-09,672.8,407383.60000000003,70631.6,0.0
Norway,2023-01-10,594.6,400854.4,54492.0,0.0
Norway,2023-01-11,544.8,288763.0,80276.0,0.0
Norway,2023-01-12,588.0,294019.8,47403.0,0.0
Norway,2023-01-13,634.9,309378.2,18359.4,0.0
Norway,2023-01-14,590.2,271621.0,38115.7,0.0
Norway,2023-01-15,587.3,243084.7,44557.2,0.0
Norway,2023-01-16,486.4,427964.4,19763.7,0.0
Norway,2023-01-17,458.3,419032.7,47744.7,0.0
Norway,2023-01-18,415.6,453392.4,32723.1,0.0
Norway,2023-01-19,403.1,512940.60000000003,27577.3,0.0
Norway,2023-01-20,369.0,541191.3,23259.3,0.0
Norway,2023-01-21,496.6,507151.10000000003,42002.3,0.0
Norway,2023-01-22,469.7,486936.8,53700.8,0.0
Norway,2023-01-23,448.5,502411.2,69009.1,0.0
Norway,2023-01-24,382.0,470110.9,59102.0,0.0
Norway,2023-01-25,368.6,442742.3,67855.0,0.0
Norway,2023-01-26,370.1,484961.4,43956.0,0.0
Norway,2023-01-27,382.7,497797.2,55552.6,0.0
Norway,2023-01-28,600.7,446596.4,72507.4,0.0
Norway,2023-01-29,548.4,336138.3,74395.2,0.0
Norway,2023-01-30,486.3,312511.7,76954.1,0.0
Norway,2023-01-31,392.0,423113.3,40822.2,0.0
Norway,2023-02-01,370.6,409790.6,30679.7,0.0
Norway,2023-02-02,348.6,510786.3,21844.1,0.0
Norway,2023-02-03,295.1,432917.0,38549.9,0.0
Norway,2023-02-04,481.8,518356.10000000003,49620.1,0.0
Norway,2023-02-05,475.1,413056.6,59859.4,0.0
Norway,2023-02-06,269.3,495781.9,53022.1,0.0
