Country,Date,Bioenergy,Hydro,Wind,Solar
Portugal,2023-01-01,8742.3,58593.1,76684.3,2928.1
Portugal,2023-01-02,8312.7,105402.0,12169.9,5493.4
Portugal,2023-01-03,8231.9,107820.2,9766.0,7166.5
Portugal,2023-01-04,7849.1,107453.8,8896.8,6986.5
Portugal,2023-01-05,8093.2,111679.2,10762.6,6678.900000000001
Portugal,2023-01-06,8157.5,110508.1,22568.6,5047.099999999999
Portugal,2023-01-07,8506.2,86262.6,90179.9,2757.7000000000003
Portugal,2023-01-08,8911.3,73338.2,97207.3,2186.0
Portugal,2023-01-09,8342.8,103277.2,27949.6,3904.5
Portugal,2023-01-10,8624.9,102722.90000000001,29675.1,1931.8999999999999
Portugal,2023-01-11,8848.7,95567.4,36896.0,5053.0
Portugal,2023-01-12,8660.1,108253.0,13180.8,6831.8
Portugal,2023-01-13,8638.2,113398.4,11694.4,6750.4
Portugal,2023-01-14,8990.1,102692.4,33943.8,4986.099999999999
Portugal,2023-01-15,8862.3,67173.1,66047.3,5451.1
Portugal,2023-01-16,8701.9,71501.1,106323.4,3475.1
Portugal,2023-01-17,8345.4,93631.9,105878.4,4416.1
Portugal,2023-01-18,8230.6,110193.4,63019.7,6256.1
Portugal,2023-01-19,8323.2,92189.4,61920.2,4810.1
Portugal,2023-01-20,8580.8,97528.4,60636.4,3428.9
Portugal,2023-01-21,8624.4,91319.6,47889.5,6032.4
Portugal,2023-01-22,8338.8,64355.8,41725.4,8667.3
Portugal,2023-01-23,7990.9,87194.6,42990.4,8511.3
Portugal,2023-01-24,7997.0,102961.9,47067.4,8480.4
Portugal,2023-01-25,8192.3,103658.7,35634.3,8666.9
Portugal,2023-01-26,8283.0,100062.5,45170.1,5366.8
Portugal,2023-01-27,8498.1,83402.0,53121.4,8630.2
Portugal,2023-01-28,8910.6,72103.8,48088.6,9309.1
Portugal,2023-01-29,8602.6,68374.5,56464.5,9339.7
Portugal,2023-01-30,8433.9,88606.7,35663.3,8903.9
Portugal,2023-01-31,8529.5,82993.7,16150.7,9027.0
Portugal,2023-02-01,8602.8,86852.3,35849.1,9140.4
Portugal,2023-02-02,8485.3,82154.5,31624.5,9246.9
Portugal,2023-02-03,8303.7,82445.6,14262.2,9315.9
Portugal,2023-02-04,8334.3,69000.1,20390.1,9744.3
Portugal,2023-02-05,8472.8,41819.4,56786.6,9946.2
Portugal,2023-02-06,8334.9,57816.3,64947.7,9567.3
Portugal,2023-02-07,7947.2,66493.8,52196.4,5987.9
Portugal,2023-02-08,8722.4,65191.2,79356.0,3493.5
Portugal,2023-02-09,9054.0,56887.7,59731.8,8180.5
Portugal,2023-02-10,9032.1,52779.1,77427.8,6645.4
Portugal,2023-02-11,8874.4,52403.0,82892.2,5622.599999999999
Portugal,2023-02-12,8595.8,44115.9,61408.1,4403.5
Portugal,2023-02-13,8783.8,52691.7,60026.9,8110.6
Portugal,2023-02-14,9074.1,35555.7,72288.9,7067.099999999999
Portugal,2023-02-15,8602.9,45586.4,38400.700000000004,6779.0
Portugal,2023-02-16,7761.5,49108.5,28362.7,9647.6
Portugal,2023-02-17,8388.4,33672.9,64809.1,6271.0
Portugal,2023-02-18,9194.3,25298.6,42558.5,7558.0
Portugal,2023-02-19,9134.9,25442.6,25169.8,4179.7
Portugal,2023-02-20,8892.9,39469.0,22259.8,5327.3
Portugal,2023-02-21,8789.0,46498.8,9990.0,7546.7
Portugal,2023-02-22,8398.6,48382.5,24485.1,6645.900000000001
Portugal,2023-02-23,8501.8,37949.7,53916.8,10407.0
Portugal,2023-02-24,8938.6,43682.2,7366.1,9324.5
Portugal,2023-02-25,8051.0,41863.9,8538.6,6398.8
Portugal,2023-02-26,8311.7,24635.0,13375.6,8262.9
Portugal,2023-02-27,8209.7,31957.9,28682.3,7753.6
Portugal,2023-02-28,7676.0,36048.8,37655.3,10341.5
Portugal,2023-03-01,7810.0,36698.3,20145.4,11405.9
Portugal,2023-03-02,8047.2,39546.6,4287.9,11631.2
Portugal,2023-03-03,8396.9,37930.1,4348.7,11120.0
Portugal,2023-03-04,8302.1,35086.7,20815.5,5675.9
Portugal,2023-03-05,8363.9,38515.4,30739.7,2839.4
Portugal,2023-03-06,7945.0,45433.4,35783.5,2608.8
Portugal,2023-03-07,7776.9,26851.9,59656.8,5934.2
Portugal,2023-03-08,7666.3,29835.8,87007.4,4565.0
Portugal,2023-03-09,7700.9,26843.1,89527.2,6727.0
Portugal,2023-03-10,7891.5,31070.1,46436.1,9421.3
Portugal,2023-03-11,7702.5,22189.3,57337.0,6191.8
Portugal,2023-03-12,7980.7,28268.7,14283.2,10036.0
Portugal,2023-03-13,8040.3,17546.9,78114.7,8800.8
Portugal,2023-03-14,8148.8,36064.0,23711.3,11308.1
Portugal,2023-03-15,8205.6,43734.3,15800.0,12227.4
Portugal,2023-03-16,8170.1,34743.5,50158.5,9502.7
Portugal,2023-03-17,8189.8,35032.0,68138.9,7832.8
Portugal,2023-03-18,8474.7,41931.4,36492.0,8493.8
Portugal,2023-03-19,8361.3,38730.6,10685.4,12651.9
Portugal,2023-03-20,8757.3,39519.6,15987.3,12114.7
Portugal,2023-03-21,8925.5,48486.0,16036.6,12326.2
Portugal,2023-03-22,9087.9,42059.700000000004,17463.8,11588.8
Portugal,2023-03-23,9007.4,33463.3,37183.4,9686.0
Portugal,2023-03-24,9239.1,36633.9,35532.7,7775.0
Portugal,2023-03-25,9265.6,33757.4,32036.5,12393.3
