Country,Date,Bioenergy,Hydro,Wind,Solar
Serbia,2023-01-01,720.0,28524.0,1934.3,0.0
Serbia,2023-01-02,720.0,32003.0,1158.2,0.0
Serbia,2023-01-03,720.0,32727.0,643.2,0.0
Serbia,2023-01-04,720.0,33754.0,711.6,0.0
Serbia,2023-01-05,720.0,32270.0,3636.4,0.0
Serbia,2023-01-06,720.0,28785.0,4446.9,0.0
Serbia,2023-01-07,720.0,25642.0,2693.6,0.0
Serbia,2023-01-08,720.0,27983.0,4723.8,0.0
Serbia,2023-01-09,720.0,28254.0,8772.9,0.0
Serbia,2023-01-10,720.0,33604.0,3661.9,0.0
Serbia,2023-01-11,720.0,31514.0,3189.2,0.0
Serbia,2023-01-12,720.0,34128.0,155.20000000000002,0.0
Serbia,2023-01-13,720.0,30391.0,2099.5,0.0
Serbia,2023-01-14,720.0,31065.0,679.6,0.0
Serbia,2023-01-15,720.0,29496.0,6182.900000000001,0.0
Serbia,2023-01-16,720.0,37263.0,8457.0,0.0
Serbia,2023-01-17,720.0,35243.0,7038.2,0.0
Serbia,2023-01-18,720.0,40725.0,5293.2,0.0
Serbia,2023-01-19,720.0,41595.0,5035.9,0.0
Serbia,2023-01-20,720.0,43636.0,3404.1,0.0
Serbia,2023-01-21,720.0,45921.0,641.8,0.0
Serbia,2023-01-22,720.0,44687.0,451.9,0.0
Serbia,2023-01-23,720.0,44215.0,7283.2,0.0
Serbia,2023-01-24,720.0,45269.0,5744.0,0.0
Serbia,2023-01-25,720.0,51675.0,1721.9,0.0
Serbia,2023-01-26,720.0,48198.0,2888.2,0.0
Serbia,2023-01-27,720.0,45871.0,1761.3,0.0
Serbia,2023-01-28,720.0,42467.0,2636.5,0.0
Serbia,2023-01-29,720.0,41615.0,2105.0,0.0
Serbia,2023-01-30,720.0,46441.0,392.8,0.0
Serbia,2023-01-31,720.0,47198.0,6741.0,0.0
Serbia,2023-02-01,720.0,45199.0,2999.4,0.0
Serbia,2023-02-02,720.0,45327.0,5020.5,0.0
Serbia,2023-02-03,720.0,42744.0,4301.8,0.0
Serbia,2023-02-04,720.0,38822.0,8464.3,0.0
Serbia,2023-02-05,720.0,37213.0,8238.8,0.0
Serbia,2023-02-06,720.0,48673.0,4270.3,0.0
Serbia,2023-02-07,720.0,47875.0,1909.3,0.0
Serbia,2023-02-08,720.0,42997.0,1285.4,0.0
Serbia,2023-02-09,720.0,41447.0,5168.6,0.0
Serbia,2023-02-10,720.0,42561.0,1229.4,0.0
Serbia,2023-02-11,720.0,41703.0,272.5,0.0
Serbia,2023-02-12,720.0,34274.0,2454.0,0.0
Serbia,2023-02-13,720.0,37477.0,292.7,0.0
Serbia,2023-02-14,720.0,34504.0,2041.6,0.0
Serbia,2023-02-15,720.0,31663.0,858.5,0.0
Serbia,2023-02-16,720.0,33980.0,684.9,0.0
Serbia,2023-02-17,720.0,26818.0,646.2,0.0
Serbia,2023-02-18,720.0,26419.0,2375.5,0.0
Serbia,2023-02-19,720.0,20956.0,4322.2,0.0
Serbia,2023-02-20,720.0,25299.0,3569.5,0.0
Serbia,2023-02-21,720.0,26531.0,2712.1,0.0
Serbia,2023-02-22,720.0,31279.0,535.7,0.0
Serbia,2023-02-23,720.0,33446.0,2557.0,0.0
Serbia,2023-02-24,720.0,32776.0,5578.0,0.0
Serbia,2023-02-25,720.0,34724.0,5043.3,0.0
Serbia,2023-02-26,720.0,34007.0,3141.3,0.0
Serbia,2023-02-27,720.0,48793.0,1375.7,0.0
Serbia,2023-02-28,720.0,51267.0,179.0,0.0
Serbia,2023-03-01,720.0,49571.0,1566.6,0.0
Serbia,2023-03-02,720.0,48362.0,4620.8,0.0
Serbia,2023-03-03,720.0,49764.0,547.2,0.0
Serbia,2023-03-04,720.0,45987.0,696.6,0.0
Serbia,2023-03-05,720.0,45002.0,2935.4,0.0
Serbia,2023-03-06,720.0,48216.0,1834.9,0.0
Serbia,2023-03-07,720.0,47164.0,474.5,0.0
Serbia,2023-03-08,720.0,44324.0,2435.0,0.0
Serbia,2023-03-09,720.0,46094.0,4817.9,0.0
Serbia,2023-03-10,720.0,52179.0,4196.4,0.0
Serbia,2023-03-11,720.0,44005.0,4462.2,0.0
Serbia,2023-03-12,720.0,45504.0,3016.4,0.0
Serbia,2023-03-13,720.0,50574.0,3734.9,0.0
Serbia,2023-03-14,720.0,48903.0,8659.7,0.0
Serbia,2023-03-15,720.0,50679.0,5946.2,0.0
Serbia,2023-03-16,720.0,48296.0,8090.0,0.0
Serbia,2023-03-17,720.0,49920.0,931.4,0.0
Serbia,2023-03-18,720.0,44107.0,5695.2,0.0
Serbia,2023-03-19,720.0,41284.0,4430.9,0.0
Serbia,2023-03-20,720.0,49222.0,1140.4,0.0
Serbia,2023-03-21,720.0,42827.0,1494.6,0.0
Serbia,2023-03-22,720.0,48666.0,593.5,0.0
Serbia,2023-03-23,720.0,37034.0,1523.8999999999999,0.0
Serbia,2023-03-24,720.0,37708.0,3331.2,0.0
Serbia,2023-03-25,720.0,31859.0,1885.4,0.0
Serbia,2023-03-26,690.0,31209.0,2475.7,0.0
Serbia,2023-03-27,720.0,37278.0,6956.3,0.0
Serbia,2023-03-28,720.0,39601.0,8081.3,0.0
Serbia,2023-03-29,720.0,35179.0,3648.9,0.0
Serbia,2023-03-30,720.0,36422.0,1765.2,0.0
Serbia,2023-03-31,720.0,36523.0,2033.3,0.0
Serbia,2023-04-01,720.0,31029.0,3933.7999999999997,0.0
Serbia,2023-04-02,720.0,28219.0,2280.9,0.0
Serbia,2023-04-03,720.0,42662.0,5923.7,0.0
Serbia,2023-04-04,720.0,44932.0,5298.8,0.0
Serbia,2023-04-05,720.0,46172.0,4526.2,0.0
Serbia,2023-04-06,720.0,48583.0,2505.0,0.0
Serbia,2023-04-07,720.0,49271.0,243.9,0.0
Serbia,2023-04-08,720.0,49239.0,171.7,0.0
Serbia,2023-04-09,720.0,39576.0,567.6,0.0
Serbia,2023-04-10,720.0,41416.0,2355.6,0.0
Serbia,2023-04-11,720.0,40320.0,508.9,0.0
Serbia,2023-04-12,720.0,33071.0,4562.5,0.0
Serbia,2023-04-13,720.0,35796.0,2792.4,0.0
Serbia,2023-04-14,720.0,34479.0,4588.1,0.0
Serbia,2023-04-15,720.0,34762.0,1684.8,0.0
Serbia,2023-04-16,720.0,33905.0,2507.6,0.0
Serbia,2023-04-17,720.0,38901.0,1381.6,0.0
Serbia,2023-04-18,720.0,44478.0,1303.6,0.0
Serbia,2023-04-19,720.0,42812.0,1496.2,0.0
Serbia,2023-04-20,720.0,46569.0,1887.1,0.0
Serbia,2023-04-21,720.0,50568.0,1328.5,0.0
Serbia,2023-04-22,720.0,44354.0,444.9,0.0
Serbia,2023-04-23,720.0,43125.0,3803.7,0.0
Serbia,2023-04-24,720.0,46628.0,5518.7,0.0
Serbia,2023-04-25,720.0,49125.0,3664.0,0.0
Serbia,2023-04-26,720.0,46481.0,4341.400000000001,0.0
Serbia,2023-04-27,720.0,46407.0,3145.1,0.0
Serbia,2023-04-28,720.0,47937.0,187.5,0.0
Serbia,2023-04-29,720.0,50342.0,1209.8,0.0
Serbia,2023-04-30,720.0,46763.0,704.6999999999999,0.0
Serbia,2023-05-01,720.0,42617.0,1932.5,0.0
Serbia,2023-05-02,720.0,38353.0,8227.4,0.0
Serbia,2023-05-03,720.0,39519.0,4655.7,0.0
Serbia,2023-05-04,720.0,44711.0,602.8,0.0
Serbia,2023-05-05,720.0,41997.0,266.8,0.0
Serbia,2023-05-06,720.0,32324.0,2133.5,0.0
Serbia,2023-05-07,720.0,34352.0,3011.6,0.0
Serbia,2023-05-08,720.0,39338.0,2020.3999999999999,0.0
Serbia,2023-05-09,720.0,40761.0,3171.7,0.0
Serbia,2023-05-10,720.0,37349.0,7915.1,0.0
Serbia,2023-05-11,720.0,44074.0,8472.8,0.0
Serbia,2023-05-12,720.0,47278.0,8403.6,0.0
Serbia,2023-05-13,720.0,36977.0,6719.6,0.0
Serbia,2023-05-14,720.0,42274.0,8505.2,0.0
Serbia,2023-05-15,720.0,44344.0,7622.3,0.0
Serbia,2023-05-16,720.0,41799.0,6794.3,0.0
Serbia,2023-05-17,720.0,48861.0,2262.8,0.0
Serbia,2023-05-18,720.0,51531.0,1340.7,0.0
Serbia,2023-05-19,720.0,49539.0,636.7,0.0
Serbia,2023-05-20,720.0,43430.0,2506.2999999999997,0.0
Serbia,2023-05-21,720.0,43955.0,2626.0,0.0
Serbia,2023-05-22,720.0,43620.0,852.7,0.0
Serbia,2023-05-23,720.0,43707.0,243.0,0.0
Serbia,2023-05-24,720.0,40445.0,295.2,0.0
Serbia,2023-05-25,720.0,38478.0,706.1,0.0
Serbia,2023-05-26,720.0,40958.0,1354.8,0.0
Serbia,2023-05-27,720.0,38268.0,826.9,0.0
Serbia,2023-05-28,720.0,38948.0,293.5,0.0
Serbia,2023-05-29,720.0,39395.0,717.0,0.0
Serbia,2023-05-30,720.0,41398.0,680.5,0.0
Serbia,2023-05-31,720.0,44527.0,596.2,0.0
Serbia,2023-06-01,720.0,44293.0,179.6,0.0
Serbia,2023-06-02,720.0,42682.0,179.9,0.0
Serbia,2023-06-03,720.0,39296.0,1532.9,0.0
Serbia,2023-06-04,720.0,36523.0,4607.8,0.0
Serbia,2023-06-05,720.0,42140.0,4222.9,0.0
Serbia,2023-06-06,720.0,44618.0,6006.1,0.0
Serbia,2023-06-07,720.0,46825.0,4280.2,0.0
Serbia,2023-06-08,720.0,44130.0,3089.4,0.0
Serbia,2023-06-09,720.0,44146.0,803.0,0.0
Serbia,2023-06-10,720.0,40971.0,361.5,0.0
Serbia,2023-06-11,720.0,37753.0,222.70000000000002,0.0
Serbia,2023-06-12,720.0,44921.0,189.8,0.0
Serbia,2023-06-13,720.0,42296.0,663.5,0.0
Serbia,2023-06-14,720.0,50637.0,632.7,0.0
Serbia,2023-06-15,720.0,51612.0,393.4,0.0
Serbia,2023-06-16,720.0,53233.0,3640.9,0.0
Serbia,2023-06-17,720.0,46883.0,1342.7,0.0
Serbia,2023-06-18,720.0,47338.0,814.3000000000001,0.0
Serbia,2023-06-19,720.0,47334.0,148.70000000000002,0.0
Serbia,2023-06-20,720.0,48429.0,299.8,0.0
Serbia,2023-06-21,720.0,51998.0,80.1,0.0
Serbia,2023-06-22,720.0,54323.0,869.4,0.0
Serbia,2023-06-23,720.0,52924.0,2228.9,0.0
Serbia,2023-06-24,720.0,43601.0,2268.9,0.0
Serbia,2023-06-25,720.0,34163.0,1440.8,0.0
Serbia,2023-06-26,720.0,40234.0,948.3,0.0
Serbia,2023-06-27,720.0,36846.0,1983.1,0.0
Serbia,2023-06-28,720.0,35954.0,1812.5,0.0
Serbia,2023-06-29,720.0,35098.0,1480.5,0.0
Serbia,2023-06-30,720.0,39283.0,299.3,0.0
Serbia,2023-07-01,720.0,32173.0,1288.2,0.0
Serbia,2023-07-02,720.0,27214.0,905.0,0.0
Serbia,2023-07-03,720.0,32244.0,778.2,0.0
Serbia,2023-07-04,720.0,30395.0,432.6,0.0
Serbia,2023-07-05,720.0,33811.0,230.6,0.0
Serbia,2023-07-06,720.0,39525.0,1429.3,0.0
Serbia,2023-07-07,720.0,31807.0,2303.7,0.0
Serbia,2023-07-08,720.0,26903.0,2606.3,0.0
Serbia,2023-07-09,720.0,23458.0,1184.7,0.0
Serbia,2023-07-10,720.0,30091.0,1467.1,0.0
Serbia,2023-07-11,720.0,34320.0,1258.7,0.0
Serbia,2023-07-12,720.0,26298.0,694.0,0.0
Serbia,2023-07-13,720.0,25861.0,1111.0,0.0
Serbia,2023-07-14,720.0,24895.0,1202.8999999999999,0.0
Serbia,2023-07-15,720.0,18956.0,352.3,0.0
Serbia,2023-07-16,720.0,21882.0,1543.5,0.0
Serbia,2023-07-17,720.0,29699.0,124.3,0.0
Serbia,2023-07-18,720.0,29786.0,1002.8,0.0
Serbia,2023-07-19,720.0,22919.0,1144.9,0.0
Serbia,2023-07-20,720.0,20916.0,537.2,0.0
Serbia,2023-07-21,720.0,20394.0,1697.6,0.0
Serbia,2023-07-22,720.0,17648.0,744.4,0.0
Serbia,2023-07-23,720.0,17693.0,315.7,0.0
Serbia,2023-07-24,720.0,25758.0,1968.5,0.0
Serbia,2023-07-25,720.0,21396.0,3556.8,0.0
Serbia,2023-07-26,720.0,20637.0,4059.0,0.0
Serbia,2023-07-27,720.0,19837.0,3027.4,0.0
Serbia,2023-07-28,720.0,26960.0,581.1,0.0
Serbia,2023-07-29,720.0,20890.0,180.3,0.0
Serbia,2023-07-30,720.0,17362.0,701.0,0.0
Serbia,2023-07-31,720.0,20714.0,1942.1,0.0
Serbia,2023-08-01,720.0,23200.0,1482.2,0.0
Serbia,2023-08-02,720.0,26223.0,1006.0,0.0
Serbia,2023-08-03,720.0,30164.0,1296.3,0.0
Serbia,2023-08-04,720.0,29862.0,2737.3,0.0
Serbia,2023-08-05,720.0,19478.0,3175.1,0.0
Serbia,2023-08-06,720.0,19651.0,1868.6000000000001,0.0
Serbia,2023-08-07,720.0,23990.0,1229.1,0.0
Serbia,2023-08-08,720.0,22408.0,1275.8,0.0
Serbia,2023-08-09,720.0,23748.0,172.5,0.0
Serbia,2023-08-10,720.0,27814.0,633.5,0.0
Serbia,2023-08-11,720.0,26480.0,662.9,0.0
Serbia,2023-08-12,720.0,25155.0,314.1,0.0
Serbia,2023-08-13,720.0,24219.0,25.8,0.0
Serbia,2023-08-14,720.0,30215.0,402.5,0.0
Serbia,2023-08-15,720.0,27385.0,4142.3,0.0
