Country,Date,Bioenergy,Hydro,Wind,Solar
Spain,2023-01-01,9476.0,93369.0,160794.0,30646.0
Spain,2023-01-02,12831.0,158552.0,102125.0,28335.0
Spain,2023-01-03,15218.0,168353.0,71514.0,52488.0
Spain,2023-01-04,15071.0,159163.0,68237.0,58221.0
Spain,2023-01-05,14790.0,159135.0,46564.0,58748.0
Spain,2023-01-06,14896.0,147339.0,84277.0,53654.0
Spain,2023-01-07,10569.0,100973.0,301094.0,33560.0
Spain,2023-01-08,10381.0,91076.0,373793.0,16105.0
Spain,2023-01-09,13536.0,124427.0,302202.0,46826.0
Spain,2023-01-10,15349.0,167795.0,209134.0,45395.0
Spain,2023-01-11,16016.0,169815.0,198757.0,35626.0
Spain,2023-01-12,15232.0,178113.0,148612.0,59766.0
Spain,2023-01-13,15078.0,188145.0,153860.0,54086.0
Spain,2023-01-14,14490.0,157994.0,179543.0,56921.0
Spain,2023-01-15,13569.0,99591.0,284982.0,41202.0
Spain,2023-01-16,10827.0,129427.0,400007.0,28994.0
Spain,2023-01-17,9428.0,120670.0,392623.0,34494.0
Spain,2023-01-18,8960.0,131018.0,358125.0,55150.0
Spain,2023-01-19,9322.0,130243.0,367295.0,59755.0
Spain,2023-01-20,13006.0,147485.0,275999.0,52238.0
Spain,2023-01-21,13403.0,127140.0,268166.0,57669.0
Spain,2023-01-22,11529.0,121530.0,289995.0,76400.0
Spain,2023-01-23,11978.0,155177.0,309425.0,75308.0
Spain,2023-01-24,12155.0,185537.0,234024.0,63324.0
Spain,2023-01-25,13010.0,180765.0,218085.0,74203.0
Spain,2023-01-26,12801.0,175630.0,310655.0,52361.0
Spain,2023-01-27,12312.0,159544.0,336555.0,76813.0
Spain,2023-01-28,11938.0,128430.0,300330.0,85859.0
Spain,2023-01-29,12581.0,127829.0,230713.0,82913.0
Spain,2023-01-30,15150.0,171017.0,155448.0,81573.0
Spain,2023-01-31,16541.0,156317.0,209628.0,86242.0
Spain,2023-02-01,15695.0,152838.0,214683.0,86569.0
Spain,2023-02-02,16700.0,148813.0,116695.0,91424.0
Spain,2023-02-03,17144.0,156510.0,64276.0,94339.0
Spain,2023-02-04,16409.0,111080.0,181266.0,96745.0
Spain,2023-02-05,15058.0,77235.0,273326.0,93054.0
Spain,2023-02-06,15892.0,101732.0,273910.0,82509.0
Spain,2023-02-07,16612.0,143151.0,189215.0,42001.0
Spain,2023-02-08,16992.0,133932.0,171625.0,39677.0
Spain,2023-02-09,17885.0,113679.0,138844.0,76189.0
Spain,2023-02-10,18149.0,117552.0,129206.0,76052.0
Spain,2023-02-11,17438.0,86020.0,157332.0,75074.0
Spain,2023-02-12,17525.0,84767.0,148382.0,66931.0
Spain,2023-02-13,17723.0,98646.0,153844.0,83366.0
Spain,2023-02-14,17694.0,84205.0,217084.0,58726.0
Spain,2023-02-15,17907.0,95893.0,119749.0,72587.0
Spain,2023-02-16,17494.0,103919.0,60475.0,91022.0
Spain,2023-02-17,17761.0,85337.0,134078.0,75575.0
Spain,2023-02-18,18033.0,79038.0,110011.0,63599.0
Spain,2023-02-19,17817.0,72607.0,118695.0,63651.0
Spain,2023-02-20,17147.0,76870.0,139572.0,61206.0
Spain,2023-02-21,17683.0,98131.0,73254.0,67658.0
Spain,2023-02-22,17592.0,97779.0,61473.0,80321.0
Spain,2023-02-23,17062.0,82282.0,146091.0,74917.0
