Country,Date,Bioenergy,Hydro,Wind,Solar
Sweden,2023-01-01,0.0,98529.3,144518.8,51.9
Sweden,2023-01-02,0.0,222812.5,85066.7,23.8
Sweden,2023-01-03,0.0,228930.1,112453.9,98.4
Sweden,2023-01-04,0.0,207652.1,103636.4,20.900000000000002
Sweden,2023-01-05,0.0,216463.7,89489.4,40.3
Sweden,2023-01-06,0.0,229581.3,121774.9,24.3
Sweden,2023-01-07,0.0,186369.8,128240.2,34.5
Sweden,2023-01-08,0.0,115767.4,145562.9,28.3
Sweden,2023-01-09,0.0,211376.5,75539.1,28.7
Sweden,2023-01-10,0.0,249371.4,60583.2,82.9
Sweden,2023-01-11,0.0,170529.3,160987.7,40.4
Sweden,2023-01-12,0.0,172521.0,165701.6,41.199999999999996
Sweden,2023-01-13,0.0,211299.9,98664.9,97.0
Sweden,2023-01-14,0.0,186581.2,88415.6,96.2
Sweden,2023-01-15,0.0,113481.5,142629.3,133.60000000000002
Sweden,2023-01-16,0.0,220723.3,104657.3,171.1
Sweden,2023-01-17,0.0,214968.1,138718.9,38.300000000000004
Sweden,2023-01-18,0.0,243985.3,97495.2,233.1
Sweden,2023-01-19,0.0,275992.9,45253.6,156.7
Sweden,2023-01-20,0.0,258505.8,70530.1,131.5
Sweden,2023-01-21,0.0,246482.5,83732.0,333.1
Sweden,2023-01-22,0.0,221927.0,128223.8,298.4
Sweden,2023-01-23,0.0,213177.1,142967.2,263.9
Sweden,2023-01-24,0.0,186844.5,180941.9,234.7
Sweden,2023-01-25,0.0,138705.4,223972.3,117.60000000000001
Sweden,2023-01-26,0.0,207507.9,160610.5,245.1
Sweden,2023-01-27,0.0,206775.4,138462.6,463.59999999999997
Sweden,2023-01-28,0.0,136602.5,208023.2,152.7
Sweden,2023-01-29,0.0,140597.5,202416.3,161.9
Sweden,2023-01-30,0.0,141291.5,228447.2,359.4
Sweden,2023-01-31,0.0,219819.6,146462.3,245.8
Sweden,2023-02-01,0.0,269359.2,80229.3,266.1
Sweden,2023-02-02,0.0,263039.3,83862.8,714.1
Sweden,2023-02-03,0.0,281294.9,69431.7,210.5
Sweden,2023-02-04,0.0,242641.9,97725.3,803.0
Sweden,2023-02-05,0.0,181549.7,175052.2,222.70000000000002
Sweden,2023-02-06,0.0,219459.6,130126.1,768.8
Sweden,2023-02-07,0.0,211012.0,158180.2,292.4
Sweden,2023-02-08,0.0,170825.0,202190.2,454.2
Sweden,2023-02-09,0.0,116919.9,254956.4,387.4
Sweden,2023-02-10,0.0,153018.7,217357.6,835.0
Sweden,2023-02-11,0.0,197803.8,150432.5,878.8
Sweden,2023-02-12,0.0,120906.3,208348.6,498.2
Sweden,2023-02-13,0.0,133706.2,200852.9,779.1
Sweden,2023-02-14,0.0,234818.4,88811.2,622.3000000000001
Sweden,2023-02-15,0.0,270385.6,56540.1,420.4
Sweden,2023-02-16,0.0,216180.3,119706.4,349.3
Sweden,2023-02-17,0.0,225129.0,118061.9,245.8
Sweden,2023-02-18,0.0,169979.0,171743.3,1478.3
Sweden,2023-02-19,0.0,209848.4,157667.9,1712.4
Sweden,2023-02-20,0.0,224883.2,121502.9,544.9
Sweden,2023-02-21,0.0,270635.4,61618.6,1222.6
Sweden,2023-02-22,0.0,244762.5,95025.0,709.6
Sweden,2023-02-23,0.0,225181.1,118807.2,267.0
Sweden,2023-02-24,0.0,245860.8,115306.79999999999,330.4
Sweden,2023-02-25,0.0,162695.5,202471.7,1436.0
Sweden,2023-02-26,0.0,217286.4,133957.3,2053.5
Sweden,2023-02-27,0.0,164639.4,171748.5,1143.0
Sweden,2023-02-28,0.0,165587.1,166462.1,1942.5
Sweden,2023-03-01,0.0,148905.4,166570.5,1911.8
Sweden,2023-03-02,0.0,117950.1,203480.5,2127.9
Sweden,2023-03-03,0.0,148244.1,198184.7,1752.8999999999999
Sweden,2023-03-04,0.0,154732.4,206449.8,2490.3
Sweden,2023-03-05,0.0,216754.3,130413.4,2458.2999999999997
Sweden,2023-03-06,0.0,281040.1,29266.100000000002,2401.4
Sweden,2023-03-07,0.0,272229.1,79140.7,717.4
Sweden,2023-03-08,0.0,258427.6,84904.5,2644.6
Sweden,2023-03-09,0.0,253316.9,97520.2,2408.4
Sweden,2023-03-10,0.0,247281.2,73709.8,2106.6
Sweden,2023-03-11,0.0,263477.8,49429.2,2623.7
Sweden,2023-03-12,0.0,233388.1,95377.5,2942.4
Sweden,2023-03-13,0.0,189045.8,174174.3,469.2
Sweden,2023-03-14,0.0,220370.1,113107.1,1036.9
