Time (Local),Bioenergy,Hydro,Wind,Solar
2023-01-01T00:00:00+01:00,77.0,461.6,148.9,0.0
2023-01-01T01:00:00+01:00,76.9,462.1,142.1,0.0
2023-01-01T02:00:00+01:00,77.0,450.5,145.5,0.0
2023-01-01T03:00:00+01:00,77.0,435.7,146.1,0.0
2023-01-01T04:00:00+01:00,78.1,433.7,147.4,0.0
2023-01-01T05:00:00+01:00,77.9,425.09999999999997,150.8,0.0
2023-01-01T06:00:00+01:00,77.9,410.2,151.9,0.3
2023-01-01T07:00:00+01:00,77.1,437.0,158.1,1.0
2023-01-01T08:00:00+01:00,76.1,480.59999999999997,154.5,5.3
2023-01-01T09:00:00+01:00,77.1,474.20000000000005,155.8,10.4
2023-01-01T10:00:00+01:00,77.1,487.1,150.9,17.3
2023-01-01T11:00:00+01:00,76.9,490.7,149.6,20.8
2023-01-01T12:00:00+01:00,76.9,500.1,150.0,20.7
2023-01-01T13:00:00+01:00,77.1,516.5999999999999,150.9,17.0
2023-01-01T14:00:00+01:00,77.1,496.1,148.7,9.9
2023-01-01T15:00:00+01:00,77.19999999999999,626.7,140.5,3.4
2023-01-01T16:00:00+01:00,77.0,788.6,125.2,0.4
2023-01-01T17:00:00+01:00,77.1,977.9,104.1,0.0
2023-01-01T18:00:00+01:00,77.1,980.6,98.1,0.0
2023-01-01T19:00:00+01:00,77.9,1035.4,99.0,0.0
2023-01-01T20:00:00+01:00,76.8,920.0,93.0,0.0
2023-01-01T21:00:00+01:00,76.8,903.5,93.7,0.0
2023-01-01T22:00:00+01:00,76.80000000000001,839.8,99.7,0.0
2023-01-01T23:00:00+01:00,76.9,595.6,114.5,0.0
2023-01-02T00:00:00+01:00,78.0,415.9,114.7,0.0
2023-01-02T01:00:00+01:00,77.9,412.4,126.8,0.0
2023-01-02T02:00:00+01:00,78.0,417.2,126.1,0.0
2023-01-02T03:00:00+01:00,77.0,418.59999999999997,122.0,0.0
2023-01-02T04:00:00+01:00,78.1,418.4,116.4,0.0
2023-01-02T05:00:00+01:00,77.9,400.1,122.0,0.0
2023-01-02T06:00:00+01:00,77.9,427.9,120.3,0.3
2023-01-02T07:00:00+01:00,77.1,603.5,113.6,0.8
2023-01-02T08:00:00+01:00,76.1,656.2,107.8,4.9
2023-01-02T09:00:00+01:00,77.1,747.1,111.1,11.8
2023-01-02T10:00:00+01:00,77.1,749.5,116.7,18.8
2023-01-02T11:00:00+01:00,76.9,708.0999999999999,124.2,22.2
2023-01-02T12:00:00+01:00,76.9,713.5,129.0,21.1
2023-01-02T13:00:00+01:00,78.1,769.1999999999999,132.5,17.5
2023-01-02T14:00:00+01:00,78.1,770.0,129.5,10.5
2023-01-02T15:00:00+01:00,78.19999999999999,793.1999999999999,124.6,3.4
2023-01-02T16:00:00+01:00,77.0,913.9,116.5,0.4
2023-01-02T17:00:00+01:00,77.1,995.9,111.4,0.0
2023-01-02T18:00:00+01:00,77.1,996.7,120.4,0.0
2023-01-02T19:00:00+01:00,77.9,1004.3,131.4,0.0
2023-01-02T20:00:00+01:00,76.8,996.4,131.8,0.0
2023-01-02T21:00:00+01:00,76.8,826.6,128.9,0.0
2023-01-02T22:00:00+01:00,76.80000000000001,765.0,127.8,0.0
2023-01-02T23:00:00+01:00,76.9,680.0,114.7,0.0
2023-01-03T00:00:00+01:00,78.9,402.4,105.6,0.0
2023-01-03T01:00:00+01:00,78.80000000000001,403.0,95.6,0.0
2023-01-03T02:00:00+01:00,78.9,401.0,121.3,0.0
2023-01-03T03:00:00+01:00,78.9,404.70000000000005,118.9,0.0
2023-01-03T04:00:00+01:00,79.0,405.40000000000003,93.7,0.0
2023-01-03T05:00:00+01:00,78.8,403.6,63.0,0.0
2023-01-03T06:00:00+01:00,78.8,448.70000000000005,44.4,0.2
2023-01-03T07:00:00+01:00,78.0,938.1,23.9,0.8
2023-01-03T08:00:00+01:00,78.0,1020.5,16.7,3.5
2023-01-03T09:00:00+01:00,78.0,1014.9000000000001,13.1,9.2
2023-01-03T10:00:00+01:00,79.0,1022.7,6.5,13.9
2023-01-03T11:00:00+01:00,78.80000000000001,922.1,12.6,16.5
2023-01-03T12:00:00+01:00,78.80000000000001,931.4,8.9,15.3
2023-01-03T13:00:00+01:00,79.0,934.4000000000001,9.9,12.2
2023-01-03T14:00:00+01:00,79.0,927.9999999999999,15.1,7.4
2023-01-03T15:00:00+01:00,79.1,953.1,17.1,2.3
2023-01-03T16:00:00+01:00,78.9,1156.4,22.0,0.3
2023-01-03T17:00:00+01:00,79.0,1134.7,24.5,0.0
2023-01-03T18:00:00+01:00,79.0,1155.0,22.4,0.0
2023-01-03T19:00:00+01:00,78.8,1125.6000000000001,40.2,0.0
2023-01-03T20:00:00+01:00,78.7,930.1,30.4,0.0
2023-01-03T21:00:00+01:00,78.7,663.0,36.9,0.0
2023-01-03T22:00:00+01:00,78.7,653.2,40.7,0.0
2023-01-03T23:00:00+01:00,78.8,523.0,71.9,0.0
2023-01-04T00:00:00+01:00,78.9,403.4,97.7,0.0
2023-01-04T01:00:00+01:00,78.80000000000001,408.9,125.7,0.0
2023-01-04T02:00:00+01:00,78.9,389.0,195.0,0.0
2023-01-04T03:00:00+01:00,78.9,397.5,249.2,0.0
2023-01-04T04:00:00+01:00,79.0,402.9,262.0,0.0
2023-01-04T05:00:00+01:00,78.8,390.3,279.9,0.0
2023-01-04T06:00:00+01:00,78.8,436.99999999999994,297.7,0.2
2023-01-04T07:00:00+01:00,79.0,950.0,346.8,0.9
2023-01-04T08:00:00+01:00,78.0,1017.0,361.2,2.9
2023-01-04T09:00:00+01:00,79.0,1000.3,319.0,8.8
2023-01-04T10:00:00+01:00,79.0,967.9000000000001,262.1,13.7
2023-01-04T11:00:00+01:00,78.80000000000001,895.0999999999999,162.0,17.0
2023-01-04T12:00:00+01:00,78.80000000000001,862.9000000000001,82.2,17.9
2023-01-04T13:00:00+01:00,79.0,894.6000000000001,32.6,14.5
2023-01-04T14:00:00+01:00,79.0,912.5,22.6,9.6
2023-01-04T15:00:00+01:00,79.1,945.3,40.5,3.4
2023-01-04T16:00:00+01:00,78.9,1155.2,58.5,0.3
2023-01-04T17:00:00+01:00,79.0,1150.4,67.7,0.0
2023-01-04T18:00:00+01:00,79.0,1173.1,66.7,0.0
2023-01-04T19:00:00+01:00,78.8,1159.0,63.6,0.0
2023-01-04T20:00:00+01:00,78.7,952.0999999999999,70.7,0.0
2023-01-04T21:00:00+01:00,78.7,915.9,86.9,0.0
2023-01-04T22:00:00+01:00,78.7,886.6,97.3,0.0
2023-01-04T23:00:00+01:00,78.8,587.0999999999999,105.4,0.0
2023-01-05T00:00:00+01:00,78.9,447.9,132.9,0.0
2023-01-05T01:00:00+01:00,78.80000000000001,407.2,156.2,0.0
2023-01-05T02:00:00+01:00,78.9,397.40000000000003,154.9,0.0
2023-01-05T03:00:00+01:00,78.9,402.29999999999995,146.9,0.0
2023-01-05T04:00:00+01:00,79.0,420.6,147.1,0.0
2023-01-05T05:00:00+01:00,78.8,420.6,167.2,0.0
2023-01-05T06:00:00+01:00,78.8,577.3,155.8,0.2
2023-01-05T07:00:00+01:00,79.0,962.3,150.5,0.8
2023-01-05T08:00:00+01:00,77.39999999999999,1068.3,153.5,2.3
2023-01-05T09:00:00+01:00,78.39999999999999,1097.5,153.6,6.2
2023-01-05T10:00:00+01:00,78.39999999999999,1087.8,152.6,9.8
2023-01-05T11:00:00+01:00,78.2,988.0,158.8,12.0
2023-01-05T12:00:00+01:00,78.2,972.9,161.4,11.9
2023-01-05T13:00:00+01:00,78.4,974.3000000000001,150.0,9.5
2023-01-05T14:00:00+01:00,79.0,1078.4,148.8,5.8
2023-01-05T15:00:00+01:00,79.1,1091.1,143.6,1.9
2023-01-05T16:00:00+01:00,78.9,1197.1999999999998,122.9,0.2
2023-01-05T17:00:00+01:00,79.0,1218.8000000000002,99.4,0.0
2023-01-05T18:00:00+01:00,79.0,1214.3999999999999,97.1,0.0
2023-01-05T19:00:00+01:00,78.8,1193.3999999999999,95.1,0.0
2023-01-05T20:00:00+01:00,78.7,1065.2,78.4,0.0
