Time (Local),Bioenergy,Hydro,Wind,Solar
2023-01-01T00:00:00+02:00,63.8,0.4,154.1,0.0
2023-01-01T01:00:00+02:00,63.6,0.4,163.4,0.0
2023-01-01T02:00:00+02:00,62.900000000000006,0.4,158.1,0.0
2023-01-01T03:00:00+02:00,63.0,0.4,155.1,0.0
2023-01-01T04:00:00+02:00,64.2,0.4,114.9,0.0
2023-01-01T05:00:00+02:00,64.9,0.4,86.2,0.0
2023-01-01T06:00:00+02:00,65.9,0.4,57.9,0.0
2023-01-01T07:00:00+02:00,65.7,0.4,39.4,0.0
2023-01-01T08:00:00+02:00,65.4,0.6,30.1,0.2
2023-01-01T09:00:00+02:00,64.30000000000001,0.8,25.1,1.0
2023-01-01T10:00:00+02:00,66.4,0.8,21.2,4.7
2023-01-01T11:00:00+02:00,69.1,0.8,21.1,10.3
2023-01-01T12:00:00+02:00,69.5,0.8,19.5,13.8
2023-01-01T13:00:00+02:00,69.2,0.8,22.3,11.6
2023-01-01T14:00:00+02:00,69.6,0.8,38.7,5.7
2023-01-01T15:00:00+02:00,69.3,0.8,35.9,0.8
2023-01-01T16:00:00+02:00,69.3,0.8,38.6,0.2
2023-01-01T17:00:00+02:00,69.2,0.8,43.3,0.0
2023-01-01T18:00:00+02:00,74.7,0.8,44.8,0.0
2023-01-01T19:00:00+02:00,80.8,0.8,47.5,0.0
2023-01-01T20:00:00+02:00,80.8,0.8,61.1,0.0
2023-01-01T21:00:00+02:00,80.2,0.7,77.2,0.0
2023-01-01T22:00:00+02:00,68.80000000000001,0.5,74.2,0.0
2023-01-01T23:00:00+02:00,64.9,0.4,74.8,0.0
2023-01-02T00:00:00+02:00,68.5,0.4,74.6,0.0
2023-01-02T01:00:00+02:00,79.5,0.4,77.2,0.0
2023-01-02T02:00:00+02:00,83.2,0.4,77.4,0.0
2023-01-02T03:00:00+02:00,85.8,0.4,79.4,0.0
2023-01-02T04:00:00+02:00,83.9,0.4,74.3,0.0
2023-01-02T05:00:00+02:00,80.7,0.4,68.7,0.0
2023-01-02T06:00:00+02:00,79.7,0.4,63.6,0.0
2023-01-02T07:00:00+02:00,83.5,0.8,46.6,0.2
2023-01-02T08:00:00+02:00,91.4,0.8,59.2,0.4
2023-01-02T09:00:00+02:00,92.6,0.8,61.5,4.3
2023-01-02T10:00:00+02:00,92.0,0.8,77.9,17.0
2023-01-02T11:00:00+02:00,92.5,0.8,83.1,25.3
2023-01-02T12:00:00+02:00,92.9,0.8,82.2,24.8
2023-01-02T13:00:00+02:00,92.9,0.8,73.9,19.5
2023-01-02T14:00:00+02:00,92.3,0.8,77.5,8.2
2023-01-02T15:00:00+02:00,92.19999999999999,0.8,82.1,0.8
2023-01-02T16:00:00+02:00,92.6,0.8,81.5,0.2
2023-01-02T17:00:00+02:00,92.5,0.8,78.2,0.0
2023-01-02T18:00:00+02:00,92.0,0.8,92.4,0.0
2023-01-02T19:00:00+02:00,92.4,0.8,109.3,0.0
2023-01-02T20:00:00+02:00,91.7,0.8,115.4,0.0
2023-01-02T21:00:00+02:00,90.3,0.8,112.0,0.0
2023-01-02T22:00:00+02:00,87.9,0.8,105.2,0.0
2023-01-02T23:00:00+02:00,85.19999999999999,0.8,94.1,0.0
2023-01-03T00:00:00+02:00,82.19999999999999,0.8,113.6,0.0
2023-01-03T01:00:00+02:00,77.6,0.8,119.5,0.0
2023-01-03T02:00:00+02:00,77.1,0.8,112.2,0.0
2023-01-03T03:00:00+02:00,77.1,0.8,125.0,0.0
2023-01-03T04:00:00+02:00,80.6,0.8,129.9,0.0
2023-01-03T05:00:00+02:00,79.0,0.8,169.7,0.0
2023-01-03T06:00:00+02:00,79.1,0.8,183.4,0.0
2023-01-03T07:00:00+02:00,83.9,0.8,196.2,0.3
2023-01-03T08:00:00+02:00,91.3,0.7,195.3,0.4
2023-01-03T09:00:00+02:00,93.19999999999999,0.3,188.4,1.5
2023-01-03T10:00:00+02:00,97.3,0.0,193.0,5.0
2023-01-03T11:00:00+02:00,96.7,0.0,169.9,8.4
2023-01-03T12:00:00+02:00,97.9,0.6,134.7,9.3
2023-01-03T13:00:00+02:00,97.30000000000001,0.7,115.6,9.0
2023-01-03T14:00:00+02:00,95.5,0.8,101.1,5.4
2023-01-03T15:00:00+02:00,92.5,0.8,67.0,1.3
2023-01-03T16:00:00+02:00,92.8,0.8,45.0,0.3
2023-01-03T17:00:00+02:00,92.0,0.8,33.5,0.2
2023-01-03T18:00:00+02:00,92.1,0.8,25.3,0.0
2023-01-03T19:00:00+02:00,93.0,0.8,18.2,0.0
2023-01-03T20:00:00+02:00,93.69999999999999,0.8,21.6,0.0
2023-01-03T21:00:00+02:00,92.7,0.8,28.1,0.0
2023-01-03T22:00:00+02:00,92.0,0.8,40.5,0.0
2023-01-03T23:00:00+02:00,91.39999999999999,0.8,51.7,0.0
2023-01-04T00:00:00+02:00,80.7,0.8,59.3,0.0
2023-01-04T01:00:00+02:00,81.0,0.8,61.8,0.0
2023-01-04T02:00:00+02:00,78.8,0.8,75.8,0.0
2023-01-04T03:00:00+02:00,76.9,0.8,74.9,0.0
2023-01-04T04:00:00+02:00,79.3,0.8,64.3,0.0
2023-01-04T05:00:00+02:00,79.1,0.8,51.9,0.0
2023-01-04T06:00:00+02:00,81.5,0.7,39.9,0.0
2023-01-04T07:00:00+02:00,90.7,0.7,27.1,0.0
2023-01-04T08:00:00+02:00,88.9,0.5,35.0,0.2
2023-01-04T09:00:00+02:00,89.7,0.4,35.2,0.6
2023-01-04T10:00:00+02:00,90.2,0.4,36.3,2.4
2023-01-04T11:00:00+02:00,90.1,0.4,26.5,4.5
2023-01-04T12:00:00+02:00,90.5,0.4,19.9,4.4
2023-01-04T13:00:00+02:00,90.6,0.4,16.8,3.1
2023-01-04T14:00:00+02:00,89.69999999999999,0.4,14.4,1.1
2023-01-04T15:00:00+02:00,89.0,0.4,16.4,0.2
2023-01-04T16:00:00+02:00,87.8,0.4,15.6,0.0
2023-01-04T17:00:00+02:00,84.9,0.4,23.1,0.0
2023-01-04T18:00:00+02:00,88.7,0.4,42.5,0.0
2023-01-04T19:00:00+02:00,90.10000000000001,0.4,55.7,0.0
2023-01-04T20:00:00+02:00,89.9,0.8,61.6,0.0
2023-01-04T21:00:00+02:00,80.7,0.8,81.8,0.0
2023-01-04T22:00:00+02:00,65.0,0.8,104.0,0.0
2023-01-04T23:00:00+02:00,59.9,0.8,123.0,0.0
2023-01-05T00:00:00+02:00,59.1,0.8,149.2,0.0
2023-01-05T01:00:00+02:00,60.5,0.8,159.0,0.0
2023-01-05T02:00:00+02:00,65.3,0.8,167.0,0.0
2023-01-05T03:00:00+02:00,65.19999999999999,0.8,180.7,0.0
2023-01-05T04:00:00+02:00,58.8,0.8,188.8,0.0
2023-01-05T05:00:00+02:00,56.0,0.8,184.6,0.0
2023-01-05T06:00:00+02:00,60.4,0.8,197.8,0.0
2023-01-05T07:00:00+02:00,68.30000000000001,0.8,199.2,0.0
2023-01-05T08:00:00+02:00,75.6,0.8,194.3,0.3
2023-01-05T09:00:00+02:00,76.8,0.7,179.7,1.7
2023-01-05T10:00:00+02:00,81.5,0.4,151.4,11.3
2023-01-05T11:00:00+02:00,79.1,0.4,149.9,29.3
2023-01-05T12:00:00+02:00,80.8,0.4,144.1,33.4
2023-01-05T13:00:00+02:00,81.19999999999999,0.4,159.4,25.0
2023-01-05T14:00:00+02:00,81.30000000000001,0.4,164.8,10.8
