Time (Local),Bioenergy,Hydro,Wind,Solar
2023-01-01T00:00:00+02:00,773.3000000000001,632.0,3484.9,0.0
2023-01-01T01:00:00+02:00,769.5,636.9,3449.1,0.0
2023-01-01T02:00:00+02:00,769.5,516.0,3559.3,0.0
2023-01-01T03:00:00+02:00,782.3000000000001,540.0,3634.3,0.0
2023-01-01T04:00:00+02:00,796.9000000000001,523.9,3627.7,0.0
2023-01-01T05:00:00+02:00,797.1,559.5,3499.8,0.0
2023-01-01T06:00:00+02:00,809.8000000000001,542.2,3352.8,0.0
2023-01-01T07:00:00+02:00,827.7,615.6,3391.4,0.0
2023-01-01T08:00:00+02:00,821.6,677.2,3233.3,0.0
2023-01-01T09:00:00+02:00,835.2,674.1,3214.4,2.7
2023-01-01T10:00:00+02:00,825.1,684.5,3212.7,14.8
2023-01-01T11:00:00+02:00,829.2,698.5,3248.9,29.1
2023-01-01T12:00:00+02:00,829.5,752.2,3415.7,31.8
2023-01-01T13:00:00+02:00,823.8000000000001,774.9,3415.5,18.2
2023-01-01T14:00:00+02:00,820.8000000000001,804.2,3254.8,3.4
2023-01-01T15:00:00+02:00,821.7,873.8,3490.3,0.0
2023-01-01T16:00:00+02:00,835.6999999999999,946.8,3599.8,0.0
2023-01-01T17:00:00+02:00,840.6,1073.0,3502.8,0.0
2023-01-01T18:00:00+02:00,854.0,1185.5,3540.6,0.0
2023-01-01T19:00:00+02:00,855.7,1147.5,3620.2,0.0
2023-01-01T20:00:00+02:00,857.0,1034.2,3675.8,0.0
2023-01-01T21:00:00+02:00,859.7,920.5,3603.8,0.0
2023-01-01T22:00:00+02:00,847.7,899.2,3334.9,0.0
2023-01-01T23:00:00+02:00,859.3000000000001,739.3,3298.4,0.0
2023-01-02T00:00:00+02:00,855.5,668.3,3262.8,0.0
2023-01-02T01:00:00+02:00,858.6999999999999,627.1,3264.3,0.0
2023-01-02T02:00:00+02:00,855.4,686.5,3165.8,0.0
2023-01-02T03:00:00+02:00,857.0,678.9,3143.3,0.0
2023-01-02T04:00:00+02:00,871.6,714.6,2891.5,0.0
2023-01-02T05:00:00+02:00,890.4,858.0,2577.7,0.0
2023-01-02T06:00:00+02:00,923.8,833.4,2468.2,0.0
2023-01-02T07:00:00+02:00,955.9,1092.0,2392.0,0.0
2023-01-02T08:00:00+02:00,972.4,1345.9,2178.3,0.0
2023-01-02T09:00:00+02:00,969.9,1507.3,2047.4,0.8
2023-01-02T10:00:00+02:00,981.9,1639.1,2038.8,6.1
2023-01-02T11:00:00+02:00,990.5,1806.5,2017.4,13.4
2023-01-02T12:00:00+02:00,1006.8,1895.7,1814.1,13.7
2023-01-02T13:00:00+02:00,1004.1999999999999,1752.8,1915.3,5.5
2023-01-02T14:00:00+02:00,998.0,1705.5,1870.6,0.0
2023-01-02T15:00:00+02:00,1000.8,1873.6,1872.8,0.0
2023-01-02T16:00:00+02:00,1008.4,2078.2,1717.6,0.0
2023-01-02T17:00:00+02:00,1003.6999999999999,2046.6,1648.5,0.0
2023-01-02T18:00:00+02:00,979.4,2042.0,1530.3,0.0
2023-01-02T19:00:00+02:00,970.8,2033.9,1447.5,0.0
2023-01-02T20:00:00+02:00,960.0999999999999,1853.3,1313.4,0.0
2023-01-02T21:00:00+02:00,954.6999999999999,1620.4,1115.4,0.0
2023-01-02T22:00:00+02:00,956.4,1379.4,981.3,0.0
2023-01-02T23:00:00+02:00,949.8,1174.2,860.7,0.0
2023-01-03T00:00:00+02:00,941.9,1026.7,728.9,0.0
2023-01-03T01:00:00+02:00,930.0,941.1,667.0,0.0
2023-01-03T02:00:00+02:00,896.8000000000001,821.4,575.8,0.0
2023-01-03T03:00:00+02:00,877.6,756.9,459.5,0.0
2023-01-03T04:00:00+02:00,876.1,747.3,368.8,0.0
2023-01-03T05:00:00+02:00,871.5,898.0,324.6,0.0
2023-01-03T06:00:00+02:00,903.3,938.2,312.8,0.0
2023-01-03T07:00:00+02:00,951.0,1255.2,326.0,0.0
2023-01-03T08:00:00+02:00,977.0,1600.1,350.4,0.0
2023-01-03T09:00:00+02:00,982.1,1916.0,333.7,0.5
2023-01-03T10:00:00+02:00,982.2,1778.9,292.2,4.2
2023-01-03T11:00:00+02:00,980.8,1813.9,258.7,11.0
2023-01-03T12:00:00+02:00,976.4,1852.8,188.0,11.8
2023-01-03T13:00:00+02:00,982.1,1971.5,162.0,5.0
2023-01-03T14:00:00+02:00,1010.0,1893.6,173.9,0.4
2023-01-03T15:00:00+02:00,1028.8,2026.2,246.9,0.0
2023-01-03T16:00:00+02:00,1025.0,2059.9,332.4,0.0
2023-01-03T17:00:00+02:00,1025.3,2047.8,382.8,0.0
2023-01-03T18:00:00+02:00,1033.8,2175.2,412.6,0.0
2023-01-03T19:00:00+02:00,1045.1,2106.6,548.6,0.0
2023-01-03T20:00:00+02:00,1021.6,1900.2,665.1,0.0
2023-01-03T21:00:00+02:00,1030.7,1581.1,787.1,0.0
2023-01-03T22:00:00+02:00,1035.9,1395.2,946.4,0.0
2023-01-03T23:00:00+02:00,1021.7,1192.9,1047.5,0.0
2023-01-04T00:00:00+02:00,989.0,1062.1,983.6,0.0
2023-01-04T01:00:00+02:00,956.7,1152.0,1009.4,0.0
2023-01-04T02:00:00+02:00,950.0,938.6,1168.4,0.0
2023-01-04T03:00:00+02:00,944.7,797.3,1234.2,0.0
2023-01-04T04:00:00+02:00,953.1,771.7,1282.9,0.0
2023-01-04T05:00:00+02:00,988.7,867.6,1363.5,0.0
2023-01-04T06:00:00+02:00,1003.2,1022.8,1449.4,0.0
2023-01-04T07:00:00+02:00,1027.8,1228.4,1576.6,0.0
2023-01-04T08:00:00+02:00,1037.0,1496.6,1665.1,0.0
2023-01-04T09:00:00+02:00,1052.3,1581.3,1646.1,1.1
2023-01-04T10:00:00+02:00,1041.0,1656.1,1642.5,8.4
2023-01-04T11:00:00+02:00,1037.5,1717.0,1700.0,19.1
2023-01-04T12:00:00+02:00,1034.4,1765.6,1623.2,19.9
2023-01-04T13:00:00+02:00,1027.6,1759.2,1512.9,8.1
2023-01-04T14:00:00+02:00,1024.3,1710.4,1539.5,0.1
2023-01-04T15:00:00+02:00,1019.9000000000001,1715.7,1785.5,0.0
2023-01-04T16:00:00+02:00,1027.1,1698.9,2132.1,0.0
2023-01-04T17:00:00+02:00,1035.8999999999999,1553.6,2425.7,0.0
2023-01-04T18:00:00+02:00,1036.5,1425.0,2512.4,0.0
2023-01-04T19:00:00+02:00,1033.0,1399.7,2350.6,0.0
2023-01-04T20:00:00+02:00,1011.5,1124.0,2356.1,0.0
2023-01-04T21:00:00+02:00,1003.8000000000001,967.1,2434.1,0.0
2023-01-04T22:00:00+02:00,995.6999999999999,789.3,2765.8,0.0
2023-01-04T23:00:00+02:00,990.5999999999999,763.3,2942.3,0.0
2023-01-05T00:00:00+02:00,985.9,738.9,3015.6,0.0
2023-01-05T01:00:00+02:00,992.3,700.2,2902.8,0.0
2023-01-05T02:00:00+02:00,988.8,604.5,2824.9,0.0
2023-01-05T03:00:00+02:00,992.0,574.6,3012.4,0.0
2023-01-05T04:00:00+02:00,977.1999999999999,572.0,3060.1,0.0
2023-01-05T05:00:00+02:00,922.6999999999999,587.6,3143.4,0.0
2023-01-05T06:00:00+02:00,889.0999999999999,668.9,3153.7,0.0
2023-01-05T07:00:00+02:00,893.9,836.5,3084.2,0.0
2023-01-05T08:00:00+02:00,887.4,1049.3,2795.2,0.0
2023-01-05T09:00:00+02:00,919.3000000000001,1272.8,2746.1,3.0
2023-01-05T10:00:00+02:00,959.4000000000001,1504.9,2497.9,16.6
2023-01-05T11:00:00+02:00,987.8,1747.9,2204.1,32.2
2023-01-05T12:00:00+02:00,1024.0,1832.4,1964.0,33.1
