Time (Local),Bioenergy,Hydro,Wind,Solar
2023-01-01T00:00:00+02:00,0.0,89.0,408.0,0.0
2023-01-01T01:00:00+02:00,0.0,0.0,450.0,0.0
2023-01-01T02:00:00+02:00,0.0,25.0,497.0,0.0
2023-01-01T03:00:00+02:00,0.0,29.0,573.0,0.0
2023-01-01T04:00:00+02:00,0.0,29.0,635.0,0.0
2023-01-01T05:00:00+02:00,0.0,29.0,683.0,0.0
2023-01-01T06:00:00+02:00,0.0,64.0,682.0,0.0
2023-01-01T07:00:00+02:00,0.0,122.0,707.0,2.0
2023-01-01T08:00:00+02:00,0.0,119.0,749.0,303.0
2023-01-01T09:00:00+02:00,0.0,69.0,696.0,1234.0
2023-01-01T10:00:00+02:00,0.0,33.0,644.0,2086.0
2023-01-01T11:00:00+02:00,0.0,32.0,613.0,2600.0
2023-01-01T12:00:00+02:00,0.0,29.0,606.0,2808.0
2023-01-01T13:00:00+02:00,0.0,27.0,713.0,2713.0
2023-01-01T14:00:00+02:00,0.0,1.0,790.0,2293.0
2023-01-01T15:00:00+02:00,0.0,0.0,834.0,1387.0
2023-01-01T16:00:00+02:00,0.0,0.0,906.0,406.0
2023-01-01T17:00:00+02:00,0.0,275.0,995.0,7.0
2023-01-01T18:00:00+02:00,0.0,603.0,999.0,0.0
2023-01-01T19:00:00+02:00,0.0,760.0,1050.0,0.0
2023-01-01T20:00:00+02:00,0.0,654.0,1089.0,0.0
2023-01-01T21:00:00+02:00,0.0,552.0,1018.0,0.0
2023-01-01T22:00:00+02:00,0.0,307.0,943.0,0.0
2023-01-01T23:00:00+02:00,0.0,255.0,855.0,0.0
2023-01-02T00:00:00+02:00,0.0,97.0,789.0,0.0
2023-01-02T01:00:00+02:00,0.0,2.0,729.0,0.0
2023-01-02T02:00:00+02:00,0.0,28.0,662.0,0.0
2023-01-02T03:00:00+02:00,0.0,36.0,646.0,0.0
2023-01-02T04:00:00+02:00,0.0,107.0,602.0,0.0
2023-01-02T05:00:00+02:00,0.0,86.0,556.0,0.0
2023-01-02T06:00:00+02:00,0.0,76.0,548.0,0.0
2023-01-02T07:00:00+02:00,0.0,287.0,525.0,3.0
2023-01-02T08:00:00+02:00,0.0,402.0,395.0,358.0
2023-01-02T09:00:00+02:00,0.0,256.0,295.0,1407.0
2023-01-02T10:00:00+02:00,0.0,53.0,219.0,2296.0
2023-01-02T11:00:00+02:00,0.0,98.0,187.0,2759.0
2023-01-02T12:00:00+02:00,0.0,83.0,170.0,2930.0
2023-01-02T13:00:00+02:00,0.0,64.0,165.0,2828.0
2023-01-02T14:00:00+02:00,0.0,34.0,152.0,2428.0
2023-01-02T15:00:00+02:00,0.0,54.0,128.0,1596.0
2023-01-02T16:00:00+02:00,0.0,206.0,97.0,476.0
2023-01-02T17:00:00+02:00,0.0,415.0,106.0,8.0
2023-01-02T18:00:00+02:00,0.0,915.0,108.0,0.0
2023-01-02T19:00:00+02:00,0.0,906.0,75.0,0.0
2023-01-02T20:00:00+02:00,0.0,807.0,53.0,0.0
2023-01-02T21:00:00+02:00,0.0,498.0,44.0,0.0
2023-01-02T22:00:00+02:00,0.0,297.0,51.0,0.0
2023-01-02T23:00:00+02:00,0.0,264.0,52.0,0.0
2023-01-03T00:00:00+02:00,0.0,115.0,48.0,0.0
2023-01-03T01:00:00+02:00,0.0,51.0,57.0,0.0
2023-01-03T02:00:00+02:00,0.0,0.0,73.0,0.0
2023-01-03T03:00:00+02:00,0.0,0.0,104.0,0.0
2023-01-03T04:00:00+02:00,0.0,0.0,131.0,0.0
2023-01-03T05:00:00+02:00,0.0,0.0,152.0,0.0
2023-01-03T06:00:00+02:00,0.0,256.0,146.0,0.0
2023-01-03T07:00:00+02:00,0.0,535.0,134.0,2.0
2023-01-03T08:00:00+02:00,0.0,607.0,132.0,316.0
2023-01-03T09:00:00+02:00,0.0,397.0,141.0,1273.0
2023-01-03T10:00:00+02:00,0.0,213.0,113.0,2111.0
2023-01-03T11:00:00+02:00,0.0,188.0,129.0,2547.0
2023-01-03T12:00:00+02:00,0.0,138.0,136.0,2737.0
2023-01-03T13:00:00+02:00,0.0,185.0,136.0,2584.0
2023-01-03T14:00:00+02:00,0.0,129.0,138.0,2219.0
2023-01-03T15:00:00+02:00,0.0,155.0,146.0,1479.0
2023-01-03T16:00:00+02:00,0.0,300.0,139.0,441.0
2023-01-03T17:00:00+02:00,0.0,694.0,146.0,8.0
2023-01-03T18:00:00+02:00,0.0,899.0,152.0,0.0
2023-01-03T19:00:00+02:00,0.0,829.0,167.0,0.0
2023-01-03T20:00:00+02:00,0.0,679.0,199.0,0.0
2023-01-03T21:00:00+02:00,0.0,497.0,241.0,0.0
2023-01-03T22:00:00+02:00,0.0,455.0,251.0,0.0
2023-01-03T23:00:00+02:00,0.0,391.0,243.0,0.0
2023-01-04T00:00:00+02:00,0.0,180.0,236.0,0.0
2023-01-04T01:00:00+02:00,0.0,29.0,267.0,0.0
2023-01-04T02:00:00+02:00,0.0,29.0,322.0,0.0
2023-01-04T03:00:00+02:00,0.0,29.0,339.0,0.0
2023-01-04T04:00:00+02:00,0.0,29.0,313.0,0.0
2023-01-04T05:00:00+02:00,0.0,32.0,347.0,0.0
2023-01-04T06:00:00+02:00,0.0,133.0,389.0,0.0
2023-01-04T07:00:00+02:00,0.0,298.0,384.0,2.0
2023-01-04T08:00:00+02:00,0.0,269.0,446.0,326.0
2023-01-04T09:00:00+02:00,0.0,208.0,425.0,1318.0
2023-01-04T10:00:00+02:00,0.0,127.0,376.0,2214.0
2023-01-04T11:00:00+02:00,0.0,141.0,353.0,2712.0
2023-01-04T12:00:00+02:00,0.0,163.0,341.0,2913.0
2023-01-04T13:00:00+02:00,0.0,121.0,358.0,2850.0
2023-01-04T14:00:00+02:00,0.0,127.0,417.0,2437.0
2023-01-04T15:00:00+02:00,0.0,151.0,498.0,1608.0
2023-01-04T16:00:00+02:00,0.0,375.0,610.0,484.0
2023-01-04T17:00:00+02:00,0.0,836.0,649.0,10.0
2023-01-04T18:00:00+02:00,0.0,834.0,583.0,0.0
2023-01-04T19:00:00+02:00,0.0,929.0,556.0,0.0
2023-01-04T20:00:00+02:00,0.0,651.0,529.0,0.0
2023-01-04T21:00:00+02:00,0.0,293.0,574.0,0.0
2023-01-04T22:00:00+02:00,0.0,227.0,547.0,0.0
2023-01-04T23:00:00+02:00,0.0,232.0,520.0,0.0
2023-01-05T00:00:00+02:00,0.0,128.0,500.0,0.0
2023-01-05T01:00:00+02:00,0.0,41.0,578.0,0.0
2023-01-05T02:00:00+02:00,0.0,44.0,567.0,0.0
2023-01-05T03:00:00+02:00,0.0,21.0,537.0,0.0
2023-01-05T04:00:00+02:00,0.0,21.0,447.0,0.0
2023-01-05T05:00:00+02:00,0.0,32.0,363.0,0.0
2023-01-05T06:00:00+02:00,0.0,88.0,290.0,0.0
2023-01-05T07:00:00+02:00,0.0,282.0,264.0,1.0
2023-01-05T08:00:00+02:00,0.0,434.0,267.0,188.0
2023-01-05T09:00:00+02:00,0.0,501.0,252.0,926.0
2023-01-05T10:00:00+02:00,0.0,273.0,212.0,1669.0
2023-01-05T11:00:00+02:00,0.0,226.0,197.0,2129.0
2023-01-05T12:00:00+02:00,0.0,233.0,255.0,2226.0
2023-01-05T13:00:00+02:00,0.0,151.0,385.0,2125.0
2023-01-05T14:00:00+02:00,0.0,93.0,450.0,1864.0
2023-01-05T15:00:00+02:00,0.0,92.0,526.0,1253.0
2023-01-05T16:00:00+02:00,0.0,224.0,548.0,396.0
2023-01-05T17:00:00+02:00,0.0,605.0,579.0,8.0
2023-01-05T18:00:00+02:00,0.0,652.0,629.0,0.0
2023-01-05T19:00:00+02:00,0.0,890.0,654.0,0.0
2023-01-05T20:00:00+02:00,0.0,784.0,705.0,0.0
2023-01-05T21:00:00+02:00,0.0,234.0,800.0,0.0
2023-01-05T22:00:00+02:00,0.0,89.0,791.0,0.0
2023-01-05T23:00:00+02:00,0.0,88.0,802.0,0.0
2023-01-06T00:00:00+02:00,0.0,63.0,746.0,0.0
2023-01-06T01:00:00+02:00,0.0,13.0,684.0,0.0
2023-01-06T02:00:00+02:00,0.0,26.0,674.0,0.0
2023-01-06T03:00:00+02:00,0.0,26.0,779.0,0.0
2023-01-06T04:00:00+02:00,0.0,55.0,760.0,0.0
2023-01-06T05:00:00+02:00,0.0,98.0,671.0,0.0
2023-01-06T06:00:00+02:00,0.0,169.0,565.0,0.0
2023-01-06T07:00:00+02:00,0.0,247.0,533.0,3.0
2023-01-06T08:00:00+02:00,0.0,245.0,577.0,281.0
2023-01-06T09:00:00+02:00,0.0,107.0,628.0,1221.0
2023-01-06T10:00:00+02:00,0.0,43.0,485.0,2037.0
2023-01-06T11:00:00+02:00,0.0,74.0,398.0,2475.0
2023-01-06T12:00:00+02:00,0.0,91.0,449.0,2672.0
2023-01-06T13:00:00+02:00,0.0,90.0,386.0,2587.0
2023-01-06T14:00:00+02:00,0.0,44.0,305.0,2210.0
2023-01-06T15:00:00+02:00,0.0,49.0,261.0,1471.0
2023-01-06T16:00:00+02:00,0.0,117.0,245.0,471.0
2023-01-06T17:00:00+02:00,0.0,487.0,284.0,10.0
2023-01-06T18:00:00+02:00,0.0,697.0,330.0,0.0
2023-01-06T19:00:00+02:00,0.0,681.0,401.0,0.0
2023-01-06T20:00:00+02:00,0.0,497.0,444.0,0.0
2023-01-06T21:00:00+02:00,0.0,306.0,550.0,0.0
2023-01-06T22:00:00+02:00,0.0,250.0,589.0,0.0
2023-01-06T23:00:00+02:00,0.0,200.0,535.0,0.0
2023-01-07T00:00:00+02:00,0.0,164.0,517.0,0.0
2023-01-07T01:00:00+02:00,0.0,1.0,426.0,0.0
2023-01-07T02:00:00+02:00,0.0,14.0,334.0,0.0
2023-01-07T03:00:00+02:00,0.0,25.0,320.0,0.0
2023-01-07T04:00:00+02:00,0.0,25.0,345.0,0.0
2023-01-07T05:00:00+02:00,0.0,25.0,367.0,0.0
2023-01-07T06:00:00+02:00,0.0,119.0,416.0,0.0
2023-01-07T07:00:00+02:00,0.0,240.0,413.0,1.0
2023-01-07T08:00:00+02:00,0.0,242.0,397.0,280.0
2023-01-07T09:00:00+02:00,0.0,67.0,306.0,1240.0
2023-01-07T10:00:00+02:00,0.0,73.0,258.0,2054.0
2023-01-07T11:00:00+02:00,0.0,85.0,215.0,2473.0
2023-01-07T12:00:00+02:00,0.0,80.0,205.0,2601.0
2023-01-07T13:00:00+02:00,0.0,110.0,197.0,2497.0
2023-01-07T14:00:00+02:00,0.0,88.0,192.0,2144.0
2023-01-07T15:00:00+02:00,0.0,117.0,180.0,1445.0
2023-01-07T16:00:00+02:00,0.0,279.0,138.0,466.0
2023-01-07T17:00:00+02:00,0.0,723.0,135.0,10.0
2023-01-07T18:00:00+02:00,0.0,938.0,122.0,0.0
2023-01-07T19:00:00+02:00,0.0,875.0,99.0,0.0
2023-01-07T20:00:00+02:00,0.0,679.0,72.0,0.0
2023-01-07T21:00:00+02:00,0.0,377.0,56.0,0.0
2023-01-07T22:00:00+02:00,0.0,175.0,58.0,0.0
2023-01-07T23:00:00+02:00,0.0,122.0,38.0,0.0
2023-01-08T00:00:00+02:00,0.0,135.0,26.0,0.0
2023-01-08T01:00:00+02:00,0.0,42.0,31.0,0.0
2023-01-08T02:00:00+02:00,0.0,50.0,60.0,0.0
2023-01-08T03:00:00+02:00,0.0,75.0,73.0,0.0
2023-01-08T04:00:00+02:00,0.0,89.0,86.0,0.0
2023-01-08T05:00:00+02:00,0.0,47.0,105.0,0.0
2023-01-08T06:00:00+02:00,0.0,158.0,119.0,0.0
2023-01-08T07:00:00+02:00,0.0,257.0,133.0,3.0
2023-01-08T08:00:00+02:00,0.0,153.0,133.0,373.0
2023-01-08T09:00:00+02:00,0.0,64.0,116.0,1527.0
2023-01-08T10:00:00+02:00,0.0,35.0,106.0,2482.0
2023-01-08T11:00:00+02:00,0.0,46.0,112.0,2951.0
2023-01-08T12:00:00+02:00,0.0,53.0,144.0,3100.0
2023-01-08T13:00:00+02:00,0.0,41.0,179.0,2977.0
2023-01-08T14:00:00+02:00,0.0,38.0,209.0,2569.0
2023-01-08T15:00:00+02:00,0.0,69.0,193.0,1737.0
2023-01-08T16:00:00+02:00,0.0,137.0,174.0,572.0
2023-01-08T17:00:00+02:00,0.0,554.0,189.0,15.0
2023-01-08T18:00:00+02:00,0.0,814.0,184.0,0.0
2023-01-08T19:00:00+02:00,0.0,740.0,166.0,0.0
2023-01-08T20:00:00+02:00,0.0,782.0,147.0,0.0
2023-01-08T21:00:00+02:00,0.0,479.0,146.0,0.0
2023-01-08T22:00:00+02:00,0.0,193.0,171.0,0.0
