Time (Local),Bioenergy,Hydro,Wind,Solar
2023-01-01T00:00:00+00:00,0.0,151.4,588.2,0.0
2023-01-01T00:30:00+00:00,0.0,151.1,652.3,0.0
2023-01-01T01:00:00+00:00,0.0,152.8,669.7,0.0
2023-01-01T01:30:00+00:00,0.0,150.8,712.6,0.0
2023-01-01T02:00:00+00:00,0.0,151.7,711.5,0.0
2023-01-01T02:30:00+00:00,0.0,153.0,584.1,0.0
2023-01-01T03:00:00+00:00,0.0,151.1,602.5,0.0
2023-01-01T03:30:00+00:00,0.0,151.6,606.1,0.0
2023-01-01T04:00:00+00:00,0.0,151.3,506.4,0.0
2023-01-01T04:30:00+00:00,0.0,150.7,518.8,0.0
2023-01-01T05:00:00+00:00,0.0,149.7,487.0,0.0
2023-01-01T05:30:00+00:00,0.0,149.7,500.0,0.0
2023-01-01T06:00:00+00:00,0.0,149.8,755.5,0.0
2023-01-01T06:30:00+00:00,0.0,151.7,704.2,0.0
2023-01-01T07:00:00+00:00,0.0,149.6,680.0,0.0
2023-01-01T07:30:00+00:00,0.0,149.9,676.3,0.0
2023-01-01T08:00:00+00:00,0.0,150.1,614.2,0.0
2023-01-01T08:30:00+00:00,0.0,149.7,531.6,0.0
2023-01-01T09:00:00+00:00,0.0,151.1,593.4,0.0
2023-01-01T09:30:00+00:00,0.0,152.4,483.4,0.0
2023-01-01T10:00:00+00:00,0.0,151.3,398.2,0.0
2023-01-01T10:30:00+00:00,0.0,152.2,340.4,0.0
2023-01-01T11:00:00+00:00,0.0,148.6,292.1,0.0
2023-01-01T11:30:00+00:00,0.0,145.2,290.3,0.0
2023-01-01T12:00:00+00:00,0.0,145.4,281.5,0.0
2023-01-01T12:30:00+00:00,0.0,149.9,239.7,0.0
2023-01-01T13:00:00+00:00,0.0,156.8,205.1,0.0
2023-01-01T13:30:00+00:00,0.0,233.7,162.4,0.0
2023-01-01T14:00:00+00:00,0.0,232.6,135.1,0.0
2023-01-01T14:30:00+00:00,0.0,154.3,164.2,0.0
2023-01-01T15:00:00+00:00,0.0,153.2,207.2,0.0
2023-01-01T15:30:00+00:00,0.0,145.1,253.8,0.0
2023-01-01T16:00:00+00:00,0.0,146.0,292.6,0.0
2023-01-01T16:30:00+00:00,0.0,202.39999999999998,368.6,0.0
2023-01-01T17:00:00+00:00,0.0,244.3,471.6,0.0
2023-01-01T17:30:00+00:00,0.0,265.4,535.2,0.0
2023-01-01T18:00:00+00:00,0.0,372.4,545.3,0.0
2023-01-01T18:30:00+00:00,0.0,415.9,597.7,0.0
2023-01-01T19:00:00+00:00,0.0,446.0,580.5,0.0
2023-01-01T19:30:00+00:00,0.0,289.9,571.2,0.0
