Time (Local),Bioenergy,Hydro,Wind,Solar
2023-01-01T00:00:00+02:00,27.0,299.0,43.0,
2023-01-01T01:00:00+02:00,20.0,16.0,32.0,
2023-01-01T02:00:00+02:00,20.0,0.0,33.0,
2023-01-01T03:00:00+02:00,19.0,0.0,15.0,
2023-01-01T04:00:00+02:00,19.0,0.0,18.0,
2023-01-01T05:00:00+02:00,19.0,0.0,11.0,
2023-01-01T06:00:00+02:00,19.0,0.0,7.0,
2023-01-01T07:00:00+02:00,19.0,0.0,3.0,
2023-01-01T08:00:00+02:00,19.0,89.0,4.0,
2023-01-01T09:00:00+02:00,20.0,91.0,10.0,
2023-01-01T10:00:00+02:00,20.0,105.0,10.0,
2023-01-01T11:00:00+02:00,19.0,560.0,4.0,
2023-01-01T12:00:00+02:00,19.0,573.0,6.0,
2023-01-01T13:00:00+02:00,20.0,559.0,3.0,
2023-01-01T14:00:00+02:00,20.0,556.0,0.0,
2023-01-01T15:00:00+02:00,20.0,572.0,0.0,
2023-01-01T16:00:00+02:00,19.0,664.0,0.0,
2023-01-01T17:00:00+02:00,22.0,665.0,2.0,
2023-01-01T18:00:00+02:00,25.0,881.0,5.0,
2023-01-01T19:00:00+02:00,27.0,890.0,3.0,
2023-01-01T20:00:00+02:00,26.0,895.0,11.0,
2023-01-01T21:00:00+02:00,23.0,892.0,16.0,
2023-01-01T22:00:00+02:00,19.0,815.0,2.0,
2023-01-01T23:00:00+02:00,18.0,763.0,0.0,
2023-01-02T00:00:00+02:00,21.0,531.0,0.0,
2023-01-02T01:00:00+02:00,24.0,454.0,0.0,
2023-01-02T02:00:00+02:00,22.0,452.0,0.0,
2023-01-02T03:00:00+02:00,23.0,452.0,0.0,
2023-01-02T04:00:00+02:00,27.0,452.0,0.0,
2023-01-02T05:00:00+02:00,30.0,452.0,1.0,
2023-01-02T06:00:00+02:00,30.0,452.0,9.0,
2023-01-02T07:00:00+02:00,31.0,508.0,17.0,
2023-01-02T08:00:00+02:00,32.0,664.0,16.0,
2023-01-02T09:00:00+02:00,33.0,671.0,24.0,
2023-01-02T10:00:00+02:00,32.0,632.0,22.0,
2023-01-02T11:00:00+02:00,33.0,719.0,15.0,
2023-01-02T12:00:00+02:00,33.0,797.0,15.0,
2023-01-02T13:00:00+02:00,32.0,858.0,16.0,
2023-01-02T14:00:00+02:00,31.0,849.0,15.0,
2023-01-02T15:00:00+02:00,33.0,932.0,16.0,
2023-01-02T16:00:00+02:00,34.0,967.0,23.0,
2023-01-02T17:00:00+02:00,34.0,967.0,28.0,
2023-01-02T18:00:00+02:00,34.0,975.0,36.0,
2023-01-02T19:00:00+02:00,34.0,984.0,35.0,
2023-01-02T20:00:00+02:00,34.0,984.0,31.0,
2023-01-02T21:00:00+02:00,34.0,965.0,52.0,
2023-01-02T22:00:00+02:00,32.0,709.0,76.0,
2023-01-02T23:00:00+02:00,28.0,633.0,84.0,
2023-01-03T00:00:00+02:00,24.0,494.0,99.0,
2023-01-03T01:00:00+02:00,28.0,645.0,98.0,
2023-01-03T02:00:00+02:00,26.0,644.0,101.0,
2023-01-03T03:00:00+02:00,28.0,644.0,99.0,
2023-01-03T04:00:00+02:00,29.0,642.0,96.0,
2023-01-03T05:00:00+02:00,33.0,627.0,87.0,
2023-01-03T06:00:00+02:00,33.0,684.0,89.0,
2023-01-03T07:00:00+02:00,35.0,821.0,97.0,
2023-01-03T08:00:00+02:00,36.0,848.0,87.0,
2023-01-03T09:00:00+02:00,38.0,938.0,89.0,
2023-01-03T10:00:00+02:00,40.0,974.0,76.0,
2023-01-03T11:00:00+02:00,39.0,986.0,74.0,
2023-01-03T12:00:00+02:00,39.0,1058.0,79.0,
2023-01-03T13:00:00+02:00,38.0,1058.0,74.0,
2023-01-03T14:00:00+02:00,38.0,1059.0,73.0,
2023-01-03T15:00:00+02:00,39.0,1060.0,68.0,
2023-01-03T16:00:00+02:00,38.0,1060.0,62.0,
2023-01-03T17:00:00+02:00,39.0,1108.0,61.0,
2023-01-03T18:00:00+02:00,39.0,1107.0,52.0,
2023-01-03T19:00:00+02:00,40.0,1108.0,42.0,
2023-01-03T20:00:00+02:00,40.0,1049.0,38.0,
2023-01-03T21:00:00+02:00,38.0,994.0,37.0,
2023-01-03T22:00:00+02:00,37.0,935.0,36.0,
2023-01-03T23:00:00+02:00,35.0,926.0,32.0,
2023-01-04T00:00:00+02:00,30.0,775.0,30.0,
2023-01-04T01:00:00+02:00,32.0,687.0,22.0,
2023-01-04T02:00:00+02:00,34.0,687.0,13.0,
2023-01-04T03:00:00+02:00,35.0,682.0,8.0,
2023-01-04T04:00:00+02:00,35.0,686.0,12.0,
