Time (Local),Bioenergy,Hydro,Wind,Solar
2023-01-01T00:00:00+02:00,90.1,194.7,537.1,0.0
2023-01-01T01:00:00+02:00,90.1,25.1,526.1,0.0
2023-01-01T02:00:00+02:00,89.9,24.8,505.2,0.0
2023-01-01T03:00:00+02:00,89.9,24.8,460.7,0.0
2023-01-01T04:00:00+02:00,89.9,24.8,444.4,0.0
2023-01-01T05:00:00+02:00,89.7,24.8,426.6,0.0
2023-01-01T06:00:00+02:00,89.8,24.8,375.7,0.0
2023-01-01T07:00:00+02:00,89.9,92.5,430.6,0.0
2023-01-01T08:00:00+02:00,89.7,166.5,506.6,0.1
2023-01-01T09:00:00+02:00,90.0,150.6,550.5,5.8
2023-01-01T10:00:00+02:00,90.1,26.099999999999998,571.1,5.8
2023-01-01T11:00:00+02:00,89.5,25.8,571.8,5.8
2023-01-01T12:00:00+02:00,89.4,25.8,571.5,5.8
2023-01-01T13:00:00+02:00,89.9,46.9,571.4,5.8
2023-01-01T14:00:00+02:00,90.0,46.8,569.0,5.8
2023-01-01T15:00:00+02:00,89.6,88.2,516.2,5.8
2023-01-01T16:00:00+02:00,89.6,66.4,546.6,5.8
2023-01-01T17:00:00+02:00,89.5,63.6,571.3,5.8
2023-01-01T18:00:00+02:00,89.6,89.8,569.2,5.8
2023-01-01T19:00:00+02:00,89.7,79.8,569.7,5.8
2023-01-01T20:00:00+02:00,88.2,88.2,565.2,5.8
2023-01-01T21:00:00+02:00,88.2,50.7,556.9,5.8
2023-01-01T22:00:00+02:00,87.6,46.9,513.1,5.8
2023-01-01T23:00:00+02:00,84.1,49.8,407.0,5.8
2023-01-02T00:00:00+02:00,83.80000000000001,74.2,322.1,5.8
2023-01-02T01:00:00+02:00,80.0,46.9,221.5,5.8
2023-01-02T02:00:00+02:00,73.4,57.1,188.4,5.8
2023-01-02T03:00:00+02:00,73.4,46.9,143.2,5.8
2023-01-02T04:00:00+02:00,73.30000000000001,46.9,111.4,5.8
2023-01-02T05:00:00+02:00,73.4,47.0,41.1,5.8
2023-01-02T06:00:00+02:00,73.1,46.9,35.7,5.8
2023-01-02T07:00:00+02:00,73.2,47.4,66.3,5.8
2023-01-02T08:00:00+02:00,72.6,239.4,83.6,5.8
2023-01-02T09:00:00+02:00,72.6,239.79999999999998,99.6,5.8
2023-01-02T10:00:00+02:00,72.6,240.60000000000002,112.0,5.8
2023-01-02T11:00:00+02:00,72.0,283.0,126.0,17.6
2023-01-02T12:00:00+02:00,72.0,144.4,140.8,17.2
2023-01-02T13:00:00+02:00,71.80000000000001,90.2,201.6,11.6
2023-01-02T14:00:00+02:00,71.7,88.2,267.0,6.6
2023-01-02T15:00:00+02:00,71.7,88.8,329.4,2.0
2023-01-02T16:00:00+02:00,71.6,269.4,370.4,0.0
2023-01-02T17:00:00+02:00,71.7,280.5,392.0,0.0
2023-01-02T18:00:00+02:00,71.6,269.6,442.5,0.0
2023-01-02T19:00:00+02:00,71.9,207.5,491.9,0.0
2023-01-02T20:00:00+02:00,71.80000000000001,201.6,521.5,0.0
2023-01-02T21:00:00+02:00,71.9,88.2,545.4,0.0
2023-01-02T22:00:00+02:00,72.0,88.2,535.4,0.0
2023-01-02T23:00:00+02:00,72.5,46.7,548.9,0.0
2023-01-03T00:00:00+02:00,73.9,46.9,549.3,0.0
2023-01-03T01:00:00+02:00,82.9,47.0,560.3,0.0
2023-01-03T02:00:00+02:00,87.7,47.0,557.8,0.0
2023-01-03T03:00:00+02:00,88.80000000000001,47.1,554.6,0.0
2023-01-03T04:00:00+02:00,89.2,49.7,527.8,0.0
2023-01-03T05:00:00+02:00,88.7,49.8,530.1,0.0
2023-01-03T06:00:00+02:00,88.6,50.0,562.8,0.0
2023-01-03T07:00:00+02:00,88.5,124.80000000000001,565.8,0.0
2023-01-03T08:00:00+02:00,88.1,291.9,569.3,0.1
2023-01-03T09:00:00+02:00,88.0,289.0,567.2,5.3
2023-01-03T10:00:00+02:00,87.80000000000001,274.3,560.4,15.3
2023-01-03T11:00:00+02:00,87.9,286.6,548.0,20.4
2023-01-03T12:00:00+02:00,88.1,298.70000000000005,531.6,27.8
2023-01-03T13:00:00+02:00,87.9,299.4,514.7,23.8
2023-01-03T14:00:00+02:00,87.80000000000001,347.9,476.6,13.6
