Time (Local),Bioenergy,Hydro,Wind,Solar
2023-01-01T00:00:00+01:00,0.0,267.3,11.1,0.0
2023-01-01T01:00:00+01:00,0.0,224.0,15.1,0.0
2023-01-01T02:00:00+01:00,0.0,159.1,16.1,0.0
2023-01-01T03:00:00+01:00,0.0,102.1,16.5,0.0
2023-01-01T04:00:00+01:00,0.0,59.8,24.7,0.0
2023-01-01T05:00:00+01:00,0.0,45.7,23.4,0.0
2023-01-01T06:00:00+01:00,0.0,46.0,16.7,0.0
2023-01-01T07:00:00+01:00,0.0,76.3,9.8,0.0
2023-01-01T08:00:00+01:00,0.0,129.8,9.2,0.0
2023-01-01T09:00:00+01:00,0.0,119.6,5.6,0.0
2023-01-01T10:00:00+01:00,0.0,164.9,4.0,0.0
2023-01-01T11:00:00+01:00,0.0,206.8,4.4,0.0
2023-01-01T12:00:00+01:00,0.0,206.7,2.1,0.0
2023-01-01T13:00:00+01:00,0.0,207.1,1.3,0.0
2023-01-01T14:00:00+01:00,0.0,205.8,0.1,0.0
2023-01-01T15:00:00+01:00,0.0,233.6,0.0,0.0
2023-01-01T16:00:00+01:00,0.0,273.5,0.1,0.0
2023-01-01T17:00:00+01:00,0.0,285.2,0.0,0.0
2023-01-01T18:00:00+01:00,0.0,277.7,0.0,0.0
2023-01-01T19:00:00+01:00,0.0,244.3,0.0,0.0
2023-01-01T20:00:00+01:00,0.0,233.9,0.0,0.0
2023-01-01T21:00:00+01:00,0.0,224.9,0.0,0.0
2023-01-01T22:00:00+01:00,0.0,230.7,0.0,0.0
2023-01-01T23:00:00+01:00,0.0,180.3,0.0,0.0
2023-01-02T00:00:00+01:00,0.0,227.6,0.0,0.0
2023-01-02T01:00:00+01:00,0.0,163.6,0.0,0.0
2023-01-02T02:00:00+01:00,0.0,102.3,0.0,0.0
2023-01-02T03:00:00+01:00,0.0,45.9,0.0,0.0
2023-01-02T04:00:00+01:00,0.0,2.4,0.0,0.0
2023-01-02T05:00:00+01:00,0.0,36.9,0.0,0.0
2023-01-02T06:00:00+01:00,0.0,134.8,0.0,0.0
2023-01-02T07:00:00+01:00,0.0,94.4,0.2,0.0
2023-01-02T08:00:00+01:00,0.0,161.5,1.6,0.0
2023-01-02T09:00:00+01:00,0.0,235.3,2.4,0.0
2023-01-02T10:00:00+01:00,0.0,304.6,0.5,0.0
2023-01-02T11:00:00+01:00,0.0,326.5,0.1,0.0
2023-01-02T12:00:00+01:00,0.0,330.6,0.0,0.0
2023-01-02T13:00:00+01:00,0.0,322.8,0.0,0.0
2023-01-02T14:00:00+01:00,0.0,322.9,0.0,0.0
2023-01-02T15:00:00+01:00,0.0,330.0,0.0,0.0
2023-01-02T16:00:00+01:00,0.0,365.4,0.0,0.0
2023-01-02T17:00:00+01:00,0.0,400.7,0.0,0.0
2023-01-02T18:00:00+01:00,0.0,404.2,0.0,0.0
2023-01-02T19:00:00+01:00,0.0,387.8,0.0,0.0
2023-01-02T20:00:00+01:00,0.0,357.0,0.0,0.0
2023-01-02T21:00:00+01:00,0.0,356.4,0.2,0.0
2023-01-02T22:00:00+01:00,0.0,420.6,0.7,0.0
2023-01-02T23:00:00+01:00,0.0,428.3,0.5,0.0
2023-01-03T00:00:00+01:00,0.0,336.4,0.7,0.0
2023-01-03T01:00:00+01:00,0.0,271.5,1.5,0.0
2023-01-03T02:00:00+01:00,0.0,202.9,2.2,0.0
2023-01-03T03:00:00+01:00,0.0,149.6,6.9,0.0
2023-01-03T04:00:00+01:00,0.0,130.7,17.6,0.0
2023-01-03T05:00:00+01:00,0.0,147.6,17.6,0.0
2023-01-03T06:00:00+01:00,0.0,173.5,19.1,0.0
2023-01-03T07:00:00+01:00,0.0,178.2,13.2,0.0
