Time (Local),Bioenergy,Hydro,Wind,Solar
2023-01-01T00:00:00+00:00,385.5,2067.0,3417.1,0.0
2023-01-01T01:00:00+00:00,381.3,1485.3999999999999,3556.7,0.0
2023-01-01T02:00:00+00:00,374.9,1212.0,3673.1,0.0
2023-01-01T03:00:00+00:00,372.3,1184.2,4074.0,0.0
2023-01-01T04:00:00+00:00,371.2,917.4,4018.6,0.0
2023-01-01T05:00:00+00:00,372.4,912.8,3887.3,0.0
2023-01-01T06:00:00+00:00,373.6,874.5999999999999,3766.5,0.0
2023-01-01T07:00:00+00:00,374.8,823.4,3465.2999999999997,0.1
2023-01-01T08:00:00+00:00,375.7,815.1,3327.2999999999997,29.3
2023-01-01T09:00:00+00:00,370.7,920.7,3385.5,148.8
2023-01-01T10:00:00+00:00,368.3,1054.6,3424.5,461.1
2023-01-01T11:00:00+00:00,366.3,1964.9,3390.3,683.1
2023-01-01T12:00:00+00:00,362.9,1662.3,3929.1000000000004,665.8
2023-01-01T13:00:00+00:00,362.6,1716.6,4079.3999999999996,478.6
2023-01-01T14:00:00+00:00,352.7,1806.0000000000002,3962.3,271.0
2023-01-01T15:00:00+00:00,368.6,2273.5,3619.4,136.3
2023-01-01T16:00:00+00:00,361.4,2774.2,3110.7,53.3
2023-01-01T17:00:00+00:00,347.7,4351.1,2459.7000000000003,0.7
2023-01-01T18:00:00+00:00,348.3,5565.0,2019.7,0.0
2023-01-01T19:00:00+00:00,347.7,5601.0,2013.4,0.0
2023-01-01T20:00:00+00:00,351.2,5320.6,2189.0,0.0
2023-01-01T21:00:00+00:00,349.5,4940.299999999999,2367.9,0.0
2023-01-01T22:00:00+00:00,351.6,4662.9,2044.6,0.0
2023-01-01T23:00:00+00:00,351.1,3687.5,1502.8999999999999,0.0
2023-01-02T00:00:00+00:00,343.8,3210.0,1081.7,0.0
2023-01-02T01:00:00+00:00,344.0,2940.7999999999997,852.3000000000001,0.0
2023-01-02T02:00:00+00:00,350.6,2875.5,811.3000000000001,0.0
2023-01-02T03:00:00+00:00,345.7,2991.2,891.0,0.0
2023-01-02T04:00:00+00:00,344.8,3070.6,943.0,0.0
2023-01-02T05:00:00+00:00,349.4,3307.3999999999996,915.3,0.0
2023-01-02T06:00:00+00:00,353.9,3438.4,885.1999999999999,0.0
2023-01-02T07:00:00+00:00,346.2,4451.3,696.8000000000001,0.9
