Time (Local),Bioenergy,Hydro,Wind,Solar
2023-01-01T00:00:00+01:00,30.0,1039.0,66.1,0.0
2023-01-01T01:00:00+01:00,30.0,1001.0,105.1,0.0
2023-01-01T02:00:00+01:00,30.0,909.0,157.2,0.0
2023-01-01T03:00:00+01:00,30.0,764.0,75.9,0.0
2023-01-01T04:00:00+01:00,30.0,876.0,37.6,0.0
2023-01-01T05:00:00+01:00,30.0,996.0,94.9,0.0
2023-01-01T06:00:00+01:00,30.0,844.0,121.2,0.0
2023-01-01T07:00:00+01:00,30.0,890.0,116.3,0.0
2023-01-01T08:00:00+01:00,30.0,1099.0,110.8,0.0
2023-01-01T09:00:00+01:00,30.0,1314.0,70.3,0.0
2023-01-01T10:00:00+01:00,30.0,1493.0,92.4,0.0
2023-01-01T11:00:00+01:00,30.0,1487.0,66.1,0.0
2023-01-01T12:00:00+01:00,30.0,1382.0,60.6,0.0
2023-01-01T13:00:00+01:00,30.0,1357.0,49.0,0.0
2023-01-01T14:00:00+01:00,30.0,1355.0,40.3,0.0
2023-01-01T15:00:00+01:00,30.0,1347.0,38.5,0.0
2023-01-01T16:00:00+01:00,30.0,1453.0,48.1,0.0
2023-01-01T17:00:00+01:00,30.0,1420.0,87.5,0.0
2023-01-01T18:00:00+01:00,30.0,1224.0,110.5,0.0
2023-01-01T19:00:00+01:00,30.0,1256.0,62.8,0.0
2023-01-01T20:00:00+01:00,30.0,1280.0,49.5,0.0
2023-01-01T21:00:00+01:00,30.0,1196.0,80.8,0.0
2023-01-01T22:00:00+01:00,30.0,1220.0,96.8,0.0
2023-01-01T23:00:00+01:00,30.0,1322.0,96.0,0.0
2023-01-02T00:00:00+01:00,30.0,1262.0,72.2,0.0
2023-01-02T01:00:00+01:00,30.0,1156.0,44.6,0.0
2023-01-02T02:00:00+01:00,30.0,1041.0,27.8,0.0
2023-01-02T03:00:00+01:00,30.0,993.0,23.4,0.0
2023-01-02T04:00:00+01:00,30.0,891.0,34.1,0.0
2023-01-02T05:00:00+01:00,30.0,770.0,42.8,0.0
2023-01-02T06:00:00+01:00,30.0,962.0,55.5,0.0
2023-01-02T07:00:00+01:00,30.0,1076.0,92.8,0.0
2023-01-02T08:00:00+01:00,30.0,1336.0,105.4,0.0
2023-01-02T09:00:00+01:00,30.0,1539.0,85.5,0.0
2023-01-02T10:00:00+01:00,30.0,1677.0,65.9,0.0
2023-01-02T11:00:00+01:00,30.0,1670.0,52.1,0.0
2023-01-02T12:00:00+01:00,30.0,1609.0,39.9,0.0
2023-01-02T13:00:00+01:00,30.0,1576.0,40.8,0.0
2023-01-02T14:00:00+01:00,30.0,1445.0,43.7,0.0
2023-01-02T15:00:00+01:00,30.0,1446.0,32.5,0.0
2023-01-02T16:00:00+01:00,30.0,1545.0,46.1,0.0
2023-01-02T17:00:00+01:00,30.0,1699.0,58.9,0.0
2023-01-02T18:00:00+01:00,30.0,1679.0,56.5,0.0
2023-01-02T19:00:00+01:00,30.0,1665.0,49.7,0.0
2023-01-02T20:00:00+01:00,30.0,1658.0,24.3,0.0
2023-01-02T21:00:00+01:00,30.0,1187.0,15.9,0.0
2023-01-02T22:00:00+01:00,30.0,1098.0,23.5,0.0
2023-01-02T23:00:00+01:00,30.0,1023.0,24.3,0.0
2023-01-03T00:00:00+01:00,30.0,1579.0,13.1,0.0
2023-01-03T01:00:00+01:00,30.0,1321.0,4.8,0.0
2023-01-03T02:00:00+01:00,30.0,1086.0,0.0,0.0
2023-01-03T03:00:00+01:00,30.0,778.0,5.3,0.0
2023-01-03T04:00:00+01:00,30.0,460.0,4.7,0.0
2023-01-03T05:00:00+01:00,30.0,824.0,1.6,0.0
2023-01-03T06:00:00+01:00,30.0,958.0,1.6,0.0
2023-01-03T07:00:00+01:00,30.0,1088.0,20.9,0.0
2023-01-03T08:00:00+01:00,30.0,1295.0,45.6,0.0
2023-01-03T09:00:00+01:00,30.0,1370.0,56.2,0.0
2023-01-03T10:00:00+01:00,30.0,1458.0,22.2,0.0
2023-01-03T11:00:00+01:00,30.0,1426.0,7.3,0.0
2023-01-03T12:00:00+01:00,30.0,1423.0,8.4,0.0
2023-01-03T13:00:00+01:00,30.0,1318.0,13.2,0.0
2023-01-03T14:00:00+01:00,30.0,1291.0,26.4,0.0
2023-01-03T15:00:00+01:00,30.0,1303.0,53.6,0.0
2023-01-03T16:00:00+01:00,30.0,1549.0,91.8,0.0
2023-01-03T17:00:00+01:00,30.0,1776.0,46.2,0.0
2023-01-03T18:00:00+01:00,30.0,1770.0,31.2,0.0
2023-01-03T19:00:00+01:00,30.0,1686.0,60.0,0.0
2023-01-03T20:00:00+01:00,30.0,1644.0,52.0,0.0
2023-01-03T21:00:00+01:00,30.0,1650.0,29.5,0.0
2023-01-03T22:00:00+01:00,30.0,1861.0,23.8,0.0
2023-01-03T23:00:00+01:00,30.0,1813.0,23.8,0.0
2023-01-04T00:00:00+01:00,30.0,1440.0,13.9,0.0
2023-01-04T01:00:00+01:00,30.0,1261.0,18.3,0.0
2023-01-04T02:00:00+01:00,30.0,917.0,25.6,0.0
2023-01-04T03:00:00+01:00,30.0,749.0,21.3,0.0
2023-01-04T04:00:00+01:00,30.0,686.0,8.0,0.0
2023-01-04T05:00:00+01:00,30.0,826.0,5.6,0.0
2023-01-04T06:00:00+01:00,30.0,831.0,7.1,0.0
2023-01-04T07:00:00+01:00,30.0,1007.0,14.7,0.0
2023-01-04T08:00:00+01:00,30.0,1387.0,30.3,0.0
2023-01-04T09:00:00+01:00,30.0,1594.0,16.8,0.0
2023-01-04T10:00:00+01:00,30.0,1655.0,4.7,0.0
2023-01-04T11:00:00+01:00,30.0,1680.0,2.5,0.0
2023-01-04T12:00:00+01:00,30.0,1729.0,0.0,0.0
2023-01-04T13:00:00+01:00,30.0,1692.0,0.8,0.0
2023-01-04T14:00:00+01:00,30.0,1637.0,0.0,0.0
2023-01-04T15:00:00+01:00,30.0,1641.0,0.0,0.0
2023-01-04T16:00:00+01:00,30.0,1933.0,0.0,0.0
2023-01-04T17:00:00+01:00,30.0,2032.0,12.7,0.0
2023-01-04T18:00:00+01:00,30.0,1996.0,45.8,0.0
2023-01-04T19:00:00+01:00,30.0,1867.0,69.2,0.0
2023-01-04T20:00:00+01:00,30.0,1386.0,72.7,0.0
2023-01-04T21:00:00+01:00,30.0,1279.0,96.4,0.0
2023-01-04T22:00:00+01:00,30.0,1215.0,112.2,0.0
2023-01-04T23:00:00+01:00,30.0,1314.0,133.0,0.0
2023-01-05T00:00:00+01:00,30.0,1128.0,170.8,0.0
2023-01-05T01:00:00+01:00,30.0,1070.0,174.1,0.0
2023-01-05T02:00:00+01:00,30.0,798.0,152.7,0.0
2023-01-05T03:00:00+01:00,30.0,573.0,240.4,0.0
2023-01-05T04:00:00+01:00,30.0,561.0,227.6,0.0
2023-01-05T05:00:00+01:00,30.0,672.0,238.6,0.0
2023-01-05T06:00:00+01:00,30.0,1001.0,257.4,0.0
2023-01-05T07:00:00+01:00,30.0,1409.0,212.2,0.0
2023-01-05T08:00:00+01:00,30.0,1691.0,155.5,0.0
2023-01-05T09:00:00+01:00,30.0,1722.0,89.6,0.0
2023-01-05T10:00:00+01:00,30.0,1727.0,57.6,0.0
2023-01-05T11:00:00+01:00,30.0,1778.0,41.4,0.0
2023-01-05T12:00:00+01:00,30.0,1710.0,46.9,0.0
2023-01-05T13:00:00+01:00,30.0,1487.0,57.1,0.0
2023-01-05T14:00:00+01:00,30.0,1362.0,39.4,0.0
2023-01-05T15:00:00+01:00,30.0,1474.0,90.5,0.0
2023-01-05T16:00:00+01:00,30.0,1657.0,138.4,0.0
2023-01-05T17:00:00+01:00,30.0,1835.0,135.8,0.0
2023-01-05T18:00:00+01:00,30.0,1895.0,128.9,0.0
2023-01-05T19:00:00+01:00,30.0,1868.0,103.9,0.0
2023-01-05T20:00:00+01:00,30.0,1626.0,196.7,0.0
2023-01-05T21:00:00+01:00,30.0,1203.0,181.5,0.0
2023-01-05T22:00:00+01:00,30.0,1080.0,209.1,0.0
2023-01-05T23:00:00+01:00,30.0,943.0,290.3,0.0
2023-01-06T00:00:00+01:00,30.0,722.0,354.2,0.0
2023-01-06T01:00:00+01:00,30.0,587.0,360.1,0.0
2023-01-06T02:00:00+01:00,30.0,556.0,368.8,0.0
2023-01-06T03:00:00+01:00,30.0,543.0,362.2,0.0
2023-01-06T04:00:00+01:00,30.0,541.0,361.8,0.0
2023-01-06T05:00:00+01:00,30.0,658.0,358.1,0.0
2023-01-06T06:00:00+01:00,30.0,808.0,355.7,0.0
2023-01-06T07:00:00+01:00,30.0,1004.0,332.0,0.0
2023-01-06T08:00:00+01:00,30.0,1037.0,260.9,0.0
2023-01-06T09:00:00+01:00,30.0,1188.0,187.7,0.0
2023-01-06T10:00:00+01:00,30.0,1158.0,206.9,0.0
2023-01-06T11:00:00+01:00,30.0,1076.0,283.7,0.0
2023-01-06T12:00:00+01:00,30.0,1366.0,220.3,0.0
2023-01-06T13:00:00+01:00,30.0,1482.0,144.4,0.0
2023-01-06T14:00:00+01:00,30.0,1495.0,110.7,0.0
2023-01-06T15:00:00+01:00,30.0,1516.0,64.6,0.0
2023-01-06T16:00:00+01:00,30.0,1828.0,56.6,0.0
2023-01-06T17:00:00+01:00,30.0,1901.0,37.9,0.0
2023-01-06T18:00:00+01:00,30.0,1776.0,8.5,0.0
2023-01-06T19:00:00+01:00,30.0,1655.0,0.0,0.0
2023-01-06T20:00:00+01:00,30.0,1480.0,0.0,0.0
