Time (Local),Bioenergy,Hydro,Wind,Solar
2023-01-01T00:00:00+01:00,16.799999999999997,159.2,0.1,0.0
2023-01-01T01:00:00+01:00,16.7,157.9,0.3,0.0
2023-01-01T02:00:00+01:00,16.5,157.5,0.3,0.0
2023-01-01T03:00:00+01:00,16.6,157.1,0.1,0.0
2023-01-01T04:00:00+01:00,16.4,157.9,0.3,0.0
2023-01-01T05:00:00+01:00,16.5,157.5,0.1,0.0
2023-01-01T06:00:00+01:00,16.5,213.7,0.0,0.1
2023-01-01T07:00:00+01:00,16.1,235.1,0.1,0.3
2023-01-01T08:00:00+01:00,16.6,230.9,0.1,9.6
2023-01-01T09:00:00+01:00,16.3,281.9,0.1,28.3
2023-01-01T10:00:00+01:00,16.3,276.7,0.1,49.9
2023-01-01T11:00:00+01:00,16.1,241.3,0.1,64.4
2023-01-01T12:00:00+01:00,16.3,227.6,0.1,65.7
2023-01-01T13:00:00+01:00,16.0,339.9,0.0,50.4
2023-01-01T14:00:00+01:00,16.1,350.5,0.1,27.3
2023-01-01T15:00:00+01:00,16.9,450.2,0.0,8.6
2023-01-01T16:00:00+01:00,16.7,579.1999999999999,0.0,0.2
2023-01-01T17:00:00+01:00,16.5,734.1999999999999,0.0,0.0
2023-01-01T18:00:00+01:00,16.6,703.5,0.1,0.0
2023-01-01T19:00:00+01:00,17.1,836.0,0.1,0.0
2023-01-01T20:00:00+01:00,17.0,640.8,0.1,0.0
2023-01-01T21:00:00+01:00,17.6,442.5,0.2,0.0
2023-01-01T22:00:00+01:00,17.4,346.2,0.1,0.0
2023-01-01T23:00:00+01:00,16.799999999999997,198.9,0.1,0.0
2023-01-02T00:00:00+01:00,17.3,141.2,0.3,0.0
2023-01-02T01:00:00+01:00,16.700000000000003,140.1,0.3,0.0
2023-01-02T02:00:00+01:00,16.8,136.2,0.3,0.0
2023-01-02T03:00:00+01:00,16.700000000000003,133.8,0.2,0.0
2023-01-02T04:00:00+01:00,16.6,136.2,0.3,0.0
2023-01-02T05:00:00+01:00,16.6,140.5,0.2,0.0
2023-01-02T06:00:00+01:00,16.5,244.0,0.2,0.0
2023-01-02T07:00:00+01:00,16.9,416.9,0.1,0.4
2023-01-02T08:00:00+01:00,17.0,466.8,0.2,11.1
2023-01-02T09:00:00+01:00,16.8,432.6,0.1,30.8
2023-01-02T10:00:00+01:00,16.6,380.1,0.1,49.2
2023-01-02T11:00:00+01:00,17.0,339.1,0.1,59.9
2023-01-02T12:00:00+01:00,16.4,394.2,0.1,64.5
2023-01-02T13:00:00+01:00,15.8,346.6,0.0,54.3
2023-01-02T14:00:00+01:00,16.2,372.6,0.1,29.9
2023-01-02T15:00:00+01:00,16.4,467.4,0.1,8.9
2023-01-02T16:00:00+01:00,16.0,683.4,0.0,0.2
2023-01-02T17:00:00+01:00,16.4,770.8,0.0,0.0
2023-01-02T18:00:00+01:00,16.8,946.2,0.1,0.0
2023-01-02T19:00:00+01:00,17.200000000000003,872.1,0.1,0.0
2023-01-02T20:00:00+01:00,16.8,635.3,0.1,0.0
2023-01-02T21:00:00+01:00,17.200000000000003,509.2,0.1,0.0
2023-01-02T22:00:00+01:00,17.200000000000003,346.6,0.1,0.0
2023-01-02T23:00:00+01:00,16.8,230.5,0.0,0.0
2023-01-03T00:00:00+01:00,16.2,137.7,0.0,0.0
2023-01-03T01:00:00+01:00,15.6,136.5,0.0,0.0
2023-01-03T02:00:00+01:00,15.6,136.2,0.0,0.0
2023-01-03T03:00:00+01:00,15.6,136.0,0.0,0.0
2023-01-03T04:00:00+01:00,15.3,135.8,0.0,0.0
2023-01-03T05:00:00+01:00,15.4,137.1,0.0,0.0
2023-01-03T06:00:00+01:00,15.4,162.6,0.0,0.0
2023-01-03T07:00:00+01:00,15.700000000000001,404.7,0.0,0.3
2023-01-03T08:00:00+01:00,15.0,771.3,0.0,7.1
2023-01-03T09:00:00+01:00,15.4,765.6,0.0,17.8
2023-01-03T10:00:00+01:00,15.3,659.5,0.0,27.4
2023-01-03T11:00:00+01:00,15.5,496.2,0.0,32.9
2023-01-03T12:00:00+01:00,15.4,457.2,0.0,33.5
2023-01-03T13:00:00+01:00,14.4,386.4,0.0,24.2
2023-01-03T14:00:00+01:00,15.2,363.8,0.0,12.6
2023-01-03T15:00:00+01:00,15.1,692.8,0.0,3.8
2023-01-03T16:00:00+01:00,15.0,818.6,0.0,0.1
2023-01-03T17:00:00+01:00,15.299999999999999,891.5,0.0,0.0
2023-01-03T18:00:00+01:00,16.1,816.9,0.0,0.0
2023-01-03T19:00:00+01:00,15.899999999999999,579.5,0.0,0.0
2023-01-03T20:00:00+01:00,16.0,393.0,0.0,0.0
2023-01-03T21:00:00+01:00,15.6,244.1,0.0,0.0
2023-01-03T22:00:00+01:00,15.799999999999999,203.2,0.0,0.0
2023-01-03T23:00:00+01:00,16.0,189.1,0.2,0.0
2023-01-04T00:00:00+01:00,15.1,125.9,0.7,0.0
2023-01-04T01:00:00+01:00,15.0,125.7,0.8,0.0
