Time (Local),Bioenergy,Hydro,Wind,Solar
2023-01-01T00:00:00+01:00,400.0,3684.0,7108.0,20.0
2023-01-01T00:15:00+01:00,396.0,3168.0,6548.0,20.0
2023-01-01T00:30:00+01:00,396.0,3100.0,6112.0,20.0
2023-01-01T00:45:00+01:00,404.0,3112.0,5916.0,20.0
2023-01-01T01:00:00+01:00,404.0,3196.0,5624.0,20.0
2023-01-01T01:15:00+01:00,388.0,3580.0,5480.0,20.0
2023-01-01T01:30:00+01:00,376.0,3468.0,5904.0,20.0
2023-01-01T01:45:00+01:00,384.0,3252.0,5980.0,20.0
2023-01-01T02:00:00+01:00,388.0,3124.0,5516.0,20.0
2023-01-01T02:15:00+01:00,384.0,3328.0,5632.0,20.0
2023-01-01T02:30:00+01:00,384.0,3384.0,5592.0,20.0
2023-01-01T02:45:00+01:00,384.0,3228.0,5572.0,20.0
2023-01-01T03:00:00+01:00,384.0,2964.0,5368.0,20.0
2023-01-01T03:15:00+01:00,400.0,2908.0,5640.0,20.0
2023-01-01T03:30:00+01:00,400.0,2948.0,5328.0,20.0
2023-01-01T03:45:00+01:00,404.0,2836.0,5264.0,20.0
2023-01-01T04:00:00+01:00,408.0,2828.0,5168.0,20.0
2023-01-01T04:15:00+01:00,412.0,2668.0,4928.0,20.0
2023-01-01T04:30:00+01:00,416.0,2684.0,4536.0,20.0
2023-01-01T04:45:00+01:00,412.0,2652.0,4432.0,20.0
2023-01-01T05:00:00+01:00,412.0,2576.0,4412.0,20.0
2023-01-01T05:15:00+01:00,412.0,2812.0,4384.0,16.0
2023-01-01T05:30:00+01:00,412.0,2788.0,4408.0,16.0
2023-01-01T05:45:00+01:00,408.0,2676.0,4452.0,16.0
2023-01-01T06:00:00+01:00,408.0,2660.0,4428.0,16.0
2023-01-01T06:15:00+01:00,408.0,2656.0,4408.0,16.0
2023-01-01T06:30:00+01:00,396.0,2628.0,4524.0,16.0
2023-01-01T06:45:00+01:00,392.0,2644.0,4596.0,16.0
2023-01-01T07:00:00+01:00,380.0,2704.0,4644.0,16.0
2023-01-01T07:15:00+01:00,388.0,2900.0,4720.0,16.0
2023-01-01T07:30:00+01:00,396.0,2932.0,4896.0,16.0
2023-01-01T07:45:00+01:00,404.0,2992.0,4872.0,16.0
2023-01-01T08:00:00+01:00,400.0,2936.0,4812.0,16.0
2023-01-01T08:15:00+01:00,408.0,3008.0,4688.0,28.0
2023-01-01T08:30:00+01:00,400.0,3112.0,4272.0,20.0
2023-01-01T08:45:00+01:00,400.0,3088.0,4052.0,36.0
2023-01-01T09:00:00+01:00,396.0,3136.0,4028.0,128.0
2023-01-01T09:15:00+01:00,384.0,3176.0,4144.0,356.0
2023-01-01T09:30:00+01:00,376.0,3288.0,4124.0,676.0
2023-01-01T09:45:00+01:00,380.0,3344.0,4168.0,1012.0
2023-01-01T10:00:00+01:00,376.0,3268.0,4284.0,1328.0
2023-01-01T10:15:00+01:00,376.0,3536.0,4768.0,1876.0
2023-01-01T10:30:00+01:00,372.0,3360.0,5008.0,2392.0
2023-01-01T10:45:00+01:00,380.0,2984.0,5580.0,2916.0
2023-01-01T11:00:00+01:00,396.0,3124.0,5424.0,3096.0
2023-01-01T11:15:00+01:00,400.0,3348.0,5728.0,3604.0
2023-01-01T11:30:00+01:00,392.0,3432.0,5860.0,3944.0
2023-01-01T11:45:00+01:00,392.0,3572.0,5832.0,4164.0
2023-01-01T12:00:00+01:00,392.0,3556.0,5772.0,4308.0
2023-01-01T12:15:00+01:00,388.0,3348.0,6264.0,4332.0
2023-01-01T12:30:00+01:00,392.0,3184.0,6340.0,4408.0
2023-01-01T12:45:00+01:00,388.0,3176.0,5904.0,4836.0
2023-01-01T13:00:00+01:00,392.0,3192.0,5936.0,5068.0
2023-01-01T13:15:00+01:00,388.0,3164.0,6360.0,5172.0
2023-01-01T13:30:00+01:00,388.0,3312.0,6236.0,5172.0
2023-01-01T13:45:00+01:00,392.0,3516.0,5804.0,5356.0
2023-01-01T14:00:00+01:00,392.0,3616.0,5876.0,5412.0
2023-01-01T14:15:00+01:00,396.0,3404.0,6224.0,5352.0
2023-01-01T14:30:00+01:00,400.0,3492.0,6132.0,5216.0
2023-01-01T14:45:00+01:00,396.0,3616.0,5924.0,5208.0
2023-01-01T15:00:00+01:00,396.0,3720.0,5856.0,5092.0
2023-01-01T15:15:00+01:00,388.0,3504.0,6012.0,4876.0
2023-01-01T15:30:00+01:00,388.0,3500.0,5924.0,4644.0
2023-01-01T15:45:00+01:00,392.0,3644.0,5544.0,4512.0
2023-01-01T16:00:00+01:00,392.0,3728.0,5560.0,4176.0
2023-01-01T16:15:00+01:00,400.0,3716.0,5652.0,3728.0
2023-01-01T16:30:00+01:00,392.0,3836.0,5872.0,2968.0
2023-01-01T16:45:00+01:00,388.0,3952.0,6184.0,2236.0
2023-01-01T17:00:00+01:00,388.0,4232.0,6388.0,1640.0
2023-01-01T17:15:00+01:00,392.0,4408.0,6568.0,1196.0
2023-01-01T17:30:00+01:00,392.0,4216.0,7496.0,824.0
2023-01-01T17:45:00+01:00,392.0,4552.0,8088.0,464.0
2023-01-01T18:00:00+01:00,396.0,4784.0,8668.0,160.0
2023-01-01T18:15:00+01:00,404.0,4448.0,9720.0,28.0
2023-01-01T18:30:00+01:00,404.0,4824.0,10348.0,4.0
2023-01-01T18:45:00+01:00,408.0,5188.0,10528.0,0.0
2023-01-01T19:00:00+01:00,400.0,5424.0,10480.0,0.0
2023-01-01T19:15:00+01:00,400.0,5640.0,10448.0,4.0
2023-01-01T19:30:00+01:00,404.0,5816.0,10536.0,4.0
2023-01-01T19:45:00+01:00,396.0,5964.0,10580.0,0.0
2023-01-01T20:00:00+01:00,396.0,6156.0,10592.0,0.0
2023-01-01T20:15:00+01:00,396.0,6488.0,10632.0,0.0
2023-01-01T20:30:00+01:00,400.0,6636.0,10616.0,0.0
2023-01-01T20:45:00+01:00,392.0,6784.0,10612.0,0.0
2023-01-01T21:00:00+01:00,396.0,6984.0,10472.0,0.0
2023-01-01T21:15:00+01:00,396.0,7284.0,10392.0,0.0
2023-01-01T21:30:00+01:00,392.0,7332.0,10316.0,0.0
2023-01-01T21:45:00+01:00,396.0,7052.0,10456.0,0.0
2023-01-01T22:00:00+01:00,400.0,6644.0,10588.0,0.0
2023-01-01T22:15:00+01:00,396.0,6312.0,10760.0,0.0
2023-01-01T22:30:00+01:00,388.0,6052.0,10736.0,0.0
2023-01-01T22:45:00+01:00,388.0,5492.0,10816.0,0.0
2023-01-01T23:00:00+01:00,396.0,4992.0,11024.0,0.0
2023-01-01T23:15:00+01:00,396.0,4736.0,11088.0,0.0
2023-01-01T23:30:00+01:00,396.0,4128.0,11152.0,0.0
2023-01-01T23:45:00+01:00,396.0,3940.0,10536.0,0.0
2023-01-02T00:00:00+01:00,396.0,3672.0,10168.0,0.0
2023-01-02T00:15:00+01:00,400.0,3776.0,10636.0,0.0
2023-01-02T00:30:00+01:00,400.0,3392.0,11200.0,0.0
2023-01-02T00:45:00+01:00,404.0,3264.0,11156.0,0.0
2023-01-02T01:00:00+01:00,400.0,3216.0,11184.0,0.0
2023-01-02T01:15:00+01:00,392.0,3424.0,11120.0,0.0
2023-01-02T01:30:00+01:00,404.0,3700.0,10972.0,0.0
2023-01-02T01:45:00+01:00,412.0,3800.0,10712.0,0.0
2023-01-02T02:00:00+01:00,408.0,3900.0,10276.0,0.0
2023-01-02T02:15:00+01:00,416.0,4024.0,9828.0,0.0
2023-01-02T02:30:00+01:00,412.0,4024.0,9336.0,0.0
2023-01-02T02:45:00+01:00,404.0,4044.0,9016.0,0.0
2023-01-02T03:00:00+01:00,404.0,4060.0,8724.0,0.0
2023-01-02T03:15:00+01:00,404.0,4060.0,8404.0,0.0
2023-01-02T03:30:00+01:00,416.0,3956.0,8244.0,0.0
2023-01-02T03:45:00+01:00,412.0,3972.0,8104.0,0.0
2023-01-02T04:00:00+01:00,412.0,4064.0,7892.0,0.0
2023-01-02T04:15:00+01:00,416.0,4064.0,7688.0,0.0
2023-01-02T04:30:00+01:00,428.0,4096.0,7396.0,0.0
2023-01-02T04:45:00+01:00,448.0,4140.0,7220.0,0.0
2023-01-02T05:00:00+01:00,460.0,4304.0,6988.0,0.0
2023-01-02T05:15:00+01:00,472.0,4332.0,6732.0,0.0
2023-01-02T05:30:00+01:00,464.0,4368.0,6232.0,0.0
2023-01-02T05:45:00+01:00,472.0,4504.0,5824.0,0.0
2023-01-02T06:00:00+01:00,476.0,4704.0,5656.0,0.0
2023-01-02T06:15:00+01:00,464.0,4476.0,5604.0,0.0
2023-01-02T06:30:00+01:00,460.0,4300.0,5464.0,0.0
2023-01-02T06:45:00+01:00,476.0,4388.0,5256.0,0.0
2023-01-02T07:00:00+01:00,484.0,4504.0,4948.0,0.0
2023-01-02T07:15:00+01:00,488.0,4420.0,4788.0,0.0
2023-01-02T07:30:00+01:00,488.0,4592.0,4652.0,0.0
2023-01-02T07:45:00+01:00,488.0,5044.0,4460.0,0.0
2023-01-02T08:00:00+01:00,504.0,5700.0,4248.0,0.0
2023-01-02T08:15:00+01:00,512.0,5728.0,4180.0,8.0
2023-01-02T08:30:00+01:00,528.0,5840.0,4164.0,12.0
2023-01-02T08:45:00+01:00,536.0,5920.0,4064.0,48.0
2023-01-02T09:00:00+01:00,540.0,6036.0,3888.0,152.0
2023-01-02T09:15:00+01:00,552.0,6144.0,3672.0,396.0
2023-01-02T09:30:00+01:00,556.0,6392.0,3456.0,692.0
2023-01-02T09:45:00+01:00,560.0,6580.0,3184.0,1056.0
2023-01-02T10:00:00+01:00,568.0,6888.0,2940.0,1436.0
2023-01-02T10:15:00+01:00,572.0,7316.0,2804.0,1896.0
2023-01-02T10:30:00+01:00,572.0,7372.0,2680.0,2216.0
2023-01-02T10:45:00+01:00,572.0,7256.0,2548.0,2600.0
2023-01-02T11:00:00+01:00,572.0,7184.0,2324.0,2944.0
2023-01-02T11:15:00+01:00,572.0,7416.0,2120.0,3456.0
2023-01-02T11:30:00+01:00,580.0,7520.0,1972.0,3756.0
2023-01-02T11:45:00+01:00,568.0,7408.0,1916.0,4000.0
2023-01-02T12:00:00+01:00,568.0,7276.0,1836.0,4284.0
2023-01-02T12:15:00+01:00,572.0,7176.0,1812.0,4460.0
2023-01-02T12:30:00+01:00,564.0,6816.0,1780.0,4572.0
2023-01-02T12:45:00+01:00,564.0,6628.0,1704.0,4708.0
2023-01-02T13:00:00+01:00,568.0,6628.0,1664.0,4832.0
2023-01-02T13:15:00+01:00,564.0,6856.0,1676.0,5076.0
2023-01-02T13:30:00+01:00,568.0,7076.0,1636.0,5168.0
2023-01-02T13:45:00+01:00,576.0,7304.0,1548.0,5120.0
2023-01-02T14:00:00+01:00,584.0,7452.0,1504.0,5076.0
2023-01-02T14:15:00+01:00,580.0,7640.0,1512.0,5004.0
2023-01-02T14:30:00+01:00,580.0,7704.0,1512.0,4760.0
2023-01-02T14:45:00+01:00,568.0,7676.0,1484.0,4500.0
2023-01-02T15:00:00+01:00,560.0,7864.0,1460.0,4292.0
2023-01-02T15:15:00+01:00,572.0,8280.0,1424.0,3836.0
2023-01-02T15:30:00+01:00,580.0,8564.0,1436.0,3580.0
2023-01-02T15:45:00+01:00,584.0,8608.0,1448.0,3348.0
2023-01-02T16:00:00+01:00,584.0,8388.0,1456.0,3376.0
2023-01-02T16:15:00+01:00,584.0,8436.0,1488.0,2940.0
2023-01-02T16:30:00+01:00,584.0,8680.0,1572.0,2568.0
2023-01-02T16:45:00+01:00,584.0,8820.0,1560.0,2292.0
2023-01-02T17:00:00+01:00,592.0,8864.0,1552.0,1872.0
2023-01-02T17:15:00+01:00,588.0,8360.0,1588.0,1372.0
2023-01-02T17:30:00+01:00,584.0,8280.0,1652.0,872.0
2023-01-02T17:45:00+01:00,584.0,8472.0,1656.0,492.0
2023-01-02T18:00:00+01:00,592.0,9008.0,1760.0,204.0
2023-01-02T18:15:00+01:00,592.0,9068.0,1900.0,52.0
2023-01-02T18:30:00+01:00,588.0,8904.0,2008.0,12.0
2023-01-02T18:45:00+01:00,596.0,8900.0,2124.0,4.0
2023-01-02T19:00:00+01:00,596.0,8884.0,2292.0,0.0
2023-01-02T19:15:00+01:00,592.0,8820.0,2340.0,0.0
2023-01-02T19:30:00+01:00,596.0,8848.0,2448.0,0.0
2023-01-02T19:45:00+01:00,612.0,8780.0,2536.0,0.0
2023-01-02T20:00:00+01:00,616.0,8780.0,2632.0,0.0
2023-01-02T20:15:00+01:00,624.0,8912.0,2724.0,0.0
2023-01-02T20:30:00+01:00,624.0,8784.0,2768.0,0.0
2023-01-02T20:45:00+01:00,628.0,8824.0,2804.0,0.0
2023-01-02T21:00:00+01:00,620.0,8944.0,2900.0,0.0
2023-01-02T21:15:00+01:00,616.0,9164.0,2964.0,0.0
2023-01-02T21:30:00+01:00,620.0,9152.0,3056.0,0.0
2023-01-02T21:45:00+01:00,624.0,8888.0,3076.0,0.0
2023-01-02T22:00:00+01:00,620.0,8552.0,2996.0,0.0
2023-01-02T22:15:00+01:00,624.0,8928.0,3012.0,0.0
2023-01-02T22:30:00+01:00,624.0,9000.0,3080.0,0.0
2023-01-02T22:45:00+01:00,632.0,8712.0,3108.0,0.0
2023-01-02T23:00:00+01:00,628.0,8260.0,3024.0,0.0
2023-01-02T23:15:00+01:00,624.0,8012.0,2972.0,0.0
2023-01-02T23:30:00+01:00,624.0,7712.0,3004.0,0.0
2023-01-02T23:45:00+01:00,632.0,7240.0,2972.0,0.0
2023-01-03T00:00:00+01:00,640.0,6468.0,2984.0,0.0
2023-01-03T00:15:00+01:00,624.0,5688.0,3056.0,0.0
2023-01-03T00:30:00+01:00,608.0,5856.0,3172.0,0.0
2023-01-03T00:45:00+01:00,612.0,5776.0,3304.0,0.0
2023-01-03T01:00:00+01:00,604.0,5352.0,3472.0,0.0
2023-01-03T01:15:00+01:00,616.0,4748.0,3488.0,0.0
2023-01-03T01:30:00+01:00,612.0,4668.0,3468.0,0.0
2023-01-03T01:45:00+01:00,608.0,4680.0,3492.0,0.0
2023-01-03T02:00:00+01:00,596.0,4500.0,3492.0,0.0
2023-01-03T02:15:00+01:00,620.0,4960.0,3512.0,0.0
2023-01-03T02:30:00+01:00,600.0,5140.0,3520.0,0.0
2023-01-03T02:45:00+01:00,608.0,5224.0,3460.0,0.0
2023-01-03T03:00:00+01:00,612.0,5200.0,3436.0,0.0
2023-01-03T03:15:00+01:00,620.0,5232.0,3340.0,0.0
2023-01-03T03:30:00+01:00,620.0,5188.0,3320.0,0.0
2023-01-03T03:45:00+01:00,620.0,5136.0,3356.0,0.0
2023-01-03T04:00:00+01:00,616.0,5060.0,3356.0,0.0
2023-01-03T04:15:00+01:00,620.0,5064.0,3444.0,0.0
2023-01-03T04:30:00+01:00,620.0,5036.0,3512.0,0.0
2023-01-03T04:45:00+01:00,620.0,4928.0,3564.0,0.0
2023-01-03T05:00:00+01:00,612.0,4856.0,3604.0,0.0
2023-01-03T05:15:00+01:00,612.0,5100.0,3592.0,0.0
2023-01-03T05:30:00+01:00,604.0,5180.0,3624.0,0.0
2023-01-03T05:45:00+01:00,624.0,5236.0,3568.0,0.0
2023-01-03T06:00:00+01:00,628.0,5348.0,3576.0,0.0
2023-01-03T06:15:00+01:00,628.0,6112.0,3576.0,0.0
2023-01-03T06:30:00+01:00,636.0,6764.0,3584.0,0.0
2023-01-03T06:45:00+01:00,644.0,6984.0,3604.0,0.0
2023-01-03T07:00:00+01:00,636.0,6992.0,3656.0,0.0
2023-01-03T07:15:00+01:00,640.0,6824.0,3728.0,0.0
2023-01-03T07:30:00+01:00,640.0,6964.0,3788.0,0.0
2023-01-03T07:45:00+01:00,644.0,7320.0,3868.0,0.0
2023-01-03T08:00:00+01:00,640.0,7576.0,3908.0,0.0
2023-01-03T08:15:00+01:00,640.0,7760.0,3920.0,8.0
2023-01-03T08:30:00+01:00,648.0,8352.0,3820.0,12.0
2023-01-03T08:45:00+01:00,648.0,8564.0,3724.0,32.0
2023-01-03T09:00:00+01:00,644.0,8788.0,3612.0,152.0
2023-01-03T09:15:00+01:00,648.0,9108.0,3476.0,476.0
2023-01-03T09:30:00+01:00,648.0,9176.0,3372.0,1048.0
2023-01-03T09:45:00+01:00,656.0,8456.0,3240.0,1912.0
2023-01-03T10:00:00+01:00,652.0,7876.0,3068.0,2752.0
2023-01-03T10:15:00+01:00,648.0,7932.0,2964.0,3528.0
2023-01-03T10:30:00+01:00,648.0,7560.0,2892.0,4240.0
2023-01-03T10:45:00+01:00,652.0,7004.0,2812.0,5148.0
2023-01-03T11:00:00+01:00,656.0,6692.0,2664.0,5752.0
2023-01-03T11:15:00+01:00,644.0,6744.0,2512.0,6256.0
2023-01-03T11:30:00+01:00,636.0,6932.0,2464.0,6376.0
2023-01-03T11:45:00+01:00,640.0,6944.0,2464.0,6760.0
2023-01-03T12:00:00+01:00,644.0,6820.0,2448.0,6944.0
2023-01-03T12:15:00+01:00,636.0,7080.0,2436.0,7128.0
2023-01-03T12:30:00+01:00,628.0,6996.0,2428.0,7272.0
2023-01-03T12:45:00+01:00,640.0,7016.0,2432.0,7420.0
2023-01-03T13:00:00+01:00,636.0,6904.0,2420.0,7516.0
2023-01-03T13:15:00+01:00,624.0,6704.0,2452.0,7596.0
2023-01-03T13:30:00+01:00,624.0,6460.0,2452.0,7680.0
2023-01-03T13:45:00+01:00,628.0,6484.0,2412.0,7664.0
2023-01-03T14:00:00+01:00,624.0,6500.0,2440.0,7680.0
2023-01-03T14:15:00+01:00,632.0,6328.0,2452.0,7740.0
2023-01-03T14:30:00+01:00,632.0,6312.0,2420.0,7796.0
2023-01-03T14:45:00+01:00,636.0,6080.0,2416.0,8020.0
2023-01-03T15:00:00+01:00,628.0,5748.0,2412.0,8188.0
2023-01-03T15:15:00+01:00,636.0,5608.0,2444.0,8180.0
2023-01-03T15:30:00+01:00,632.0,5676.0,2424.0,8344.0
2023-01-03T15:45:00+01:00,640.0,5608.0,2376.0,8276.0
2023-01-03T16:00:00+01:00,636.0,5612.0,2332.0,8032.0
2023-01-03T16:15:00+01:00,648.0,5828.0,2296.0,7464.0
2023-01-03T16:30:00+01:00,644.0,6396.0,2244.0,6748.0
2023-01-03T16:45:00+01:00,652.0,6848.0,2172.0,5816.0
2023-01-03T17:00:00+01:00,648.0,7028.0,2164.0,4560.0
2023-01-03T17:15:00+01:00,648.0,7008.0,2156.0,3376.0
2023-01-03T17:30:00+01:00,644.0,7664.0,2196.0,2304.0
2023-01-03T17:45:00+01:00,648.0,8396.0,2260.0,1372.0
2023-01-03T18:00:00+01:00,640.0,8900.0,2392.0,752.0
2023-01-03T18:15:00+01:00,648.0,8968.0,2516.0,368.0
2023-01-03T18:30:00+01:00,640.0,9276.0,2624.0,168.0
2023-01-03T18:45:00+01:00,644.0,9508.0,2652.0,108.0
2023-01-03T19:00:00+01:00,644.0,9736.0,2680.0,72.0
2023-01-03T19:15:00+01:00,644.0,10080.0,2752.0,52.0
2023-01-03T19:30:00+01:00,644.0,10160.0,2796.0,52.0
2023-01-03T19:45:00+01:00,636.0,10204.0,2776.0,48.0
2023-01-03T20:00:00+01:00,636.0,10088.0,2784.0,48.0
2023-01-03T20:15:00+01:00,640.0,9560.0,2808.0,48.0
2023-01-03T20:30:00+01:00,644.0,9568.0,2856.0,48.0
2023-01-03T20:45:00+01:00,644.0,9584.0,2852.0,52.0
2023-01-03T21:00:00+01:00,648.0,9724.0,2832.0,48.0
2023-01-03T21:15:00+01:00,648.0,9820.0,2832.0,48.0
2023-01-03T21:30:00+01:00,640.0,9648.0,2876.0,48.0
2023-01-03T21:45:00+01:00,648.0,9404.0,2856.0,48.0
2023-01-03T22:00:00+01:00,640.0,8988.0,2812.0,48.0
2023-01-03T22:15:00+01:00,640.0,8300.0,2812.0,48.0
2023-01-03T22:30:00+01:00,644.0,8108.0,2828.0,48.0
2023-01-03T22:45:00+01:00,644.0,7532.0,2852.0,48.0
2023-01-03T23:00:00+01:00,636.0,7140.0,2856.0,48.0
2023-01-03T23:15:00+01:00,636.0,6752.0,2896.0,48.0
2023-01-03T23:30:00+01:00,636.0,6344.0,2964.0,44.0
2023-01-03T23:45:00+01:00,628.0,5868.0,3040.0,44.0
2023-01-04T00:00:00+01:00,640.0,5388.0,3144.0,44.0
2023-01-04T00:15:00+01:00,632.0,4976.0,3220.0,44.0
2023-01-04T00:30:00+01:00,620.0,4956.0,3272.0,44.0
2023-01-04T00:45:00+01:00,616.0,4864.0,3300.0,44.0
2023-01-04T01:00:00+01:00,612.0,4808.0,3348.0,44.0
2023-01-04T01:15:00+01:00,628.0,4836.0,3432.0,44.0
2023-01-04T01:30:00+01:00,632.0,4936.0,3488.0,44.0
2023-01-04T01:45:00+01:00,628.0,4808.0,3524.0,44.0
2023-01-04T02:00:00+01:00,636.0,4848.0,3512.0,44.0
2023-01-04T02:15:00+01:00,648.0,4824.0,3536.0,40.0
2023-01-04T02:30:00+01:00,632.0,4608.0,3592.0,36.0
2023-01-04T02:45:00+01:00,608.0,4412.0,3652.0,36.0
2023-01-04T03:00:00+01:00,620.0,4580.0,3656.0,36.0
2023-01-04T03:15:00+01:00,628.0,4700.0,3660.0,36.0
2023-01-04T03:30:00+01:00,632.0,4544.0,3696.0,36.0
2023-01-04T03:45:00+01:00,620.0,4488.0,3724.0,36.0
2023-01-04T04:00:00+01:00,624.0,4368.0,3788.0,36.0
2023-01-04T04:15:00+01:00,632.0,4384.0,3832.0,36.0
2023-01-04T04:30:00+01:00,628.0,4228.0,3848.0,36.0
2023-01-04T04:45:00+01:00,624.0,4152.0,3848.0,36.0
2023-01-04T05:00:00+01:00,628.0,4208.0,3920.0,36.0
2023-01-04T05:15:00+01:00,624.0,4432.0,3956.0,36.0
2023-01-04T05:30:00+01:00,616.0,4612.0,4044.0,36.0
2023-01-04T05:45:00+01:00,608.0,4688.0,4084.0,36.0
2023-01-04T06:00:00+01:00,608.0,4840.0,4064.0,36.0
2023-01-04T06:15:00+01:00,604.0,5304.0,3988.0,36.0
2023-01-04T06:30:00+01:00,604.0,5524.0,3944.0,36.0
2023-01-04T06:45:00+01:00,600.0,5844.0,3872.0,36.0
2023-01-04T07:00:00+01:00,600.0,6072.0,3820.0,36.0
2023-01-04T07:15:00+01:00,600.0,6504.0,3796.0,36.0
2023-01-04T07:30:00+01:00,604.0,7368.0,3768.0,36.0
2023-01-04T07:45:00+01:00,608.0,7572.0,3724.0,36.0
2023-01-04T08:00:00+01:00,612.0,7584.0,3668.0,16.0
2023-01-04T08:15:00+01:00,600.0,7564.0,3596.0,24.0
2023-01-04T08:30:00+01:00,604.0,7996.0,3516.0,28.0
2023-01-04T08:45:00+01:00,612.0,8476.0,3460.0,56.0
2023-01-04T09:00:00+01:00,620.0,8556.0,3372.0,236.0
2023-01-04T09:15:00+01:00,644.0,9004.0,3304.0,700.0
2023-01-04T09:30:00+01:00,656.0,8752.0,3276.0,1444.0
2023-01-04T09:45:00+01:00,652.0,8308.0,3208.0,2328.0
2023-01-04T10:00:00+01:00,648.0,7872.0,3128.0,3264.0
2023-01-04T10:15:00+01:00,644.0,8284.0,3060.0,4260.0
2023-01-04T10:30:00+01:00,652.0,7944.0,2984.0,5148.0
2023-01-04T10:45:00+01:00,652.0,7380.0,2884.0,5760.0
2023-01-04T11:00:00+01:00,648.0,6952.0,2760.0,6204.0
2023-01-04T11:15:00+01:00,640.0,7468.0,2656.0,6612.0
2023-01-04T11:30:00+01:00,632.0,7640.0,2568.0,7000.0
2023-01-04T11:45:00+01:00,628.0,7252.0,2476.0,7320.0
2023-01-04T12:00:00+01:00,624.0,7140.0,2404.0,7588.0
2023-01-04T12:15:00+01:00,620.0,6096.0,2368.0,7728.0
2023-01-04T12:30:00+01:00,620.0,5480.0,2340.0,7872.0
2023-01-04T12:45:00+01:00,604.0,5292.0,2320.0,7972.0
2023-01-04T13:00:00+01:00,600.0,5164.0,2296.0,8068.0
2023-01-04T13:15:00+01:00,620.0,5024.0,2228.0,8176.0
2023-01-04T13:30:00+01:00,628.0,5040.0,2216.0,8320.0
