Time (Local),Bioenergy,Hydro,Wind,Solar
2023-01-01T00:00:00+01:00,0.0,2681.7,6123.7,0.0
2023-01-01T01:00:00+01:00,0.0,2562.8,5928.0,0.0
2023-01-01T02:00:00+01:00,0.0,2534.8,5989.6,0.0
2023-01-01T03:00:00+01:00,0.0,2502.9,6038.6,0.0
2023-01-01T04:00:00+01:00,0.0,2511.3,5969.9,0.0
2023-01-01T05:00:00+01:00,0.0,2596.0,5961.1,0.0
2023-01-01T06:00:00+01:00,0.0,2690.3,5942.4,0.0
2023-01-01T07:00:00+01:00,0.0,2751.8,6029.7,0.0
2023-01-01T08:00:00+01:00,0.0,2788.6,6161.7,0.0
2023-01-01T09:00:00+01:00,0.0,2810.2,6283.6,1.2
2023-01-01T10:00:00+01:00,0.0,2916.3,6373.5,7.1
2023-01-01T11:00:00+01:00,0.0,2963.3,6205.4,13.9
2023-01-01T12:00:00+01:00,0.0,2985.6,6194.1,14.4
2023-01-01T13:00:00+01:00,0.0,3098.7,6047.1,11.6
2023-01-01T14:00:00+01:00,0.0,3725.3,6139.8,3.1
2023-01-01T15:00:00+01:00,0.0,4399.4,6169.7,0.6
2023-01-01T16:00:00+01:00,0.0,5681.0,6173.6,0.0
2023-01-01T17:00:00+01:00,0.0,6427.5,6121.6,0.0
2023-01-01T18:00:00+01:00,0.0,7041.1,6178.6,0.0
2023-01-01T19:00:00+01:00,0.0,7097.4,5976.6,0.0
2023-01-01T20:00:00+01:00,0.0,6916.2,5798.5,0.0
2023-01-01T21:00:00+01:00,0.0,6583.5,5762.7,0.0
2023-01-01T22:00:00+01:00,0.0,6435.6,5550.1,0.0
2023-01-01T23:00:00+01:00,0.0,5828.0,5399.2,0.0
2023-01-02T00:00:00+01:00,0.0,5402.7,5111.8,0.0
2023-01-02T01:00:00+01:00,0.0,4981.8,5086.0,0.0
2023-01-02T02:00:00+01:00,0.0,4940.8,4959.8,0.0
2023-01-02T03:00:00+01:00,0.0,4898.9,4891.0,0.0
2023-01-02T04:00:00+01:00,0.0,4916.4,4736.6,0.0
2023-01-02T05:00:00+01:00,0.0,6827.8,4517.4,0.0
2023-01-02T06:00:00+01:00,0.0,9009.8,4265.4,0.0
2023-01-02T07:00:00+01:00,0.0,9678.5,4093.2,0.0
2023-01-02T08:00:00+01:00,0.0,9958.6,3863.1,0.0
2023-01-02T09:00:00+01:00,0.0,10158.3,3615.9,1.3
2023-01-02T10:00:00+01:00,0.0,10420.7,3337.1,3.7
2023-01-02T11:00:00+01:00,0.0,10654.2,2844.4,6.4
2023-01-02T12:00:00+01:00,0.0,10818.1,2607.8,5.7
2023-01-02T13:00:00+01:00,0.0,11026.4,2377.1,4.7
2023-01-02T14:00:00+01:00,0.0,11178.4,2307.6,1.5
2023-01-02T15:00:00+01:00,0.0,11218.1,2266.0,0.5
2023-01-02T16:00:00+01:00,0.0,11281.2,2320.1,0.0
2023-01-02T17:00:00+01:00,0.0,11334.4,2315.1,0.0
2023-01-02T18:00:00+01:00,0.0,11333.8,2425.9,0.0
2023-01-02T19:00:00+01:00,0.0,11313.7,2669.2,0.0
