Region,Technology,Country,Year,Latitude_Round,Longitude_Round,Total_Capacity
Northern Europe,Bioenergy,Denmark,2023,56.0,12.52,1155.0
Northern Europe,Bioenergy,Denmark,2023,56.0,10.73,481.0
Northern Europe,Bioenergy,Denmark,2023,56.0,8.94,202.0
Northern Europe,Bioenergy,Denmark,2023,55.0,10.46,59.0
Northern Europe,Bioenergy,Denmark,2023,55.0,13.95,37.0
Northern Europe,Bioenergy,Denmark,2024,56.0,12.52,1155.0
Northern Europe,Bioenergy,Denmark,2024,56.0,10.73,481.0
Northern Europe,Bioenergy,Denmark,2024,56.0,8.94,202.0
Northern Europe,Bioenergy,Denmark,2024,55.0,10.46,59.0
Northern Europe,Bioenergy,Denmark,2024,55.0,13.95,37.0
Northern Europe,Bioenergy,Denmark,2025,56.0,12.52,1155.0
Northern Europe,Bioenergy,Denmark,2025,56.0,10.73,481.0
Northern Europe,Bioenergy,Denmark,2025,56.0,8.94,202.0
Northern Europe,Bioenergy,Denmark,2025,55.0,10.46,59.0
Northern Europe,Bioenergy,Denmark,2025,55.0,13.95,37.0
Northern Europe,Bioenergy,Estonia,2023,59.0,25.24,56.0
Northern Europe,Bioenergy,Estonia,2023,58.0,26.42,25.0
Northern Europe,Bioenergy,Estonia,2023,58.0,24.53,24.0
Northern Europe,Bioenergy,Estonia,2024,59.0,25.24,56.0
Northern Europe,Bioenergy,Estonia,2024,58.0,26.42,25.0
Northern Europe,Bioenergy,Estonia,2024,58.0,24.53,24.0
Northern Europe,Bioenergy,Estonia,2025,59.0,25.24,56.0
Northern Europe,Bioenergy,Estonia,2025,58.0,26.42,25.0
Northern Europe,Bioenergy,Estonia,2025,58.0,24.53,24.0
Northern Europe,Bioenergy,Finland,2023,61.0,28.88,405.0
Northern Europe,Bioenergy,Finland,2023,64.0,22.81,385.0
Northern Europe,Bioenergy,Finland,2023,66.0,24.59,378.0
Northern Europe,Bioenergy,Finland,2023,61.0,26.81,324.0
Northern Europe,Bioenergy,Finland,2023,62.0,25.56,313.0
Northern Europe,Bioenergy,Finland,2023,63.0,26.43,295.0
Northern Europe,Bioenergy,Finland,2023,61.0,24.75,261.0
Northern Europe,Bioenergy,Finland,2023,60.0,26.0,217.8
Northern Europe,Bioenergy,Finland,2023,65.0,26.03,177.0
Northern Europe,Bioenergy,Finland,2023,60.0,24.0,163.0
Northern Europe,Bioenergy,Finland,2023,63.0,30.84,154.0
Northern Europe,Bioenergy,Finland,2023,61.0,20.63,151.0
Northern Europe,Bioenergy,Finland,2023,60.0,22.0,130.0
Northern Europe,Bioenergy,Finland,2023,63.0,22.03,120.0
Northern Europe,Bioenergy,Finland,2023,63.0,28.63,118.0
Northern Europe,Bioenergy,Finland,2023,62.0,27.69,93.0
Northern Europe,Bioenergy,Finland,2023,62.0,21.3,81.0
Northern Europe,Bioenergy,Finland,2023,62.0,23.43,60.0
Northern Europe,Bioenergy,Finland,2024,61.0,28.88,405.0
Northern Europe,Bioenergy,Finland,2024,64.0,22.81,385.0
Northern Europe,Bioenergy,Finland,2024,61.0,26.81,324.0
Northern Europe,Bioenergy,Finland,2024,62.0,25.56,313.0
Northern Europe,Bioenergy,Finland,2024,63.0,26.43,295.0
Northern Europe,Bioenergy,Finland,2024,66.0,24.59,295.0
Northern Europe,Bioenergy,Finland,2024,61.0,24.75,261.0
Northern Europe,Bioenergy,Finland,2024,60.0,26.0,217.8
Northern Europe,Bioenergy,Finland,2024,65.0,26.03,177.0
Northern Europe,Bioenergy,Finland,2024,60.0,24.0,163.0
Northern Europe,Bioenergy,Finland,2024,63.0,30.84,154.0
Northern Europe,Bioenergy,Finland,2024,61.0,20.63,151.0
Northern Europe,Bioenergy,Finland,2024,60.0,22.0,130.0
Northern Europe,Bioenergy,Finland,2024,63.0,22.03,120.0
Northern Europe,Bioenergy,Finland,2024,63.0,28.63,118.0
Northern Europe,Bioenergy,Finland,2024,62.0,27.69,93.0
Northern Europe,Bioenergy,Finland,2024,62.0,21.3,81.0
Northern Europe,Bioenergy,Finland,2024,62.0,23.43,60.0
Northern Europe,Bioenergy,Finland,2025,61.0,28.88,405.0
Northern Europe,Bioenergy,Finland,2025,64.0,22.81,385.0
Northern Europe,Bioenergy,Finland,2025,61.0,26.81,324.0
Northern Europe,Bioenergy,Finland,2025,62.0,25.56,313.0
Northern Europe,Bioenergy,Finland,2025,63.0,26.43,295.0
Northern Europe,Bioenergy,Finland,2025,66.0,24.59,295.0
Northern Europe,Bioenergy,Finland,2025,61.0,24.75,261.0
Northern Europe,Bioenergy,Finland,2025,60.0,26.0,217.8
Northern Europe,Bioenergy,Finland,2025,65.0,26.03,177.0
Northern Europe,Bioenergy,Finland,2025,60.0,24.0,163.0
Northern Europe,Bioenergy,Finland,2025,63.0,30.84,154.0
Northern Europe,Bioenergy,Finland,2025,61.0,20.63,151.0
Northern Europe,Bioenergy,Finland,2025,60.0,22.0,130.0
Northern Europe,Bioenergy,Finland,2025,63.0,22.03,120.0
Northern Europe,Bioenergy,Finland,2025,63.0,28.63,118.0
Northern Europe,Bioenergy,Finland,2025,62.0,27.69,93.0
Northern Europe,Bioenergy,Finland,2025,62.0,21.3,81.0
Northern Europe,Bioenergy,Finland,2025,62.0,23.43,60.0
Northern Europe,Bioenergy,Ireland,2023,53.0,-6.65,106.4
Northern Europe,Bioenergy,Ireland,2023,54.0,-6.81,17.0
Northern Europe,Bioenergy,Ireland,2024,53.0,-6.65,106.4
Northern Europe,Bioenergy,Ireland,2024,54.0,-6.81,17.0
Northern Europe,Bioenergy,Ireland,2025,53.0,-6.65,106.4
Northern Europe,Bioenergy,Ireland,2025,54.0,-6.81,17.0
Northern Europe,Bioenergy,Latvia,2023,57.0,23.87,23.0
Northern Europe,Bioenergy,Latvia,2024,57.0,23.87,23.0
Northern Europe,Bioenergy,Latvia,2025,57.0,23.87,23.0
Northern Europe,Bioenergy,Lithuania,2023,55.0,24.41,44.0
Northern Europe,Bioenergy,Lithuania,2023,56.0,21.46,20.0
Northern Europe,Bioenergy,Lithuania,2024,55.0,24.41,124.0
Northern Europe,Bioenergy,Lithuania,2024,56.0,21.46,20.0
Northern Europe,Bioenergy,Lithuania,2025,55.0,24.41,124.0
Northern Europe,Bioenergy,Lithuania,2025,56.0,21.46,20.0
Northern Europe,Bioenergy,Sweden,2023,59.0,17.47,416.3
Northern Europe,Bioenergy,Sweden,2023,59.0,15.53,387.0
Northern Europe,Bioenergy,Sweden,2023,60.0,16.0,356.0
Northern Europe,Bioenergy,Sweden,2023,62.0,17.04,227.0
Northern Europe,Bioenergy,Sweden,2023,60.0,18.0,219.0
Northern Europe,Bioenergy,Sweden,2023,58.0,15.1,206.8
Northern Europe,Bioenergy,Sweden,2023,59.0,13.59,203.0
