Country,Year,Bioenergy,Hydro,Solar,Wind
Bosnia and Herzegovina,2023,0.0,1995.0,187.6,135.0
Bosnia and Herzegovina,2024,0.0,1995.0,470.5,219.0
Bosnia and Herzegovina,2025,0.0,2030.0,539.5,244.0
Croatia,2023,0.0,1959.0,209.5,954.0
Croatia,2024,0.0,1959.0,269.0,1065.0
Croatia,2025,0.0,1959.0,271.6,1095.0
Denmark,2023,1934.0,0.0,2394.1,4653.3
Denmark,2024,1934.0,0.0,2772.0,5003.3
Denmark,2025,1934.0,0.0,3383.9,5003.3
Estonia,2023,105.0,0.0,579.4,331.0
Estonia,2024,105.0,0.0,834.4,688.0
Estonia,2025,105.0,0.0,1045.6,688.0
Finland,2023,3825.8,2545.0,51.9,6676.6
Finland,2024,3742.8,2545.0,123.39999999999999,8089.4
Finland,2025,3742.8,2545.0,219.4,8551.4
Greece,2023,0.0,3119.0,4869.7,4537.3
Greece,2024,0.0,3119.0,5714.2,4636.0
Greece,2025,0.0,3119.0,5978.2,4705.6
Ireland,2023,123.4,460.0,550.0,4118.5
Ireland,2024,123.4,460.0,819.1,4381.1
Ireland,2025,123.4,460.0,927.1,4381.1
Italy,2023,810.98,17236.0,4948.3,10081.3
Italy,2024,810.98,17236.0,5232.9,10386.3
Italy,2025,810.98,17236.0,5404.4,10440.3
Latvia,2023,23.0,1536.0,129.3,100.0
Latvia,2024,23.0,1536.0,329.0,100.0
Latvia,2025,23.0,1536.0,585.3,100.0
Lithuania,2023,64.0,1001.0,440.8,796.0
Lithuania,2024,144.0,1001.0,686.6999999999999,914.0
Lithuania,2025,144.0,1001.0,871.6,1308.0
Montenegro,2023,0.0,649.0,6.3,118.0
Montenegro,2024,0.0,649.0,16.900000000000002,118.0
Montenegro,2025,0.0,649.0,16.900000000000002,118.0
North Macedonia,2023,0.0,524.0,356.5,73.0
North Macedonia,2024,0.0,524.0,440.2,73.0
North Macedonia,2025,0.0,524.0,440.2,73.0
Norway,2023,0.0,28549.0,17.0,5803.4
Norway,2024,0.0,28652.0,18.6,5803.4
Norway,2025,0.0,28652.0,35.8,5803.4
Portugal,2023,460.29,7623.0,2117.2,5071.1
Portugal,2024,460.29,7783.0,3056.2,5071.1
Portugal,2025,460.29,7783.0,3550.9,5071.1
Serbia,2023,37.2,1480.0,74.4,404.0
Serbia,2024,37.2,1480.0,139.4,604.1
Serbia,2025,37.2,1480.0,199.2,604.1
Slovenia,2023,0.0,1070.0,80.2,0.0
Slovenia,2024,0.0,1070.0,84.8,0.0
Slovenia,2025,0.0,1070.0,93.6,0.0
Spain,2023,821.35,16259.0,31238.1,29993.1
Spain,2024,821.35,16259.0,34297.0,30556.2
Spain,2025,821.35,16259.0,36230.7,31094.1
Sweden,2023,3333.7,13778.0,215.4,14923.0
Sweden,2024,3333.7,13778.0,429.1,15373.0
Sweden,2025,3333.7,13778.0,663.1,16573.8
