,timestamp,nuclear,country,year,total,fossil,other,renew,water,wind,solar,renew_share,wind_share,solar_share,water_share
0,2001-12-31 23:00:00+00:00,23.614,DE,2001,115.004,74.198,0.001,17.912,4.937,11.976,0.278,15.57511043094153,10.413550833014504,0.24173072240965535,4.292894160203123
1,2002-12-31 23:00:00+00:00,22.114,DE,2002,115.974,74.11299999999999,0.001,20.657999999999998,4.953,14.381,0.412,17.81261317191784,12.400193146739786,0.35525203925017673,4.270784831082829
2,2003-12-31 23:00:00+00:00,21.471,DE,2003,120.30300000000001,76.215,0.001,23.98,5.186,16.419,1.011,19.933002502015743,13.648038702276748,0.8403780454352758,4.310781942262453
3,2004-12-31 23:00:00+00:00,21.405,DE,2004,121.09899999999999,74.35999999999999,0.001,27.152,5.21,18.248,1.875,22.42132470127747,15.068662829585714,1.54831996961164,4.302265088894211
4,2005-12-31 23:00:00+00:00,21.227,DE,2005,123.72300000000001,74.162,0.001,30.849000000000004,5.193,20.474,2.666,24.933924977570864,16.548256993445033,2.154813575487177,4.197279406415944
5,2006-12-31 23:00:00+00:00,21.333,DE,2006,127.856,75.418,0.002,34.204,5.137,22.116,3.85,26.751970967338256,17.29758478288074,3.0112001001126267,4.01780127643599
6,2007-12-31 23:00:00+00:00,21.6,DE,2007,132.263,76.995,0.003,37.169,5.164,22.794,5.707,28.102341546766667,17.233844688234804,4.314887761505485,3.9043421062579853
7,2008-12-31 23:00:00+00:00,21.52,DE,2008,139.169,76.685,0.003,44.872,5.34,25.732,9.889,32.24281269535601,18.489749872457224,7.105749125164368,3.837061414539157
8,2009-12-31 23:00:00+00:00,21.52,DE,2009,150.224,79.282,0.005,53.902,5.407,26.905,17.105,35.8810842475237,17.909921184364684,11.386329747576953,3.5992917243582916
9,2010-12-31 23:00:00+00:00,12.075,DE,2010,158.61,76.33900000000001,2.323,73.402,14.447,28.775000000000002,24.651,46.27829266754933,18.14198348149549,15.54189521467751,9.10850513838976
10,2011-12-31 23:00:00+00:00,12.075,DE,2011,168.25,77.358,2.3600000000000003,82.356,14.478,30.84,31.139,48.94858841010401,18.329866270430905,18.507578008915303,8.605052005943536
11,2012-12-31 23:00:00+00:00,12.075,DE,2012,175.799,79.246,2.3329999999999997,88.415,14.55,33.517,34.078,50.293232612244665,19.065523694674035,19.384638137873367,8.276497590998812
12,2013-12-31 23:00:00+00:00,12.075,DE,2013,184.078,80.67099999999999,2.375,95.756,14.565999999999999,38.67,35.721,52.01925270809114,21.007399037364596,19.405360770977516,7.912949945131954
13,2014-12-31 23:00:00+00:00,10.8,DE,2014,192.622,82.916,2.4290000000000003,103.402,14.772,44.678999999999995,37.026,53.68130327792257,23.195169814455248,19.2221033942125,7.668905940131449
14,2015-12-31 23:00:00+00:00,10.8,DE,2015,199.20299999999997,83.107,2.5989999999999998,109.855,14.785,49.52,38.392,55.14726183842614,24.85906336751957,19.272802116433994,7.42207697675236
15,2016-12-31 23:00:00+00:00,10.8,DE,2016,204.854,80.795,2.826,117.92899999999999,14.808,55.697,39.928,57.567340642603995,27.18863190369727,19.490954533472618,7.228562781297899
16,2017-12-31 23:00:00+00:00,9.516,DE,2017,208.85,79.547,3.1029999999999998,124.612,15.2,58.841,42.643,59.6657888436677,28.173808953794587,20.418003351687815,7.277950682307877
17,2018-12-31 23:00:00+00:00,9.516,DE,2018,213.557,78.15599999999999,3.392,130.772,15.347,60.848,46.298,61.23517374752407,28.492627261105934,21.67945794331256,7.186371788328175
18,2019-12-31 23:00:00+00:00,8.114,DE,2019,220.154,79.452,3.96,137.28599999999997,15.364,62.288000000000004,50.976,62.35907591958355,28.292922227168255,23.154700800348845,6.9787512377699255
19,2020-12-31 23:00:00+00:00,8.114,DE,2020,222.77999999999997,74.511,4.816,144.121,15.297,63.92,56.122,64.69207289702848,28.691983122362874,25.19166891103331,6.866415297603018
20,2021-12-31 23:00:00+00:00,4.056,DE,2021,230.59,75.303,6.631,153.43800000000002,15.411,66.23,62.959,66.54148054989376,28.721974066525004,27.303439004293335,6.683290689101868
21,2022-12-31 23:00:00+00:00,0.0,DE,2022,249.30199999999996,76.663,10.793,170.725,15.411999999999999,69.486,76.948,68.48119950902922,27.872219236107217,30.865376130155397,6.182060312392199
22,2023-12-31 23:00:00+00:00,0.0,DE,2023,265.678,69.95299999999999,15.109,189.588,15.317,72.804,92.495,71.36006745007114,27.403096982060994,34.81470050211158,5.76524966312604
23,2024-12-31 23:00:00+00:00,0.0,DE,2024,289.24600000000004,68.913,19.316,210.027,15.317,77.914,107.786,72.61189437364733,26.936932576422834,37.26447383887763,5.2954924182184016
24,2025-12-31 23:00:00+00:00,0.0,DE,2025,305.688,68.68799999999999,23.066,222.97600000000003,15.222,81.619,117.093,72.94234644474106,26.700099447802987,38.30474208997409,4.979587029912853
0,2013-12-31 23:00:00+00:00,0.0,PL,2013,34.82999999999999,29.13,0.0,6.079999999999999,1.93,3.76,0.01,17.456215905828312,10.795291415446457,0.028710881424059725,5.541200114843527
1,2014-12-31 23:00:00+00:00,0.0,PL,2014,36.26,28.76,0.0,7.93,1.93,5.49,0.08,21.869829012686157,15.140650854936572,0.2206287920573635,5.322669608383894
2,2015-12-31 23:00:00+00:00,0.0,PL,2015,36.38999999999999,28.240000000000002,0.0,8.65,1.93,6.03,0.19,23.770266556746364,16.57048639736192,0.5221214619400936,5.303654850233581
3,2016-12-31 23:00:00+00:00,0.0,PL,2016,39.31999999999999,31.36,0.0,8.56,1.94,5.79,0.23,21.77009155645982,14.72533062054934,0.584944048830112,4.933875890132249
4,2017-12-31 23:00:00+00:00,0.0,PL,2017,41.25,33.07,0.0,9.03,1.94,5.81,0.43,21.890909090909087,14.084848484848484,1.0424242424242425,4.703030303030302
5,2018-12-31 23:00:00+00:00,0.0,PL,2018,42.34,33.14,0.0,10.080000000000002,1.94,5.95,1.31,23.8072744449693,14.052905054322155,3.094000944733113,4.581955597543693
6,2019-12-31 23:00:00+00:00,0.0,PL,2019,43.699999999999996,31.709999999999997,0.0,12.870000000000001,1.95,6.57,3.47,29.450800915331815,15.034324942791763,7.940503432494281,4.462242562929062
7,2020-12-31 23:00:00+00:00,0.0,PL,2020,49.290000000000006,31.11,1.52,17.310000000000002,2.0500000000000003,7.95,6.66,35.11868533171029,16.129032258064516,13.511868533171025,4.159058632582674
8,2021-12-31 23:00:00+00:00,0.0,PL,2021,54.23000000000001,31.03,1.52,22.34,2.06,8.98,10.64,41.19491056610731,16.559100129079845,19.620136455836253,3.7986354416374692
9,2022-12-31 23:00:00+00:00,0.0,PL,2022,60.099999999999994,32.209999999999994,1.64,26.91,2.06,9.58,14.61,44.77537437603994,15.940099833610649,24.30948419301165,3.427620632279534
10,2023-12-31 23:00:00+00:00,0.0,PL,2023,63.540000000000006,31.69,1.74,30.75,1.99,10.3,17.82,48.3947119924457,16.210261252754172,28.045325779036823,3.1318854265029903
11,2024-12-31 23:00:00+00:00,0.0,PL,2024,67.23,31.83,1.98,34.120000000000005,1.99,10.7,20.73,50.75115275918489,15.915513907481776,30.83444890673806,2.9599881005503494
0,2013-12-31 22:00:00+00:00,2.75,FI,2013,11.16,7.78,0.11000000000000001,2.57,0.0,0.5,0.0,23.028673835125446,4.480286738351254,0.0,0.0
1,2014-12-31 22:00:00+00:00,2.78,FI,2014,11.100000000000001,5.8100000000000005,1.35,2.6900000000000004,0.0,1.08,0.0,24.234234234234233,9.729729729729728,0.0,0.0
2,2015-12-31 22:00:00+00:00,2.78,FI,2015,12.14,7.16,0.6900000000000001,3.17,0.0,1.43,0.0,26.112026359143325,11.779242174629323,0.0,0.0
3,2016-12-31 22:00:00+00:00,2.78,FI,2016,12.139999999999997,6.669999999999999,0.52,3.9799999999999995,0.0,1.91,0.0,32.7841845140033,15.733113673805605,0.0,0.0
4,2017-12-31 22:00:00+00:00,2.78,FI,2017,12.299999999999999,6.759999999999999,0.49,4.069999999999999,0.0,2.01,0.0,33.08943089430894,16.34146341463415,0.0,0.0
5,2018-12-31 22:00:00+00:00,2.79,FI,2018,12.26,6.449999999999999,0.6,4.279999999999999,0.0,2.14,0.01,34.91027732463295,17.45513866231648,0.08156606851549755,0.0
6,2019-12-31 22:00:00+00:00,2.79,FI,2019,11.85,5.76,0.6,4.5600000000000005,0.0,2.42,0.01,38.481012658227854,20.42194092827004,0.08438818565400844,0.0
7,2020-12-31 22:00:00+00:00,2.79,FI,2020,12.66,5.79,0.5700000000000001,5.41,0.0,3.18,0.01,42.73301737756714,25.118483412322274,0.07898894154818326,0.0
8,2021-12-31 22:00:00+00:00,2.79,FI,2021,14.309999999999997,5.4399999999999995,0.55,7.359999999999999,0.0,5.12,0.02,51.43256464011182,35.77917540181692,0.13976240391334735,0.0
9,2022-12-31 22:00:00+00:00,4.36,FI,2022,17.18,5.24,0.54,8.74,0.0,6.62,0.03,50.87310826542492,38.53317811408615,0.17462165308498254,0.0
10,2023-12-31 22:00:00+00:00,4.36,FI,2023,18.43,4.96,0.48,10.57,0.0,8.22,0.05,57.35214324470972,44.60119370591428,0.2712967986977754,0.0
11,2024-12-31 22:00:00+00:00,4.37,FI,2024,20.86,4.8,0.49,13.149999999999999,0.0,9.33,1.51,63.03930968360498,44.72674976030681,7.238734419942474,0.0
0,2013-12-31 23:00:00+00:00,4.04,CZ,2013,20.290000000000003,11.500000000000002,0.6,4.15,1.83,0.27,2.05,20.453425332676193,1.330704780680138,10.103499260719564,9.019221291276489
1,2014-12-31 23:00:00+00:00,4.04,CZ,2014,19.85,11.14,0.0,5.02,1.8199999999999998,0.28,2.07,25.2896725440806,1.4105793450881612,10.428211586901762,9.168765743073045
2,2015-12-31 23:00:00+00:00,4.04,CZ,2015,19.51,10.74,0.1,4.9799999999999995,1.92,0.28,2.03,25.52537160430548,1.4351614556637622,10.404920553562274,9.841107124551511
3,2016-12-31 23:00:00+00:00,4.04,CZ,2016,20.16,11.35,0.1,5.02,1.92,0.31,2.04,24.90079365079365,1.5376984126984126,10.119047619047619,9.523809523809524
4,2017-12-31 23:00:00+00:00,4.04,CZ,2017,20.090000000000003,11.26,0.1,5.090000000000001,1.92,0.32,2.05,25.33598805375809,1.5928322548531604,10.20408163265306,9.556993529118962
5,2018-12-31 23:00:00+00:00,4.04,CZ,2018,19.830000000000002,10.96,0.1,5.140000000000001,1.92,0.34,2.06,25.920322743318202,1.714573877962683,10.388300554715077,9.682299546142207
6,2019-12-31 23:00:00+00:00,4.04,CZ,2019,19.37,10.51,0.1,5.13,1.92,0.34,2.05,26.48425400103252,1.7552916881775942,10.583376355188435,9.91223541559112
7,2020-12-31 23:00:00+00:00,4.04,CZ,2020,18.93,10.07,0.1,5.13,1.92,0.34,2.05,27.099841521394612,1.7960908610670894,10.829371368198625,10.142630744849445
8,2021-12-31 23:00:00+00:00,4.04,CZ,2021,18.89,9.98,0.1,5.18,1.94,0.34,2.08,27.4219163578613,1.7998941238750663,11.011116993118051,10.26998411858126
9,2022-12-31 23:00:00+00:00,4.04,CZ,2022,20.45,10.02,0.1,6.7,1.94,0.34,3.55,32.76283618581907,1.6625916870415651,17.359413202933986,9.486552567237164
10,2023-12-31 23:00:00+00:00,4.04,CZ,2023,21.39,10.06,0.1,7.6000000000000005,1.94,0.37,4.42,35.53062178588126,1.729780271154745,20.66386161757831,9.069658719027581
11,2024-12-31 23:00:00+00:00,4.04,CZ,2024,21.71,9.459999999999999,0.1,8.520000000000001,1.94,0.38,5.33,39.24458774758177,1.7503454629203132,24.550898203592812,8.935974205435283
