country,country_code,year,spei_12,drought,electricity_generation,hydro_electricity,wind_electricity,solar_electricity,biofuel_electricity,nuclear_electricity,coal_electricity,gas_electricity,oil_electricity,fossil_electricity,net_elec_imports,net_elec_imports_share_demand,hydro_share,wind_share,solar_share,biofuel_share,nuclear_share,coal_share,gas_share,oil_share,fossil_share
Austria,AUT,2023,0.1622,False,70.98,40.67,8.04,6.89,4.56,0.0,0.0,7.5,3.32,10.82,-0.07,-0.099,0.5729783037475346,0.11327134404057479,0.09706959706959706,0.06424344885883347,0.0,0.0,0.10566356720202874,0.046773739081431384,0.15243730628346014
Austria,AUT,2022,-2.0894,True,64.47,34.63,7.24,3.79,4.75,0.0,0.0,10.85,3.21,14.06,8.7,11.89,0.5371490615790291,0.11230029471071817,0.05878703272840081,0.07367767954087172,0.0,0.0,0.16829533116178066,0.049790600279199626,0.21808593144098032
Austria,AUT,2021,-0.5382,False,66.67,38.75,6.74,2.78,4.48,0.0,0.0,10.62,3.3,13.92,7.54,10.16,0.5812209389530524,0.10109494525273736,0.04169791510424478,0.06719664016799161,0.0,0.0,0.1592920353982301,0.04949752512374381,0.2087895605219739
Austria,AUT,2020,0.3651,False,69.03,42.0,6.79,2.04,4.59,0.0,0.56,9.95,3.1,13.61,2.2,3.089,0.6084311169056932,0.0983630305664204,0.02955236853541938,0.06649282920469361,0.0,0.00811241489207591,0.1441402288859916,0.04490801100970593,0.19716065478777342
Austria,AUT,2019,-0.2886,False,70.69,40.83,7.45,1.7,4.66,0.0,1.5,11.32,3.23,16.05,3.13,4.24,0.5775923044277833,0.10538972980619607,0.024048663177252794,0.06592162965058708,0.0,0.02121940868581129,0.1601358042155892,0.04569246003678031,0.22704767293818082
Austria,AUT,2018,-1.2749,True,64.67,37.64,6.03,1.46,4.93,0.0,1.81,9.92,2.88,14.61,8.95,12.157,0.5820318540281428,0.09324261635998145,0.022576155868254212,0.07623318385650224,0.0,0.02798824802845214,0.153394154940467,0.04453378691820009,0.2259161898871192
Austria,AUT,2017,0.3634,False,67.09,38.29,6.57,1.27,4.92,0.0,1.76,10.91,3.37,16.04,6.55,8.895,0.5707258905947235,0.0979281562080787,0.01892979579669101,0.0733343270234014,0.0,0.02623341779698912,0.1626173796392905,0.05023103294082575,0.23908183037710534
Austria,AUT,2016,1.3329,False,64.87,39.97,5.23,1.1,4.78,0.0,2.04,8.49,3.26,13.79,7.16,9.94,0.6161553876984738,0.08062278402959766,0.016956990904886695,0.07368583320487128,0.0,0.03144751040542623,0.13087713889317096,0.05025435486357329,0.21257900416217046
Austria,AUT,2015,-1.2206,True,61.78,37.16,4.84,0.94,4.65,0.0,2.95,7.66,3.58,14.19,10.06,14.003,0.6014891550663645,0.07834250566526384,0.015215280025898347,0.07526707672385886,0.0,0.047750080932340566,0.12398834574295889,0.05794755584331499,0.22968598251861444
Austria,AUT,2014,0.7949,False,61.55,41.01,3.85,0.79,4.55,0.0,2.94,5.32,3.09,11.35,9.27,13.09,0.6662875710804225,0.06255077173030058,0.012835093419983755,0.07392363931762795,0.0,0.04776604386677498,0.08643379366368807,0.050203086921202275,0.1844029244516653
Austria,AUT,2013,0.1777,False,64.55,42.02,3.15,0.63,4.7,0.0,4.21,6.65,3.19,14.05,7.27,10.123,0.6509682416731217,0.048799380325329204,0.00975987606506584,0.07281177381874517,0.0,0.06522075910147172,0.10302091402013944,0.04941905499612703,0.2176607281177382
Austria,AUT,2012,-0.586,False,68.65,43.85,2.46,0.34,4.68,0.0,4.39,9.71,3.22,17.32,2.8,3.919,0.638747268754552,0.0358339402767662,0.004952658412235979,0.06817188638018935,0.0,0.06394756008739984,0.141442097596504,0.04690458849235251,0.25229424617625634
Austria,AUT,2011,-1.9052,True,62.2,34.24,1.94,0.17,4.56,0.0,5.43,12.44,3.42,21.29,8.2,11.648,0.5504823151125402,0.031189710610932474,0.002733118971061093,0.07331189710610932,0.0,0.08729903536977492,0.19999999999999998,0.05498392282958199,0.3422829581993569
Austria,AUT,2010,0.6895,False,67.82,38.36,2.06,0.09,4.48,0.0,4.92,14.35,3.56,22.83,2.44,3.473,0.5656148628723091,0.03037452079032734,0.0013270421704511945,0.06605721026245946,0.0,0.0725449719846653,0.21158950162194046,0.052491890297847246,0.336626363904453
Austria,AUT,2009,0.3008,False,66.21,40.9,1.95,0.05,4.28,0.0,3.76,12.34,2.93,19.03,0.78,1.164,0.6177314605044556,0.02945174444947893,0.0007551729346020239,0.06464280320193325,0.0,0.056789004682072194,0.1863766802597795,0.044253133967678604,0.2874188189095303
Austria,AUT,2008,-0.3447,False,64.38,38.33,2.01,0.03,4.16,0.0,5.53,11.18,3.14,19.85,4.86,7.019,0.5953712333022678,0.031220876048462253,0.0004659832246039143,0.06461634047840945,0.0,0.08589624106865487,0.17365641503572538,0.04877291084187636,0.3083255669462566
Austria,AUT,2007,-0.2111,False,62.83,37.05,2.04,0.02,4.06,0.0,6.6,9.9,3.16,19.66,6.02,8.744,0.5896864555148814,0.03246856597166958,0.0003183192742320548,0.06461881266910711,0.0,0.10504536049657806,0.1575680407448671,0.05029444532866465,0.31290784657010984
Austria,AUT,2006,-1.0345,True,62.21,35.66,1.75,0.02,3.23,0.0,7.37,10.67,3.51,21.55,6.34,9.249,0.5732197395917055,0.028130525638964798,0.00032149172158816913,0.05192091303648931,0.0,0.11846969940524031,0.17151583346728821,0.056421797138723674,0.34640733001125223
Austria,AUT,2005,0.1201,False,64.37,37.1,1.33,0.02,2.43,0.0,7.17,13.03,3.29,23.49,2.62,3.911,0.5763554450831132,0.020661798974677646,0.00031070374398011494,0.03775050489358397,0.0,0.1113872922168712,0.20242348920304487,0.05111076588472891,0.364921547304645
