,timestamp,nuclear,country,year,water,wind,fossil,solar,other
17,2018-12-31 23:00:00+00:00,9.516,DE,2018,15.347,60.848,78.15599999999999,46.298,3.392
18,2019-12-31 23:00:00+00:00,8.114,DE,2019,15.364,62.288000000000004,79.452,50.976,3.96
19,2020-12-31 23:00:00+00:00,8.114,DE,2020,15.297,63.92,74.511,56.122,4.816
20,2021-12-31 23:00:00+00:00,4.056,DE,2021,15.411,66.23,75.303,62.959,6.631
21,2022-12-31 23:00:00+00:00,0.0,DE,2022,15.411999999999999,69.486,76.663,76.948,10.793
22,2023-12-31 23:00:00+00:00,0.0,DE,2023,15.317,72.804,69.95299999999999,92.495,15.109
23,2024-12-31 23:00:00+00:00,0.0,DE,2024,15.317,77.914,68.913,107.786,19.316
5,2018-12-31 23:00:00+00:00,0.0,PL,2018,1.94,5.95,33.14,1.31,0.0
6,2019-12-31 23:00:00+00:00,0.0,PL,2019,1.95,6.57,31.709999999999997,3.47,0.0
7,2020-12-31 23:00:00+00:00,0.0,PL,2020,2.0500000000000003,7.95,31.11,6.66,1.52
8,2021-12-31 23:00:00+00:00,0.0,PL,2021,2.06,8.98,31.03,10.64,1.52
9,2022-12-31 23:00:00+00:00,0.0,PL,2022,2.06,9.58,32.209999999999994,14.61,1.64
10,2023-12-31 23:00:00+00:00,0.0,PL,2023,1.99,10.3,31.69,17.82,1.74
11,2024-12-31 23:00:00+00:00,0.0,PL,2024,1.99,10.7,31.83,20.73,1.98
5,2018-12-31 22:00:00+00:00,2.79,FI,2018,0.0,2.14,6.449999999999999,0.01,0.6
6,2019-12-31 22:00:00+00:00,2.79,FI,2019,0.0,2.42,5.76,0.01,0.6
7,2020-12-31 22:00:00+00:00,2.79,FI,2020,0.0,3.18,5.79,0.01,0.5700000000000001
8,2021-12-31 22:00:00+00:00,2.79,FI,2021,0.0,5.12,5.4399999999999995,0.02,0.55
9,2022-12-31 22:00:00+00:00,4.36,FI,2022,0.0,6.62,5.24,0.03,0.54
10,2023-12-31 22:00:00+00:00,4.36,FI,2023,0.0,8.22,4.96,0.05,0.48
11,2024-12-31 22:00:00+00:00,4.37,FI,2024,0.0,9.33,4.8,1.51,0.49
5,2018-12-31 23:00:00+00:00,4.04,CZ,2018,1.92,0.34,10.96,2.06,0.1
6,2019-12-31 23:00:00+00:00,4.04,CZ,2019,1.92,0.34,10.51,2.05,0.1
7,2020-12-31 23:00:00+00:00,4.04,CZ,2020,1.92,0.34,10.07,2.05,0.1
8,2021-12-31 23:00:00+00:00,4.04,CZ,2021,1.94,0.34,9.98,2.08,0.1
9,2022-12-31 23:00:00+00:00,4.04,CZ,2022,1.94,0.34,10.02,3.55,0.1
10,2023-12-31 23:00:00+00:00,4.04,CZ,2023,1.94,0.37,10.06,4.42,0.1
11,2024-12-31 23:00:00+00:00,4.04,CZ,2024,1.94,0.38,9.459999999999999,5.33,0.1
