Region,Country,Year,Bioenergy,Hydro,Wind,Solar
Northern Europe,Denmark,2023,2130.0,0.0,7510.0,3730.0
Northern Europe,Denmark,2024,2600.0,0.0,5640.000000000001,3230.0
Northern Europe,Denmark,2025,2600.0,0.0,5640.000000000001,3383.9
Northern Europe,Estonia,2023,169.99999999999997,0.0,450.0,810.0
Northern Europe,Estonia,2024,169.99999999999997,0.0,688.0,1170.0
Northern Europe,Estonia,2025,169.99999999999997,0.0,690.0,1230.0
Northern Europe,Finland,2023,3825.8,2545.0,6676.6,51.9
Northern Europe,Finland,2024,3742.8,2545.0,8220.0,123.4
Northern Europe,Finland,2025,3742.8,2545.0,9330.0,1510.0
Northern Europe,Ireland,2023,123.4,460.0,4118.5,550.0
Northern Europe,Ireland,2024,123.4,460.0,4381.1,819.1
Northern Europe,Ireland,2025,123.4,460.0,4381.1,927.1
Northern Europe,Latvia,2023,170.0,1536.0,140.0,300.0
Northern Europe,Latvia,2024,170.0,1536.0,140.0,450.0
Northern Europe,Latvia,2025,150.0,1536.0,140.0,1140.0
Northern Europe,Lithuania,2023,270.0,1001.0,1290.0,1160.0
Northern Europe,Lithuania,2024,270.0,1001.0,1680.0,1790.0
Northern Europe,Lithuania,2025,240.0,1001.0,2510.0,3020.0
Northern Europe,Norway,2023,100.0,28549.0,5803.4,17.0
Northern Europe,Norway,2024,100.0,28652.0,5803.4,20.0
Northern Europe,Norway,2025,100.0,28652.0,5803.4,40.0
Northern Europe,Sweden,2023,3333.7,16300.0,16700.0,3200.0
Northern Europe,Sweden,2024,3333.7,16400.0,18000.0,5000.0
Northern Europe,Sweden,2025,3333.7,16400.0,18000.0,5000.0
Southern Europe,Bosnia and Herzegovina,2023,0.0,1995.0,135.0,187.6
Southern Europe,Bosnia and Herzegovina,2024,0.0,1995.0,310.0,470.5
Southern Europe,Bosnia and Herzegovina,2025,0.0,2030.0,320.0,539.5
Southern Europe,Croatia,2023,120.0,1959.0,1210.0,290.0
Southern Europe,Croatia,2024,120.0,1959.0,1240.0,450.0
Southern Europe,Croatia,2025,120.0,1959.0,1310.0,620.0
Southern Europe,Greece,2023,120.0,3119.0,5070.0,6700.0
Southern Europe,Greece,2024,150.0,3119.0,5220.0,9000.0
Southern Europe,Greece,2025,150.0,3119.0,5460.0,9800.0
Southern Europe,Italy,2023,2210.0,17236.0,11680.0,5930.0
Southern Europe,Italy,2024,2210.0,17236.0,12260.0,8920.0
Southern Europe,Italy,2025,1540.0,17236.0,12910.0,11870.0
Southern Europe,Montenegro,2023,0.0,649.0,120.0,6.3
Southern Europe,Montenegro,2024,0.0,649.0,120.0,16.900000000000002
Southern Europe,Montenegro,2025,0.0,649.0,170.0,16.900000000000002
Southern Europe,North Macedonia,2023,10.0,640.0,120.0,356.5
Southern Europe,North Macedonia,2024,10.0,640.0,120.0,440.2
Southern Europe,North Macedonia,2025,10.0,640.0,120.0,440.2
Southern Europe,Portugal,2023,680.0,7623.0,5350.0,2117.2
Southern Europe,Portugal,2024,690.0,7783.0,5390.0,3056.2
Southern Europe,Portugal,2025,680.0,7783.0,5420.0,3550.9
Southern Europe,Serbia,2023,37.2,1480.0,650.0,74.4
Southern Europe,Serbia,2024,37.2,1480.0,740.0,139.4
Southern Europe,Serbia,2025,37.2,1480.0,1110.0,199.2
Southern Europe,Slovenia,2023,50.0,1070.0,0.0,1110.0
Southern Europe,Slovenia,2024,40.0,1070.0,0.0,1410.0
Southern Europe,Slovenia,2025,60.00000000000001,1070.0,0.0,1580.0
Southern Europe,Spain,2023,1260.0,19190.0,30160.0,31238.1
Southern Europe,Spain,2024,1260.0,19180.0,30930.0,34297.0
Southern Europe,Spain,2025,1300.0,17680.0,32450.000000000004,41430.0
