Region,Date,Wind_Shortwave_Radiation_Sum,Wind_Temperature_2M_Max,Wind_Wind_Gusts_10M_Max,Wind_Precipitation_Sum,Wind_Apparent_Temperature_Min,Wind_Wind_Speed_100M,Wind_Wind_Speed_100M_Cubed,Wind_Snow_Depth,Solar_Shortwave_Radiation_Sum,Solar_Temperature_2M_Max,Solar_Wind_Gusts_10M_Max,Solar_Precipitation_Sum,Solar_Apparent_Temperature_Min,Solar_Wind_Speed_100M,Solar_Wind_Speed_100M_Cubed,Solar_Snow_Depth,Hydro_Shortwave_Radiation_Sum,Hydro_Temperature_2M_Max,Hydro_Wind_Gusts_10M_Max,Hydro_Precipitation_Sum,Hydro_Apparent_Temperature_Min,Hydro_Wind_Speed_100M,Hydro_Wind_Speed_100M_Cubed,Hydro_Snow_Depth,Bioenergy_Shortwave_Radiation_Sum,Bioenergy_Temperature_2M_Max,Bioenergy_Wind_Gusts_10M_Max,Bioenergy_Precipitation_Sum,Bioenergy_Apparent_Temperature_Min,Bioenergy_Wind_Speed_100M,Bioenergy_Wind_Speed_100M_Cubed,Bioenergy_Snow_Depth
Northern Europe,2023-01-01,0.75,3.2,45.87,3.11,-7.12,29.65,41598.02,0.19,1.23,8.5,56.5,7.3,0.25,34.95,67690.03,0.02,0.63,-2.51,38.22,2.07,-13.37,22.57,19067.45,0.54,0.75,4.64,47.36,3.67,-5.64,30.88,46423.65,0.12
Northern Europe,2023-01-02,0.66,0.27,39.72,2.55,-10.11,23.59,21372.82,0.19,0.97,6.36,44.73,6.6,-1.66,25.61,24509.26,0.02,0.47,-4.38,29.81,1.63,-14.99,16.26,10673.97,0.54,0.5,1.84,40.19,4.35,-7.51,24.39,21266.01,0.12
Northern Europe,2023-01-03,0.75,-0.85,40.14,3.25,-10.68,25.26,28763.21,0.19,1.64,6.16,50.96,4.48,-3.01,33.39,50397.94,0.03,0.6,-5.04,32.86,1.14,-14.68,18.08,13049.92,0.54,0.99,-0.01,37.68,1.78,-9.08,24.81,24130.77,0.13
Northern Europe,2023-01-04,0.53,-0.63,47.52,6.31,-10.46,31.14,52548.56,0.19,0.87,7.0,54.7,16.48,-2.28,38.23,75281.18,0.03,0.32,-5.31,48.45,6.63,-15.51,28.55,40777.76,0.55,0.39,-0.01,43.75,8.05,-10.21,27.82,35850.18,0.13
Northern Europe,2023-01-05,0.48,-1.31,48.59,2.64,-10.79,29.3,45386.85,0.2,1.23,5.03,59.12,2.92,-6.48,32.35,54466.63,0.04,0.36,-6.28,42.56,3.19,-14.65,23.48,19023.0,0.58,0.61,-1.34,46.83,1.95,-11.65,29.57,37942.05,0.14
Northern Europe,2023-01-06,0.65,-2.18,50.25,6.07,-12.0,30.78,57112.2,0.2,1.63,3.04,51.61,8.12,-7.76,33.08,51935.68,0.04,0.51,-6.83,54.46,10.28,-15.98,31.8,57109.12,0.61,0.58,-2.94,45.82,4.51,-13.06,27.12,38504.43,0.15
Northern Europe,2023-01-07,0.55,0.08,50.14,4.58,-9.97,32.04,49619.77,0.22,1.17,3.67,46.06,2.27,-4.81,32.55,41957.07,0.04,0.34,-3.0,49.11,6.95,-13.48,27.22,29383.74,0.65,0.52,-1.17,40.98,2.42,-10.77,28.77,33802.9,0.15
Northern Europe,2023-01-08,0.63,1.42,52.81,6.22,-6.85,36.58,62768.16,0.23,1.53,4.61,46.9,1.65,-3.86,34.35,45486.05,0.04,0.38,-0.65,51.58,10.99,-9.15,31.41,36804.2,0.66,0.48,-0.23,47.42,5.2,-8.23,33.49,47743.41,0.15
Northern Europe,2023-01-09,0.72,1.31,46.73,4.54,-6.03,31.5,44123.29,0.25,1.51,4.05,42.36,2.8,-3.41,31.87,38235.7,0.04,0.34,-0.9,46.75,6.75,-7.57,27.0,26070.69,0.67,0.48,0.18,42.27,5.29,-7.47,29.72,37321.18,0.16
Northern Europe,2023-01-10,0.65,2.02,44.18,5.85,-5.64,28.05,35510.87,0.25,1.63,5.75,52.47,3.78,-3.18,31.89,43579.37,0.04,0.5,-0.93,40.28,2.46,-8.05,23.03,17324.79,0.67,0.87,1.63,39.92,3.46,-6.64,27.74,26028.2,0.17
Northern Europe,2023-01-11,0.68,4.36,62.3,8.1,-6.16,37.08,76008.9,0.26,1.72,6.86,65.06,7.71,-3.49,41.48,88194.38,0.04,0.53,0.8,60.19,13.0,-8.35,32.38,45069.82,0.68,0.68,4.66,62.74,5.42,-5.86,38.3,73788.03,0.17
Northern Europe,2023-01-12,0.76,4.36,55.32,3.41,-3.71,35.39,68615.2,0.25,1.18,6.22,56.4,4.87,-1.99,37.49,69005.86,0.04,0.6,0.79,47.05,3.48,-6.45,24.64,22323.18,0.68,0.48,3.93,50.88,3.11,-3.27,35.35,54978.96,0.16
Northern Europe,2023-01-13,0.85,3.15,43.72,4.01,-5.18,28.11,40851.16,0.24,1.26,6.95,60.65,6.58,-1.52,41.71,84098.26,0.03,0.51,-0.49,32.54,3.33,-8.55,16.95,10018.15,0.67,0.84,4.17,46.8,4.28,-3.44,32.31,47294.67,0.16
Northern Europe,2023-01-14,0.97,1.83,44.03,4.31,-7.03,26.72,40526.14,0.24,1.63,6.87,58.85,7.61,-2.39,39.31,72708.7,0.03,0.74,-2.58,39.07,2.31,-11.26,18.54,12436.67,0.66,0.85,3.68,46.93,4.9,-3.91,30.41,46502.58,0.15
Northern Europe,2023-01-15,0.88,2.25,58.03,7.51,-7.87,33.67,65792.48,0.25,1.52,5.75,75.08,6.1,-4.31,47.47,133965.53,0.02,0.49,-2.7,46.62,7.24,-11.66,21.76,19665.44,0.68,1.09,4.03,63.76,8.48,-5.6,41.3,97392.01,0.16
Northern Europe,2023-01-16,1.26,1.56,43.96,2.96,-8.09,26.77,30981.04,0.26,2.36,4.21,53.57,1.97,-3.6,32.92,46797.73,0.02,0.97,-2.65,37.26,3.36,-12.79,18.97,12329.53,0.7,1.37,3.21,55.83,2.29,-5.28,37.01,63397.97,0.16
Northern Europe,2023-01-17,0.93,0.64,42.85,3.08,-9.29,27.46,29290.97,0.27,1.38,3.21,47.74,4.62,-5.11,30.55,36799.32,0.02,0.58,-2.78,36.91,6.21,-12.18,22.37,16167.49,0.73,0.62,2.14,49.11,3.42,-6.59,32.23,42270.74,0.16
Northern Europe,2023-01-18,1.22,1.39,43.19,4.33,-6.55,27.08,27694.71,0.28,2.38,3.0,45.08,3.02,-4.85,29.15,29361.95,0.02,0.82,-2.45,31.73,3.82,-10.94,17.0,8834.18,0.75,1.22,2.05,44.43,3.51,-5.66,30.06,32573.02,0.17
Northern Europe,2023-01-19,1.36,0.88,34.56,1.26,-6.91,18.46,13472.07,0.28,2.08,2.78,46.02,3.65,-5.36,24.55,28102.04,0.04,0.98,-3.51,25.87,1.62,-11.8,12.65,5409.42,0.75,0.92,1.43,41.55,4.08,-5.84,24.64,23370.06,0.18
Northern Europe,2023-01-20,1.29,0.04,29.91,0.82,-8.38,19.38,12651.93,0.28,2.4,2.08,25.63,0.66,-5.62,14.24,5280.88,0.04,1.32,-4.09,24.26,0.63,-13.97,14.93,6385.02,0.74,1.36,0.94,27.47,0.69,-6.79,16.13,8915.32,0.19
Northern Europe,2023-01-21,1.54,-0.79,33.77,0.3,-9.6,23.38,23822.1,0.28,2.56,2.13,33.08,0.19,-6.08,23.86,19837.1,0.04,1.44,-4.88,31.17,0.33,-14.92,18.89,13796.05,0.73,1.79,-0.75,27.45,0.07,-9.12,17.86,9016.08,0.18
Northern Europe,2023-01-22,1.39,-1.29,36.34,0.72,-10.36,24.45,34062.69,0.28,2.08,1.19,34.06,0.39,-6.31,22.43,18226.39,0.04,1.31,-4.8,34.79,0.35,-14.9,22.42,22778.1,0.73,1.59,-1.87,29.79,0.04,-9.87,18.16,12190.0,0.18
Northern Europe,2023-01-23,1.29,0.2,37.59,2.06,-10.14,26.36,40753.64,0.27,1.95,1.69,26.03,0.18,-5.79,14.18,6045.81,0.04,0.78,-1.61,42.6,3.62,-13.22,25.54,26850.99,0.72,1.5,-1.06,36.02,0.07,-9.76,22.92,22992.28,0.18
