country,iso_code,height_m,wind_speed_100m_mean_ms,wind_speed_100m_median_ms,wind_speed_100m_std_ms,wind_speed_100m_p10_ms,wind_speed_100m_p90_ms,wind_speed_100m_min_ms,wind_speed_100m_max_ms,wind_speed_valid_cells,power_density_100m_mean_wm2,power_density_100m_median_wm2,power_density_100m_std_wm2,power_density_100m_p10_wm2,power_density_100m_p90_wm2,power_density_100m_min_wm2,power_density_100m_max_wm2,power_density_valid_cells,generation_year,wind_generation_twh,capacity_year,wind_capacity_gw,generation_per_gw,capacity_factor_pct
Ireland,IRL,100,10.345,11.227,0.854,11.145,11.267,5.59,18.809,10634733,1168.017,1464.362,252.137,1430.129,1489.167,171.066,7021.459,10634733,2025,11.76,2025,5.128241,2.2931839591782053,26.2
United Kingdom,GBR,100,9.804,10.521,1.17,10.422,10.73,3.772,19.286,22775169,1053.735,1268.55,330.832,1237.87,1326.915,94.805,8544.592,22775169,2025,85.84,2025,33.08753,2.5943308551590283,29.6
Chile,CHL,100,9.002,5.149,2.994,3.049,5.9,0.425,57.372,61221317,929.614,117.115,932.343,38.221,173.638,0.293,185924.109,61221317,2025,11.58,2025,5.8827796,1.9684572238606388,22.5
Norway,NOR,100,8.843,9.156,1.373,9.134,9.214,0.596,21.725,42320357,872.297,881.838,331.832,873.93,894.672,1.05,22597.379,42320357,2025,13.56,2025,5.158,2.628925940286933,30.0
Denmark,DNK,100,9.326,9.731,0.839,8.328,10.33,6.208,10.687,3499671,812.066,926.779,226.086,559.194,1108.657,224.621,1215.052,3499671,2025,19.21,2025,7.546501,2.5455505803285523,29.1
Netherlands,NLD,100,8.926,9.923,1.068,9.768,10.022,5.484,10.088,2203227,753.276,1017.657,265.38,992.568,1050.739,156.428,1085.439,2203227,2025,33.7,2025,11.7825,2.860173986844897,32.7
Argentina,ARG,100,8.477,5.351,2.531,2.266,8.42,0.236,57.372,65127614,744.762,163.117,715.61,18.752,585.328,0.051,185924.109,65127614,2025,18.62,2025,4.49652,4.140980135749424,47.3
Canada,CAN,100,7.391,8.063,1.665,7.996,8.135,0.199,26.868,416379951,528.42,605.711,345.802,597.364,613.614,0.039,30792.992,416379951,2025,51.48,2025,18.153,2.835894893406049,32.4
France,FRA,100,7.073,9.131,1.622,7.071,9.402,0.263,19.424,17019683,472.666,769.276,286.786,353.077,854.726,0.213,12011.371,17019683,2025,46.49,2025,25.654846,1.8121332710397093,20.7
Spain,ESP,100,6.812,9.29,1.753,9.174,9.392,0.376,16.882,18050948,470.501,866.064,296.796,840.713,894.359,0.343,12393.112,18050948,2025,58.76,2025,33.30057,1.764534360823253,20.1
Portugal,PRT,100,7.61,8.831,1.23,8.583,8.979,1.77,11.836,6136601,467.14,697.868,163.295,652.097,741.631,13.138,2279.031,6136601,2025,13.67,2025,5.605473,2.438688046485997,27.8
South Africa,ZAF,100,7.259,4.715,1.755,4.099,5.361,0.456,21.946,34932846,458.458,108.341,276.168,74.113,185.005,0.121,11187.068,34932846,2025,11.32,2025,4.326,2.6167360147942675,29.9
Sweden,SWE,100,7.04,6.91,1.381,5.585,8.892,2.774,18.599,16816789,409.214,436.24,262.092,233.208,980.292,35.578,11486.832,16816789,2025,38.9,2025,17.3806,2.238127567517807,25.5
United States,USA,100,6.688,7.2,1.673,6.998,7.521,0.181,26.521,219280837,400.707,382.27,359.743,349.859,446.801,0.03,42660.879,219280837,2025,464.39,2025,158.3725,2.932264124137713,33.5
Australia,AUS,100,7.25,6.939,1.46,5.663,7.198,0.463,19.227,212897206,399.97,305.271,265.482,186.536,332.062,0.892,5980.777,212897206,2025,39.23,2025,14.529,2.700117007364581,30.8
Greece,GRC,100,6.699,3.735,1.618,2.489,5.437,0.718,17.839,10123344,399.24,109.402,197.664,41.182,293.71,0.641,10403.923,10123344,2025,11.91,2025,5.706387,2.0871349945245563,23.8
Germany,DEU,100,6.834,10.04,1.548,9.307,10.113,0.612,13.229,8784233,377.045,1005.321,245.437,754.136,1053.514,0.683,6051.681,8784233,2025,136.03,2025,77.873,1.746818537875772,19.9
Italy,ITA,100,5.786,3.533,1.48,1.795,7.06,0.146,19.864,14518621,334.599,148.042,189.04,28.355,771.365,0.062,10655.955,14518621,2025,21.48,2025,13.568163,1.5831177735703794,18.1
Finland,FIN,100,6.814,7.012,1.068,5.989,8.256,4.031,13.507,12487093,332.466,354.989,197.024,230.253,579.951,76.516,2625.775,12487093,2025,22.58,2025,9.383,2.4064798039006714,27.5
