,country,year,month,event_type,price_std_mean_diff_percentage,renew_share_diff
0,CZ,2019,1,low_wind,-11.730157218794526,1.1382886414594964
1,CZ,2019,2,low_wind,-22.86384118954533,0.32101726368840033
2,CZ,2020,11,low_wind,-13.082237959975561,-0.4472499497669613
3,CZ,2021,2,low_wind,-13.723922151159954,2.607122290293411
4,CZ,2021,3,low_wind,10.204934625433092,-1.4172180959818483
5,CZ,2021,10,low_wind,1.6561474050354554,-1.5637816284163044
6,CZ,2022,5,low_wind,-15.041450611734405,-0.7960533074965959
7,CZ,2023,8,low_wind,16.98383835791176,2.044179957711645
8,CZ,2023,9,low_wind,76.45300108906922,-0.4475116802584189
9,CZ,2024,7,low_wind,25.428500221820304,0.6460248249089524
10,CZ,2024,8,low_wind,-34.767975588096405,-1.5060699570747325
11,CZ,2024,10,low_wind,-9.957828799957305,-4.229296890485674
12,CZ,2024,11,low_wind,-24.065681234790283,-2.532602084113215
13,CZ,2024,12,low_wind,-68.67467077549377,0.11248403367185666
14,DE,2019,1,low_wind,-32.138788417281496,-19.032854755052263
15,DE,2019,2,low_wind,-18.611546627463976,-10.023602785210848
16,DE,2021,4,low_wind,-3.1875884277502875,-20.219583250434294
17,DE,2021,6,low_wind,-11.527181799298512,-8.508449030254624
18,DE,2022,3,low_wind,-20.227543283997257,-8.66594042061432
19,DE,2022,5,low_wind,-38.59475522353489,-18.31274673112008
20,DE,2022,10,low_wind,-57.48254469511019,-6.057363148607955
21,DE,2022,12,low_wind,33.13371673068639,-22.65943147370333
22,DE,2023,2,low_wind,-4.082087946989091,-21.400937264031214
23,DE,2023,9,low_wind,66.57482230404294,-9.147191943633743
24,DE,2024,12,low_wind,-62.19722881536883,-22.17779407584053
25,FI,2019,4,low_wind,-10.734952541836877,-5.709361376203603
26,FI,2019,8,low_wind,27.758197823697405,-4.853412167394836
27,FI,2019,12,low_wind,-40.46363435414304,-5.964781146744514
28,FI,2021,1,low_wind,-39.835912171711065,-3.3630057653067666
29,FI,2021,2,low_wind,117.13522704376143,-5.336956291908287
30,FI,2022,2,low_wind,19.336139534198818,-9.479787244582646
31,FI,2022,3,low_wind,-3.9973089714499004,-5.788760808918077
32,FI,2022,4,low_wind,-50.64618710720944,-10.34180570721609
33,FI,2022,11,low_wind,73.77825685480315,-7.392885573502184
34,FI,2022,12,low_wind,5.443450881538998,-11.829532444206656
35,FI,2023,4,low_wind,-24.17546266405292,-8.916247941889523
36,FI,2023,6,low_wind,81.8215122444552,-9.629601467822972
37,FI,2023,8,low_wind,276.31641720432424,-3.0102660706827535
38,FI,2023,10,low_wind,52.32894549840806,-9.093647049551805
39,FI,2023,11,low_wind,139.51154984676833,-5.450885216392848
40,FI,2023,12,low_wind,28.28650019344906,-8.089294081629447
41,FI,2024,3,low_wind,8.937697269375255,-9.12151431639662
42,FI,2024,5,low_wind,151.72058145413942,-5.271719787685512
43,FI,2024,6,low_wind,66.28822165980574,0.9579566354969771
44,FI,2024,8,low_wind,-50.13547393582826,-8.984481180879087
45,PL,2019,10,low_wind,22.15015874689786,-7.676560639592273
46,PL,2020,12,low_wind,-34.5804377797335,-7.363777841356619
47,PL,2021,1,low_wind,6.5597060263405975,-6.25442007718385
48,PL,2021,3,low_wind,9.665909435731182,-7.088837307359247
49,PL,2021,8,low_wind,12.38029780908688,-7.600364358923727
50,PL,2021,12,low_wind,30.37034269431615,-9.890260324314806
51,PL,2022,4,low_wind,29.368119791729562,-10.545839286697783
52,PL,2022,5,low_wind,-30.117290549350717,-5.475785405093706
53,PL,2022,9,low_wind,-9.698365282520749,-7.205816042112051
54,PL,2022,11,low_wind,75.1690903597858,-11.106771898836733
55,PL,2023,1,low_wind,-6.572031773269674,-19.982902334507617
56,PL,2023,2,low_wind,24.717853950506548,-15.603400137454155
57,PL,2023,3,low_wind,15.323163633831477,-13.913897173770428
58,PL,2023,6,low_wind,-4.997248457919415,-4.919146589766246
59,PL,2023,9,low_wind,31.007885461841926,-4.698343511141207
60,PL,2024,11,low_wind,136.16260198580957,-18.334019829227366
61,PL,2024,12,low_wind,-62.947377143175075,-13.295518475677099
0,CZ,2019,4,high_heat,4.67335839824484,0.106304787788158
1,CZ,2019,7,high_heat,11.488701399290578,1.183721731164475
2,CZ,2019,12,high_heat,-17.04043059613867,-1.1339952687334005
3,CZ,2020,9,high_heat,35.61692928034577,1.2047836192963501
4,CZ,2020,11,high_heat,38.823492142127535,2.2034345381161646
5,CZ,2020,12,high_heat,-22.20067091669024,1.6432336856491379
6,CZ,2021,2,high_heat,-25.766233020801938,1.5242908325424676
7,CZ,2021,3,high_heat,18.681258571314668,4.60140831422555
8,CZ,2021,4,high_heat,-35.33854119408704,3.1948099143495234
9,CZ,2021,6,high_heat,2.0322709856317283,0.5336631516536983
10,CZ,2021,12,high_heat,-48.64572684186662,3.202176761517208
11,CZ,2022,1,high_heat,-20.914334382698442,3.168885924436937
12,CZ,2022,5,high_heat,-2.4071598543488237,1.0463835020928443
13,CZ,2022,7,high_heat,18.195388507707996,-0.2075478173031584
14,CZ,2022,11,high_heat,-42.979989106080666,2.740465896026839
15,CZ,2022,12,high_heat,-88.91145913939295,2.1343897443203357
16,CZ,2023,1,high_heat,-8.351297906297065,3.1762229231146257
17,CZ,2023,3,high_heat,-28.825590602016547,2.42373690488861
18,CZ,2023,6,high_heat,-15.221873788357446,-2.832266253021622
19,CZ,2023,7,high_heat,7.507244922596418,2.3545261555811017
20,CZ,2023,8,high_heat,20.910097987549708,1.000008113142954
21,CZ,2023,9,high_heat,51.495021067523375,0.5281148800823061
22,CZ,2023,10,high_heat,14.099555310847075,2.3276935700186314
23,CZ,2024,3,high_heat,47.922803976525294,7.039882401144567
24,CZ,2024,4,high_heat,22.31106859297297,5.012762914966288
25,CZ,2024,8,high_heat,19.965465606473163,1.509631465273344
26,CZ,2024,9,high_heat,45.59992566352113,-1.9985129901704646
27,DE,2019,2,high_heat,-23.51449117039937,-4.310315806130589
28,DE,2019,4,high_heat,129.46527687179164,18.92915183860621
29,DE,2019,6,high_heat,-0.8130810752415254,1.176366386209672
30,DE,2019,7,high_heat,46.9725028290128,-3.5653911036567223
31,DE,2019,8,high_heat,29.06689011811135,-10.171841508767614
32,DE,2019,10,high_heat,30.82002131429639,6.449019664041003
33,DE,2019,12,high_heat,-40.789841246842464,0.27803633876970224
34,DE,2020,1,high_heat,11.757649009949327,11.276819627964876
35,DE,2020,8,high_heat,-28.19941626213654,0.6597873364151425
36,DE,2020,9,high_heat,98.79400164166347,-5.678712436609693
37,DE,2020,11,high_heat,8.609788337306137,21.61927207238884
38,DE,2021,2,high_heat,-10.174961333400665,11.53610784991114
39,DE,2021,3,high_heat,17.704530718677987,3.568330683294384
40,DE,2021,6,high_heat,8.389046094479227,5.869750668063979
41,DE,2021,12,high_heat,-63.10963452410145,31.899727493783963
42,DE,2022,1,high_heat,-40.55352449404866,25.461103044392495
43,DE,2022,3,high_heat,-19.76394728440457,-7.844568832956092
44,DE,2022,5,high_heat,-24.67480013873668,1.3094422095934846
45,DE,2022,7,high_heat,24.20909475519627,-1.9558907324375738
46,DE,2022,10,high_heat,-62.894565325607445,-0.45227658232659707
47,DE,2022,11,high_heat,-32.25183816206022,18.97095238672548
48,DE,2022,12,high_heat,-84.53521647929958,34.84971005332671
49,DE,2023,1,high_heat,12.917220981506677,18.684807907113246
50,DE,2023,9,high_heat,21.141346647295926,-4.5342912379770794
51,DE,2023,10,high_heat,-1.6416126952773997,5.633317555769047
52,DE,2024,4,high_heat,15.693996870994606,3.451684584629845
53,DE,2024,5,high_heat,25.888108550055716,13.779296633624824
54,DE,2024,9,high_heat,57.54876844347232,-5.438694132299553
55,FI,2019,2,high_heat,-32.504792007953284,5.041868044361017
56,FI,2019,4,high_heat,85.72226728496287,3.189317696622105
57,FI,2019,7,high_heat,53.502824585406486,-5.003299311988364
58,FI,2020,1,high_heat,-11.680956897463215,3.8451795108975233
59,FI,2020,3,high_heat,-26.754676182044058,1.6207391730298681
60,FI,2020,6,high_heat,106.9164588773323,-5.616471736889615
61,FI,2020,10,high_heat,7.770697972690965,4.8272762508143
62,FI,2020,11,high_heat,-63.9890271154264,6.408851343209271
63,FI,2020,12,high_heat,-48.376399360571796,3.912729982833767
64,FI,2021,3,high_heat,-39.70693502857906,1.7703875863549356
65,FI,2021,4,high_heat,-6.240250448856856,-4.625257434993017
66,FI,2021,7,high_heat,7.376119092756056,-0.6239065359842755
67,FI,2021,10,high_heat,-32.28069401479728,-0.5517247670679595
68,FI,2021,11,high_heat,-9.131201021028481,1.2043758671648277
69,FI,2022,3,high_heat,-16.539778450554437,2.5801282941911765
70,FI,2022,4,high_heat,-43.04115325756139,-9.401158793407987
71,FI,2022,6,high_heat,51.91998681075939,-4.306742684114596
72,FI,2022,7,high_heat,9.871775697054924,-0.5273839912641947
73,FI,2022,8,high_heat,-1.2272617391112408,5.232497749681272
74,FI,2023,6,high_heat,-12.109825785250369,-0.8353309424762116
75,FI,2024,5,high_heat,21.999206418266816,-6.529079995005077
76,FI,2024,6,high_heat,-62.11446275612771,-1.4409237343367067
77,FI,2024,8,high_heat,84.06935530759002,-3.8157903729166947
78,FI,2024,9,high_heat,-0.9948710974524254,-3.800401370262918
79,PL,2019,4,high_heat,14.166505957389333,-0.025910901132141007
80,PL,2019,7,high_heat,4.172512069961828,-1.7364399249027294
81,PL,2019,8,high_heat,43.295546920158515,0.522281455219912
82,PL,2019,10,high_heat,12.462559946614716,-2.0860072596111223
83,PL,2019,11,high_heat,-13.46362190891745,1.5026198218133882
84,PL,2020,8,high_heat,5.561232475667958,-0.5307117309840521
85,PL,2020,10,high_heat,-27.91351094099556,7.437962081995984
86,PL,2021,2,high_heat,-18.057592744750202,4.824353732070035
87,PL,2021,5,high_heat,36.221568487418935,7.099571229396883
88,PL,2021,6,high_heat,7.2234006030099565,2.819818210986403
89,PL,2021,12,high_heat,-67.12914652568872,18.77770082212097
90,PL,2022,1,high_heat,-14.275027395348944,4.48093121177417
91,PL,2022,7,high_heat,24.230145014497662,-3.0776894959497767
92,PL,2022,11,high_heat,-22.16410869119859,5.029960706265442
93,PL,2022,12,high_heat,23.56648478613704,29.287932499619107
94,PL,2023,1,high_heat,11.944869397214706,17.908574595424955
95,PL,2023,7,high_heat,22.790931351141133,3.6479747280235664
96,PL,2023,9,high_heat,20.98221718074706,-5.0191016795943035
97,PL,2024,2,high_heat,-13.161886961160056,-5.228846640673183
98,PL,2024,3,high_heat,44.57721689610688,16.02517705627449
99,PL,2024,4,high_heat,32.10220921230829,8.071333502807203
100,PL,2024,5,high_heat,3.2246231961073333,3.200618562499635
101,PL,2024,7,high_heat,3.740564519076854,-1.6579253647296
102,PL,2024,9,high_heat,49.77602544913417,5.371173179427565
103,PL,2024,12,high_heat,37.597788554102095,16.252529386370412
0,CZ,2019,3,low_solar,-19.12416191761019,-4.281146342210318
1,CZ,2020,6,low_solar,28.944881911707967,-2.6015440007398496
2,CZ,2020,10,low_solar,-8.799588431531854,0.26299327454978894
3,CZ,2021,1,low_solar,-11.834640987019457,-0.291548431575297
4,CZ,2022,3,low_solar,-3.2864176553622686,-2.037899586807507
5,CZ,2022,4,low_solar,-2.1928537526554632,-4.38435098068711
6,CZ,2023,4,low_solar,-14.718845218627322,-4.088829059390488
7,CZ,2023,8,low_solar,-32.28627286715641,-4.784706841990381
8,CZ,2023,12,low_solar,-37.242674646845195,2.6237517442332265
9,CZ,2024,2,low_solar,33.81743709992358,2.112420933698896
10,CZ,2024,9,low_solar,-20.994142760845,-2.742312402471846
11,DE,2019,1,low_solar,-20.731883714900974,9.936247650709248
12,DE,2019,3,low_solar,5.588745253755215,5.175614820351434
13,DE,2019,9,low_solar,-4.84316738025168,-9.303499918216382
14,DE,2020,6,low_solar,-12.197296736339771,-11.282947855853607
15,DE,2020,9,low_solar,-27.97306094717419,6.859219621300646
16,DE,2020,10,low_solar,-32.40535818553171,-9.134979388690311
