country,iso_code,height_m,wind_speed_100m_mean,wind_speed_100m_median,wind_speed_100m_std,wind_speed_100m_p10,wind_speed_100m_p90,wind_speed_100m_min,wind_speed_100m_max,wind_speed_100m_valid_cells,power_density_100m_mean,power_density_100m_median,power_density_100m_std,power_density_100m_p10,power_density_100m_p90,power_density_100m_min,power_density_100m_max,power_density_100m_valid_cells
Ireland,IRL,100,10.345,10.639,0.854,8.825,11.1,5.59,18.809,10634733,1168.017,1251.213,252.137,712.111,1407.282,171.066,7021.459,10634733
United Kingdom,GBR,100,9.804,10.104,1.17,7.857,11.099,3.772,19.286,22775169,1053.735,1114.827,330.832,515.105,1434.858,94.805,8544.592,22775169
Chile,CHL,100,9.002,8.606,2.994,5.416,13.634,0.425,57.372,61221317,929.614,620.063,932.343,173.222,2241.801,0.293,185924.109,61221317
Norway,NOR,100,8.843,9.167,1.373,6.651,10.153,0.596,21.725,42320357,872.297,880.648,331.832,402.296,1224.581,1.05,22597.379,42320357
Denmark,DNK,100,9.326,9.527,0.839,8.078,10.27,6.208,10.687,3499671,812.066,841.224,226.086,490.991,1098.389,224.621,1215.052,3499671
Netherlands,NLD,100,8.926,9.466,1.068,7.307,9.935,5.484,10.088,2203227,753.276,872.667,265.38,366.367,1021.532,156.428,1085.439,2203227
Argentina,ARG,100,8.477,8.186,2.531,5.53,11.957,0.236,57.372,65127614,744.762,584.931,715.61,169.121,1579.663,0.051,185924.109,65127614
Canada,CAN,100,7.391,7.388,1.665,5.381,9.518,0.199,26.868,416379951,528.42,457.57,345.802,193.494,986.603,0.039,30792.992,416379951
France,FRA,100,7.073,6.947,1.622,5.096,9.241,0.263,19.424,17019683,472.666,367.459,286.786,174.707,853.911,0.213,12011.371,17019683
Spain,ESP,100,6.812,6.642,1.753,4.625,9.247,0.376,16.882,18050948,470.501,397.814,296.796,150.6,856.129,0.343,12393.112,18050948
Portugal,PRT,100,7.61,8.117,1.23,5.567,8.664,1.77,11.836,6136601,467.14,501.399,163.295,194.105,655.13,13.138,2279.031,6136601
South Africa,ZAF,100,7.259,7.501,1.755,4.86,9.189,0.456,21.946,34932846,458.458,426.939,276.168,125.863,793.886,0.121,11187.068,34932846
Sweden,SWE,100,7.04,6.604,1.381,5.561,9.258,2.774,18.599,16816789,409.214,289.18,262.092,187.354,805.345,35.578,11486.832,16816789
United States,USA,100,6.688,6.671,1.673,4.63,8.879,0.181,26.521,219280837,400.707,322.832,359.743,122.458,763.736,0.03,42660.879,219280837
Australia,AUS,100,7.25,7.029,1.46,5.486,9.23,0.463,19.227,212897206,399.97,300.818,265.482,162.385,757.789,0.892,5980.777,212897206
Greece,GRC,100,6.699,6.948,1.618,4.129,8.526,0.718,17.839,10123344,399.24,390.15,197.664,132.138,624.747,0.641,10403.923,10123344
Germany,DEU,100,6.834,6.674,1.548,5.055,9.559,0.612,13.229,8784233,377.045,307.204,245.437,158.781,850.83,0.683,6051.681,8784233
Italy,ITA,100,5.786,6.072,1.48,3.559,7.429,0.146,19.864,14518621,334.599,336.191,189.04,101.523,523.546,0.062,10655.955,14518621
Finland,FIN,100,6.814,6.409,1.068,5.882,8.928,4.031,13.507,12487093,332.466,244.014,197.024,190.579,723.256,76.516,2625.775,12487093
Poland,POL,100,6.781,6.689,1.009,5.726,7.835,1.918,14.341,7357559,323.925,285.586,169.837,186.789,502.265,14.959,4239.522,7357559
China,CHN,100,5.978,5.909,1.892,3.522,8.311,0.063,31.801,167363166,279.33,227.552,232.302,64.51,525.186,0.001,26002.363,167363166
Türkiye,TUR,100,5.234,5.221,1.413,3.392,7.045,0.129,16.434,17654714,236.432,198.207,159.803,79.979,407.789,0.007,5488.93,17654714
Mexico,MEX,100,5.428,5.537,1.526,3.437,7.288,0.128,22.73,72134184,200.58,177.054,164.278,54.926,353.459,0.01,11330.574,72134184
India,IND,100,5.052,4.915,1.348,3.471,6.938,0.052,27.339,64571181,151.793,116.965,109.407,49.634,309.066,0.001,19359.816,64571181
Brazil,BRA,100,4.696,4.474,1.984,2.164,7.432,0.447,18.286,152214022,139.211,83.342,155.736,10.609,332.637,0.168,7630.913,152214022
