timestamp,fossil_brown_coal_lignite,fossil_hard_coal,hydro_water_reservoir,hydro_pumped_storage,wind_onshore,solar_ac
2014-01-01T00:00:00+01:00,,,,,,
2015-01-01T00:00:00+01:00,,,,,,
2016-01-01T00:00:00+01:00,0.99,0.89,2.17,,0.0,
2017-01-01T00:00:00+01:00,0.99,0.89,2.17,,0.05,
2018-01-01T00:00:00+01:00,0.99,0.89,2.17,,0.09,
2019-01-01T00:00:00+01:00,0.99,0.89,0.71,0.44,0.09,
2020-01-01T00:00:00+01:00,0.99,0.89,0.71,0.44,0.14,
2021-01-01T00:00:00+01:00,1.89,,1.46,0.44,0.13,
2022-01-01T00:00:00+01:00,1.88,,1.46,0.44,0.13,
2023-01-01T00:00:00+01:00,1.88,,1.46,0.44,0.13,0.03
2024-01-01T00:00:00+01:00,1.88,,1.46,0.44,0.31,0.24
2025-01-01T00:00:00+01:00,1.88,,1.46,0.44,0.32,0.34
