timestamp,nuclear,biomass,fossil_oil,fossil_gas,hydro_pumped_storage,others,waste,wind_offshore,wind_onshore,solar_ac
2014-01-01T00:00:00+01:00,5.94,0.57,0.23,6.75,1.31,,0.36,0.71,1.25,2.82
2015-01-01T00:00:00+01:00,5.94,0.59,0.21,6.43,1.31,,0.36,0.71,1.25,2.95
2016-01-01T00:00:00+01:00,5.94,0.6,0.22,6.46,1.31,,0.36,0.88,1.74,2.95
2017-01-01T00:00:00+01:00,5.94,0.6,0.24,6.53,1.31,,0.36,1.18,1.98,2.95
2018-01-01T00:00:00+01:00,5.94,0.62,0.24,6.64,1.31,0.02,0.36,1.55,2.25,3.37
2019-01-01T00:00:00+01:00,5.94,0.65,0.25,6.8,1.31,0.02,0.36,2.25,2.42,3.89
2020-01-01T00:00:00+01:00,5.94,0.67,0.28,7.28,1.31,0.02,0.36,2.25,2.63,4.79
2021-01-01T00:00:00+01:00,5.94,0.7,0.4,6.82,1.31,0.02,0.38,2.25,2.79,4.79
2022-01-01T00:00:00+01:00,4.94,0.73,0.45,6.99,1.31,0.03,0.38,2.26,3.05,6.47
2023-01-01T00:00:00+01:00,3.93,0.73,0.45,6.99,1.31,0.03,0.38,2.26,3.05,8.79
2024-01-01T00:00:00+01:00,3.93,0.73,0.59,8.03,1.31,0.33,0.33,2.26,3.18,10.7
2025-01-01T00:00:00+01:00,2.06,0.85,0.48,8.4,1.31,0.69,0.39,2.26,3.59,11.68
