timestamp,nuclear,biomass,fossil_brown_coal_lignite,fossil_coal_derived_gas,fossil_hard_coal,fossil_oil,fossil_oil_shale,fossil_peat,fossil_gas,geothermal,hydro_water_reservoir,hydro_pumped_storage,marine,others,other_renewables,waste,wind_offshore,wind_onshore,solar_ac
2014-01-01T00:00:00+02:00,2.0,0.02,5.65,,,,,,0.02,,1.57,1.4,,,,,,0.36,0.28
2015-01-01T00:00:00+02:00,2.0,0.05,4.88,,,,,,0.72,,1.54,1.4,,,,,,0.7,1.04
2016-01-01T00:00:00+02:00,2.0,0.07,4.12,,0.36,,,,0.56,,1.81,0.86,,,,0.01,,0.7,1.05
2017-01-01T00:00:00+02:00,2.0,0.07,4.12,,0.36,,,,0.98,,1.81,0.86,,,,0.01,,0.7,1.05
2018-01-01T00:00:00+02:00,2.0,0.07,4.12,,0.36,,,,1.23,,1.81,0.86,,,,0.01,,0.7,1.06
2019-01-01T00:00:00+02:00,2.0,0.07,4.12,,0.36,,,,1.23,,1.81,0.86,,,,0.01,,0.7,1.08
2020-01-01T00:00:00+02:00,2.0,0.08,4.12,,0.36,,,,1.27,,1.81,0.86,,,,0.01,,0.7,1.25
2021-01-01T00:00:00+02:00,2.08,0.07,4.12,0.0,0.36,0.0,0.0,0.0,1.3,0.0,1.81,0.86,0.0,0.0,0.0,0.01,0.0,0.7,1.73
2022-01-01T00:00:00+02:00,2.08,0.07,4.12,0.0,0.36,0.0,0.0,0.0,0.7,0.0,1.81,0.86,0.0,0.0,0.0,0.01,0.0,0.7,3.09
2023-01-01T00:00:00+02:00,2.08,0.07,4.12,0.0,0.36,0.0,0.0,0.0,0.72,0.0,1.81,0.86,0.0,0.0,0.0,0.01,0.0,0.71,4.57
2024-01-01T00:00:00+02:00,2.0,0.06,4.12,0.0,0.34,0.0,0.0,0.0,0.73,0.0,1.81,0.86,0.0,0.0,0.0,0.01,0.0,0.72,6.1
2025-01-01T00:00:00+02:00,2.0,0.06,4.12,0.0,0.33,0.0,0.0,0.0,0.74,0.0,1.81,0.86,0.0,0.0,0.0,0.01,0.0,0.72,7.16
