timestamp,hydro_run_of_river,hydro_water_reservoir,hydro_pumped_storage,hydro_pumped_storage_w_o_natural_inflow,nuclear,conventional_thermal,landfill_gas,waste_incinerators_without_heat_extraction,waste_incinerators_with_heat_extraction,industry,district_heating_plants,small_chp,wind_onshore,solar_dc
2005-01-01T00:00:00+01:00,3.64,7.974,1.383,0.316,3.22,0.075,0.005,0.253,0.04,0.237,0.063,0.146,0.009,0.028
2006-01-01T00:00:00+01:00,3.652,7.962,1.383,0.316,3.22,0.075,0.005,0.261,0.04,0.239,0.063,0.146,0.012,0.03
2007-01-01T00:00:00+01:00,3.658,8.065,1.383,0.316,3.22,0.075,0.002,0.279,0.056,0.229,0.053,0.149,0.012,0.037
2008-01-01T00:00:00+01:00,3.667,8.067,1.383,0.316,3.22,0.075,0.002,0.28,0.056,0.228,0.062,0.149,0.012,0.049
2009-01-01T00:00:00+01:00,3.707,8.073,1.383,0.316,3.238,0.075,0.002,0.275,0.057,0.216,0.095,0.151,0.013,0.079
2010-01-01T00:00:00+01:00,3.768,8.073,1.383,0.456,3.253,0.075,0.001,0.29,0.049,0.217,0.095,0.136,0.018,0.125
2011-01-01T00:00:00+01:00,3.81,8.078,1.383,0.456,3.278,0.075,0.001,0.274,0.083,0.272,0.107,0.135,0.042,0.223
2012-01-01T00:00:00+01:00,3.84,8.081,1.383,0.456,3.278,0.075,0.001,0.276,0.072,0.248,0.107,0.145,0.045,0.437
2013-01-01T00:00:00+01:00,3.854,8.081,1.383,0.456,3.308,0.075,0.001,0.343,0.067,0.222,0.107,0.143,0.049,0.756
2014-01-01T00:00:00+01:00,3.894,7.956,1.383,0.456,3.333,0.075,0.001,0.342,0.056,0.219,0.181,0.147,0.06,1.061
2015-01-01T00:00:00+01:00,3.941,7.966,1.383,0.469,3.333,0.075,0.001,0.342,0.056,0.191,0.181,0.146,0.06,1.394
2016-01-01T00:00:00+01:00,4.004,8.156,2.062,0.527,3.333,0.075,0.001,0.364,0.058,0.188,0.179,0.153,0.06,1.664
2017-01-01T00:00:00+01:00,4.053,8.152,2.562,0.527,3.333,0.075,0.0,0.364,0.058,0.138,0.176,0.15,0.075,1.906
2018-01-01T00:00:00+01:00,4.133,8.223,2.562,0.562,3.333,0.075,0.0,0.364,0.058,0.138,0.173,0.138,0.075,2.173
2019-01-01T00:00:00+01:00,4.162,8.224,2.562,0.562,2.96,0.075,0.0,0.369,0.053,0.132,0.174,0.137,0.075,2.498
2020-01-01T00:00:00+01:00,4.162,8.224,2.562,0.562,2.96,0.075,0.0,0.343,0.078,0.14,0.177,0.14,0.087,2.973
2021-01-01T00:00:00+01:00,4.184,8.224,2.562,0.562,2.96,0.075,0.0,0.294,0.112,0.141,0.197,0.146,0.088,3.655
2022-01-01T00:00:00+01:00,4.237,8.222,3.484,0.562,2.973,0.075,0.0,0.327,0.069,0.141,0.208,0.142,0.088,4.737
2023-01-01T00:00:00+01:00,4.252,8.226,3.493,0.562,2.973,0.325,0.0,0.311,0.085,0.133,0.212,0.142,0.088,6.375
2024-01-01T00:00:00+01:00,4.276,8.257,3.517,0.527,2.973,0.318,0.0,0.257,0.138,0.133,0.212,0.142,0.102,8.17
2025-01-01T00:00:00+01:00,4.319,8.124,3.503,0.529,2.973,0.318,0.0,0.257,0.138,0.133,0.212,0.142,0.109,9.499
