timestamp,biomass,fossil_oil,wind_onshore,solar_ac
2014-01-01T00:00:00+02:00,0.01,1.48,0.16,0.08
2015-01-01T00:00:00+02:00,,,,
2016-01-01T00:00:00+02:00,0.01,1.48,0.16,0.12
2017-01-01T00:00:00+02:00,0.01,1.48,0.16,0.12
2018-01-01T00:00:00+02:00,0.01,1.48,0.16,0.15
2019-01-01T00:00:00+02:00,0.01,1.48,0.16,0.2
2020-01-01T00:00:00+02:00,0.01,1.48,0.16,0.25
2021-01-01T00:00:00+02:00,,,,
2022-01-01T00:00:00+02:00,,,,
2023-01-01T00:00:00+02:00,,,,
2024-01-01T00:00:00+02:00,0.0,1.48,0.16,0.4
2025-01-01T00:00:00+02:00,0.0,1.48,0.17,1.02
