timestamp,nuclear,biomass,fossil_brown_coal_lignite,fossil_coal_derived_gas,fossil_hard_coal,fossil_oil,fossil_gas,hydro_water_reservoir,hydro_pumped_storage,others,other_renewables,waste,wind_onshore,solar_ac
2014-01-01T00:00:00+01:00,4.04,0.0,8.5,0.38,0.9,0.0,1.72,0.65,1.18,0.6,0.0,0.0,0.27,2.05
2015-01-01T00:00:00+01:00,4.04,0.35,8.33,0.38,1.2,0.0,1.23,0.65,1.17,0.0,0.5,0.0,0.28,2.07
2016-01-01T00:00:00+01:00,4.04,0.35,7.93,0.38,1.2,0.0,1.23,0.75,1.17,0.0,0.4,0.1,0.28,2.03
2017-01-01T00:00:00+01:00,4.04,0.35,8.54,0.38,1.2,0.0,1.23,0.75,1.17,0.0,0.4,0.1,0.31,2.04
2018-01-01T00:00:00+01:00,4.04,0.4,8.45,0.38,1.2,0.0,1.23,0.75,1.17,0.0,0.4,0.1,0.32,2.05
2019-01-01T00:00:00+01:00,4.04,0.41,8.15,0.38,1.2,0.0,1.23,0.75,1.17,0.0,0.41,0.1,0.34,2.06
2020-01-01T00:00:00+01:00,4.04,0.41,7.7,0.38,1.2,0.0,1.23,0.75,1.17,0.0,0.41,0.1,0.34,2.05
2021-01-01T00:00:00+01:00,4.04,0.41,7.25,0.38,1.2,0.0,1.24,0.75,1.17,0.0,0.41,0.1,0.34,2.05
2022-01-01T00:00:00+01:00,4.04,0.41,7.16,0.38,1.2,0.0,1.24,0.77,1.17,0.0,0.41,0.1,0.34,2.08
2023-01-01T00:00:00+01:00,4.04,0.41,7.2,0.38,1.2,0.0,1.24,0.77,1.17,0.0,0.46,0.1,0.34,3.55
2024-01-01T00:00:00+01:00,4.04,0.41,7.24,0.38,1.2,0.0,1.24,0.77,1.17,0.0,0.46,0.1,0.37,4.42
2025-01-01T00:00:00+01:00,4.04,0.41,7.04,0.38,0.6,0.0,1.44,0.77,1.17,0.0,0.46,0.1,0.38,5.33
