timestamp,nuclear,fossil_brown_coal_lignite,fossil_hard_coal,fossil_gas,fossil_oil,other_non_renewable,hydro,hydro_pumped_storage,battery_storage_power,battery_storage_capacity,biomass,wind_offshore,wind_offshore_planned_windseeg,wind_onshore,wind_onshore_planned_eeg_2023,solar_dc,solar_ac,solar_planned_eeg_2023
2002-01-01T00:00:00+01:00,23.614,20.304,28.294,20.3,5.3,,4.937,,0.001,0.001,0.721,,,11.976,,0.29,0.278,
2003-01-01T00:00:00+01:00,22.114,20.899,28.624,19.534,5.056,,4.953,,0.001,0.001,0.912,,,14.381,,0.434,0.412,
2004-01-01T00:00:00+01:00,21.471,20.8,30.396,19.384,5.635,,5.186,,0.001,0.001,1.364,,,16.419,,1.086,1.011,
2005-01-01T00:00:00+01:00,21.405,20.642,27.639,20.622,5.457,,5.21,,0.001,0.002,1.819,,,18.248,,2.009,1.875,
2006-01-01T00:00:00+01:00,21.227,20.51,26.959,21.202,5.491,,5.193,,0.001,0.002,2.516,,,20.474,,2.852,2.666,
2007-01-01T00:00:00+01:00,21.333,21.163,27.504,21.303,5.448,,5.137,,0.002,0.002,3.101,,,22.116,,4.103,3.85,
2008-01-01T00:00:00+01:00,21.6,21.019,27.869,22.756,5.351,,5.164,,0.003,0.003,3.504,,,22.794,,6.078,5.707,
2009-01-01T00:00:00+01:00,21.52,21.095,27.289,23.147,5.154,,5.34,,0.003,0.004,3.911,0.035,,25.697,,10.514,9.889,
2010-01-01T00:00:00+01:00,21.52,21.317,28.35,23.758,5.857,,5.407,,0.005,0.006,4.485,0.082,,26.823,,18.095,17.105,
2011-01-01T00:00:00+01:00,12.075,19.984,25.351,26.214,4.79,2.316,5.174,9.273,0.007,0.008,5.529,0.196,,28.579,,26.071,24.651,
2012-01-01T00:00:00+01:00,12.075,21.163,24.804,26.604,4.787,2.349,5.205,9.273,0.011,0.014,5.899,0.284,,30.556,,32.927,31.139,
2013-01-01T00:00:00+01:00,12.075,21.104,25.591,27.744,4.807,2.308,5.277,9.273,0.025,0.034,6.27,0.548,,32.969,,36.059,34.078,
2014-01-01T00:00:00+01:00,12.075,21.104,25.795,28.945,4.827,2.314,5.293,9.273,0.061,0.081,6.799,1.049,,37.621,,37.824,35.721,
2015-01-01T00:00:00+01:00,10.8,21.059,28.256,28.688,4.913,2.326,5.301,9.471,0.103,0.142,6.925,3.382,,41.297,,39.24,37.026,
2016-01-01T00:00:00+01:00,10.8,21.059,27.022,29.984,5.042,2.32,5.314,9.471,0.279,0.344,7.158,4.237,,45.283,,40.739,38.392,
2017-01-01T00:00:00+01:00,10.8,21.061,24.588,30.346,4.8,2.373,5.325,9.483,0.453,0.586,7.496,5.523,,50.174,,42.408,39.928,
2018-01-01T00:00:00+01:00,9.516,21.061,23.299,30.654,4.533,2.377,5.337,9.863,0.726,0.986,7.928,6.513,,52.328,,45.412,42.643,
2019-01-01T00:00:00+01:00,9.516,21.061,22.029,30.49,4.576,2.38,5.346,10.001,1.012,1.445,8.279,7.655,,53.193,,49.421,46.298,
2020-01-01T00:00:00+01:00,8.114,20.707,23.063,31.121,4.561,2.397,5.363,10.001,1.563,2.335,8.658,7.874,,54.414,,54.564,50.976,
2021-01-01T00:00:00+01:00,8.114,19.842,18.357,31.928,4.384,2.396,5.296,10.001,2.42,3.721,8.782,7.874,,56.046,,60.269,56.122,
2022-01-01T00:00:00+01:00,4.056,18.541,18.327,34.058,4.377,2.43,5.41,10.001,4.201,6.35,8.838,8.216,,58.014,,67.846,62.959,
2023-01-01T00:00:00+01:00,0.0,18.362,18.257,35.729,4.315,2.427,5.411,10.001,8.366,12.461,8.879,8.473,,61.013,,83.305,76.948,
2024-01-01T00:00:00+01:00,0.0,15.174,15.389,35.677,3.713,2.433,5.415,9.902,12.676,18.669,8.972,9.215,,63.589,69.0,100.794,92.495,88.0
2025-01-01T00:00:00+01:00,0.0,14.776,15.214,35.346,3.577,2.453,5.415,9.902,16.863,25.443,9.01,9.733,,68.181,,118.046,107.786,
2026-01-01T00:00:00+01:00,0.0,14.776,15.063,35.314,3.535,2.419,5.32,9.902,20.647,32.127,9.042,10.939,,70.68,84.0,128.605,117.093,128.0
