timestamp,biomass,fossil_hard_coal,fossil_oil,fossil_gas,other_renewables,waste,wind_offshore,wind_onshore,solar_ac
2014-01-01T00:00:00+01:00,0.2,4.85,1.05,2.94,0.09,0.36,1.27,3.57,0.6
2015-01-01T00:00:00+01:00,0.2,4.85,1.05,2.94,0.09,0.36,1.27,3.57,0.6
2016-01-01T00:00:00+01:00,0.2,4.85,1.05,2.94,0.09,0.36,1.27,3.57,0.6
2017-01-01T00:00:00+01:00,1.7,3.66,1.01,1.83,0.15,0.38,1.7,4.42,1.0
2018-01-01T00:00:00+01:00,1.72,3.66,1.01,1.81,0.14,0.38,1.7,4.43,1.01
2019-01-01T00:00:00+01:00,1.87,3.66,1.01,1.74,0.14,0.38,1.7,4.4,1.01
2020-01-01T00:00:00+01:00,1.87,3.41,1.01,1.65,0.14,0.38,1.7,4.48,1.3
2021-01-01T00:00:00+01:00,1.87,3.16,1.0,1.62,0.14,0.38,2.31,4.64,1.54
2022-01-01T00:00:00+01:00,1.75,3.02,0.96,1.57,0.14,0.38,2.31,4.71,2.32
2023-01-01T00:00:00+01:00,1.75,3.02,0.96,1.57,0.14,0.38,2.65,4.86,3.73
2024-01-01T00:00:00+01:00,2.22,1.6,0.7,1.63,0.14,0.38,2.64,3.0,3.23
2025-01-01T00:00:00+01:00,2.22,1.6,0.66,1.63,0.14,0.38,2.64,3.0,3.12
