timestamp,nuclear,biomass,fossil_brown_coal_lignite,fossil_coal_derived_gas,fossil_hard_coal,fossil_oil,fossil_oil_shale,fossil_peat,fossil_gas,geothermal,hydro_water_reservoir,hydro_pumped_storage,marine,others,other_renewables,waste,wind_offshore,wind_onshore,solar_ac
2014-01-01T00:00:00+02:00,0.0,0.08,0.0,0.09,0.0,0.0,1.7,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.31,0.0
2015-01-01T00:00:00+02:00,0.0,0.08,0.0,0.09,0.0,0.0,1.98,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.38,0.0
2016-01-01T00:00:00+02:00,0.0,0.09,0.0,0.08,0.0,0.0,1.98,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.38,0.0
2017-01-01T00:00:00+02:00,0.0,0.1,0.0,0.08,0.0,0.0,1.98,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.49,0.0
2018-01-01T00:00:00+02:00,0.0,0.16,0.0,0.05,0.0,0.01,1.97,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.46,0.03
2019-01-01T00:00:00+02:00,0.0,0.16,0.0,0.08,0.0,0.01,1.97,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.33,0.12
2020-01-01T00:00:00+02:00,0.0,0.18,0.0,0.07,0.0,0.0,1.46,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.33,0.16
2021-01-01T00:00:00+02:00,,0.13,,0.02,,0.05,1.37,,0.09,,,,,0.01,,0.02,,0.33,0.37
2022-01-01T00:00:00+02:00,,0.15,,0.08,,,1.33,,0.11,,,,,0.02,,0.02,,0.32,0.51
2023-01-01T00:00:00+02:00,0.0,0.15,0.0,0.08,0.0,0.0,1.33,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.45,0.81
2024-01-01T00:00:00+02:00,0.0,0.15,0.0,0.08,0.0,0.0,1.33,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.68,1.17
2025-01-01T00:00:00+02:00,0.0,0.15,0.0,0.08,0.0,0.0,1.22,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.69,1.23
