timestamp,nuclear,biomass,fossil_hard_coal,fossil_oil,fossil_peat,fossil_gas,others,other_renewables,waste,wind_onshore,solar_ac
2014-01-01T00:00:00+02:00,2.75,2.05,2.79,1.7,1.68,1.61,0.04,0.02,0.07,0.5,
2015-01-01T00:00:00+02:00,2.78,1.53,3.42,0.89,1.02,0.48,1.3,0.08,0.05,1.08,
2016-01-01T00:00:00+02:00,2.78,1.66,2.85,1.43,1.08,1.8,0.56,0.08,0.13,1.43,
2017-01-01T00:00:00+02:00,2.78,1.81,2.28,1.39,1.14,1.86,0.36,0.26,0.16,1.91,
2018-01-01T00:00:00+02:00,2.78,1.8,2.28,1.43,1.14,1.91,0.33,0.26,0.16,2.01,0.0
2019-01-01T00:00:00+02:00,2.79,1.86,2.16,1.3,1.14,1.85,0.44,0.27,0.16,2.14,0.01
2020-01-01T00:00:00+02:00,2.79,1.86,1.68,1.09,1.14,1.85,0.44,0.27,0.16,2.42,0.01
2021-01-01T00:00:00+02:00,2.79,1.9,1.68,1.05,1.12,1.94,0.46,0.32,0.11,3.18,0.01
2022-01-01T00:00:00+02:00,2.79,1.83,1.56,1.05,1.05,1.78,0.44,0.39,0.11,5.12,0.02
2023-01-01T00:00:00+02:00,4.36,1.7,1.41,1.05,1.04,1.74,0.45,0.39,0.09,6.62,0.03
2024-01-01T00:00:00+02:00,4.36,1.94,1.32,1.05,0.85,1.74,0.39,0.36,0.09,8.22,0.05
2025-01-01T00:00:00+02:00,4.37,1.95,1.08,1.05,0.85,1.82,0.39,0.36,0.1,9.33,1.51
