timestamp,nuclear,biomass,fossil_hard_coal,fossil_oil,fossil_gas,geothermal,hydro_water_reservoir,hydro_pumped_storage,marine,others,waste,wind_offshore,wind_onshore,solar_ac
2014-01-01T00:00:00+01:00,63.13,,4.81,6.67,6.12,,8.21,4.96,0.24,0.06,,0.0,10.32,6.19
2015-01-01T00:00:00+01:00,63.13,0.17,2.93,6.67,6.12,,8.2,4.96,0.24,0.06,,0.0,11.76,6.77
2016-01-01T00:00:00+01:00,63.13,0.17,2.93,5.3,6.7,,8.23,4.96,0.24,0.06,,0.0,13.57,7.66
2017-01-01T00:00:00+01:00,63.13,1.84,3.97,6.26,11.81,,8.58,5.02,0.24,0.18,,0.0,12.52,7.17
2018-01-01T00:00:00+01:00,63.13,1.93,3.97,3.27,11.95,,8.28,5.02,0.24,0.11,,,13.61,8.19
2019-01-01T00:00:00+01:00,63.13,1.58,1.81,2.87,12.24,,8.79,5.06,0.25,1.07,0.46,0.01,16.58,9.44
2020-01-01T00:00:00+01:00,61.37,1.58,1.81,2.75,12.22,,8.79,5.06,0.25,1.12,0.46,0.01,17.22,10.21
2021-01-01T00:00:00+01:00,61.37,1.3,1.82,2.76,13.07,0.0,8.79,5.05,0.24,1.16,0.95,0.02,19.52,13.15
2022-01-01T00:00:00+01:00,61.37,1.34,1.82,2.57,12.89,0.0,8.79,5.05,0.24,1.15,0.93,0.49,20.84,14.64
2023-01-01T00:00:00+01:00,61.37,1.41,1.81,2.97,12.77,0.0,8.79,5.06,0.24,0.8,1.03,1.0,21.7,17.79
2024-01-01T00:00:00+01:00,62.99,1.41,1.81,2.98,12.79,0.0,8.79,5.06,0.24,1.02,1.06,1.03,22.91,22.86
2025-01-01T00:00:00+01:00,62.99,1.43,1.81,2.99,12.8,0.0,8.79,5.06,0.24,1.25,1.04,1.53,23.67,28.25
