timestamp,fossil_hard_coal,fossil_gas,hydro_water_reservoir,wind_onshore
2014-01-01T00:00:00+04:00,,,,
2015-01-01T00:00:00+04:00,,,,
2016-01-01T00:00:00+04:00,,,,
2017-01-01T00:00:00+04:00,,,,
2018-01-01T00:00:00+04:00,0.01,0.91,1.99,0.02
2019-01-01T00:00:00+04:00,0.01,0.91,2.38,0.02
2020-01-01T00:00:00+04:00,0.0,1.19,2.38,0.02
2021-01-01T00:00:00+04:00,,1.19,2.38,0.02
2022-01-01T00:00:00+04:00,,1.19,2.38,0.02
2023-01-01T00:00:00+04:00,,1.19,2.39,0.03
2024-01-01T00:00:00+04:00,,1.19,2.39,0.03
2025-01-01T00:00:00+04:00,,1.19,2.39,0.02
