timestamp,biomass,fossil_brown_coal_lignite,fossil_oil,fossil_gas,geothermal,hydro_water_reservoir,hydro_pumped_storage,other_renewables,wind_onshore,solar_ac
2014-01-01T00:00:00+02:00,,4.46,0.72,4.91,0.05,2.46,0.69,0.3,1.61,2.43
2015-01-01T00:00:00+02:00,0.05,3.91,0.0,5.4,0.0,2.4,0.7,0.07,1.88,2.44
2016-01-01T00:00:00+02:00,0.05,3.91,0.0,5.24,0.0,2.4,0.7,0.07,1.88,2.44
2017-01-01T00:00:00+02:00,0.05,3.91,0.0,5.24,0.0,2.4,0.7,0.07,2.23,2.44
2018-01-01T00:00:00+02:00,0.05,3.91,0.0,4.9,0.0,2.4,0.7,0.07,2.36,2.44
2019-01-01T00:00:00+02:00,0.09,3.36,0.0,4.9,0.0,2.4,0.7,0.1,3.15,2.61
2020-01-01T00:00:00+02:00,0.1,2.56,0.0,4.9,0.0,2.4,0.7,0.11,3.76,3.06
2021-01-01T00:00:00+02:00,0.11,2.0,0.0,5.21,0.0,2.4,0.7,0.11,4.15,3.82
2022-01-01T00:00:00+02:00,0.13,2.65,0.0,6.03,0.0,2.4,0.7,0.12,4.55,5.1
2023-01-01T00:00:00+02:00,0.12,2.65,0.0,6.03,0.0,2.4,0.7,0.13,5.07,6.7
2024-01-01T00:00:00+02:00,0.15,1.8,0.0,6.03,0.0,2.4,0.7,0.13,5.22,9.0
2025-01-01T00:00:00+02:00,0.15,1.5,0.0,6.68,0.0,2.4,0.7,0.16,5.46,9.8
