timestamp,biomass,fossil_hard_coal,fossil_oil,fossil_gas,geothermal,hydro_water_reservoir,hydro_pumped_storage,other_renewables,waste,wind_onshore,solar_ac
2014-01-01T00:00:00+01:00,0.02,0.32,0.95,0.74,,1.39,0.28,0.02,0.01,0.43,0.04
2015-01-01T00:00:00+01:00,0.03,0.32,0.95,0.74,,1.39,0.28,0.03,0.01,0.49,0.05
2016-01-01T00:00:00+01:00,0.04,0.32,0.95,0.74,,1.39,0.28,0.04,0.01,0.54,0.05
2017-01-01T00:00:00+01:00,0.05,0.32,0.95,0.74,,1.39,0.28,0.05,0.01,0.58,0.05
2018-01-01T00:00:00+01:00,0.07,0.33,0.94,0.74,0.01,1.44,0.28,0.05,0.01,0.62,0.05
2019-01-01T00:00:00+01:00,0.09,0.33,0.94,0.74,0.01,1.44,0.28,0.05,0.01,0.74,0.05
2020-01-01T00:00:00+01:00,0.11,0.22,0.08,0.74,0.01,1.44,0.28,0.05,0.01,0.8,0.08
2021-01-01T00:00:00+01:00,0.11,0.22,0.08,0.75,0.01,1.45,0.28,0.06,0.01,0.92,0.1
2022-01-01T00:00:00+01:00,0.11,0.22,0.04,0.77,0.01,1.45,0.28,0.08,0.01,0.98,0.14
2023-01-01T00:00:00+01:00,0.11,0.22,0.04,0.89,0.01,1.45,0.28,0.1,0.01,1.21,0.29
2024-01-01T00:00:00+01:00,0.11,0.22,0.04,0.8,0.01,1.45,0.28,0.12,0.01,1.24,0.45
2025-01-01T00:00:00+01:00,0.11,0.22,0.04,0.95,0.01,1.45,0.28,0.12,0.01,1.31,0.62
