timestamp,nuclear,biomass,fossil_brown_coal_lignite,fossil_hard_coal,fossil_oil,fossil_gas,geothermal,hydro_water_reservoir,others,other_renewables,waste,wind_onshore,solar_ac
2014-01-01T00:00:00+01:00,1.89,0.13,1.1,,0.41,4.22,,0.03,,0.07,0.02,0.33,0.01
2015-01-01T00:00:00+01:00,1.89,0.25,1.01,,0.41,4.12,,0.03,,0.06,0.03,0.33,0.03
2016-01-01T00:00:00+01:00,1.89,0.25,1.05,,0.41,4.11,,0.03,,0.06,0.03,0.32,0.07
2017-01-01T00:00:00+01:00,1.9,0.25,1.05,,0.41,4.11,,0.03,,0.07,0.04,0.32,0.34
2018-01-01T00:00:00+01:00,1.9,0.25,1.05,,0.42,4.03,0.0,0.03,,0.07,0.06,0.33,0.94
2019-01-01T00:00:00+01:00,1.9,0.24,1.01,0.04,0.42,4.03,0.0,0.03,,0.07,0.06,0.32,1.41
2020-01-01T00:00:00+01:00,1.91,0.21,1.01,0.04,0.42,4.01,0.0,0.03,,0.07,0.05,0.32,1.83
2021-01-01T00:00:00+01:00,1.92,0.21,1.01,0.04,0.42,3.97,0.0,0.03,,0.07,0.05,0.32,2.52
2022-01-01T00:00:00+01:00,1.92,0.21,0.79,0.04,0.42,3.15,0.0,0.03,0.02,0.07,0.05,0.32,3.3
2023-01-01T00:00:00+01:00,1.92,0.31,0.79,0.04,0.42,3.17,0.0,0.03,0.04,0.07,0.05,0.33,4.03
2024-01-01T00:00:00+01:00,1.92,0.31,0.79,0.04,0.42,2.98,0.0,0.03,0.15,0.07,0.05,0.33,8.28
2025-01-01T00:00:00+01:00,1.92,0.34,0.61,,0.44,3.06,0.0,0.03,0.98,0.08,0.03,0.33,8.85
