timestamp,fossil_hard_coal,fossil_oil,fossil_peat,fossil_gas,geothermal,hydro_pumped_storage,others,wind_onshore
2014-01-01T00:00:00+00:00,0.86,0.81,0.34,3.8,,0.29,0.65,1.91
2015-01-01T00:00:00+00:00,0.86,0.81,0.34,3.8,,0.29,0.65,1.92
2016-01-01T00:00:00+00:00,0.86,1.27,0.34,4.26,0.02,0.29,0.65,1.92
2017-01-01T00:00:00+00:00,0.86,1.27,0.34,4.26,0.02,0.29,0.65,1.92
2018-01-01T00:00:00+00:00,0.86,1.27,0.34,4.26,0.02,0.29,0.65,1.92
2019-01-01T00:00:00+00:00,0.86,1.27,0.34,4.26,0.02,0.29,0.65,1.92
2020-01-01T00:00:00+00:00,0.86,1.27,0.34,4.26,0.02,0.29,0.65,1.92
2021-01-01T00:00:00+00:00,0.86,1.27,0.34,4.26,0.02,0.29,0.65,1.92
2022-01-01T00:00:00+00:00,0.86,1.27,0.34,4.26,0.02,0.29,0.65,1.92
2023-01-01T00:00:00+00:00,0.86,1.27,0.34,4.26,0.02,0.29,0.65,1.92
