timestamp,biomass,fossil_brown_coal_lignite,fossil_coal_derived_gas,fossil_hard_coal,fossil_oil,fossil_peat,fossil_gas,geothermal,hydro_water_reservoir,hydro_pumped_storage,marine,others,other_renewables,waste,wind_offshore,wind_onshore,solar_ac
2014-01-01T00:00:00+01:00,0.93,0.0,0.41,1.36,5.02,0.0,20.8,0.87,6.36,4.71,0.0,37.82,0.0,0.12,0.0,8.46,4.98
2015-01-01T00:00:00+01:00,1.61,0.0,0.77,6.39,8.8,0.0,29.92,0.87,4.23,7.06,0.0,13.91,0.0,0.25,0.0,8.74,4.77
2016-01-01T00:00:00+01:00,1.62,0.0,0.95,7.9,4.93,0.0,39.87,0.87,4.38,7.16,0.0,1.71,0.0,0.24,0.0,9.02,4.66
2017-01-01T00:00:00+01:00,1.35,0.0,2.02,6.03,2.48,0.0,39.1,0.87,4.73,6.45,0.0,5.79,0.0,0.14,0.0,9.26,4.72
2018-01-01T00:00:00+01:00,1.54,0.0,1.81,4.85,1.44,0.0,46.32,0.87,3.86,7.57,0.0,0.99,0.0,0.13,0.0,9.62,4.72
2019-01-01T00:00:00+01:00,1.55,0.0,1.76,7.62,1.49,0.0,42.52,0.87,4.46,7.28,0.0,1.39,0.0,0.12,0.0,10.22,4.87
2020-01-01T00:00:00+01:00,1.59,0.0,2.06,6.99,1.48,0.0,41.92,0.87,4.45,7.28,0.0,0.84,0.0,0.12,0.0,10.3,4.98
2021-01-01T00:00:00+01:00,1.55,0.0,2.04,6.38,1.49,0.0,41.96,0.87,4.44,7.26,0.0,0.82,0.0,0.12,0.0,10.66,5.14
2022-01-01T00:00:00+01:00,1.53,0.0,2.07,5.58,1.54,0.0,44.22,0.87,4.44,7.26,0.0,0.85,0.0,0.12,0.03,11.2,5.43
2023-01-01T00:00:00+01:00,1.54,0.0,2.07,5.58,1.56,0.0,45.16,0.87,4.54,7.26,0.0,0.33,0.0,0.67,0.03,11.65,5.93
2024-01-01T00:00:00+01:00,1.54,0.0,2.08,5.23,1.55,0.0,45.55,0.87,4.55,7.24,0.0,0.44,0.0,0.67,0.03,12.23,8.92
2025-01-01T00:00:00+01:00,1.47,0.0,2.04,4.7,1.55,0.0,48.47,0.87,4.5,7.25,,0.93,,0.07,0.03,12.88,11.87
