timestamp,biomass,fossil_oil,fossil_gas,hydro_pumped_storage,others,other_renewables,waste,wind_onshore,solar_ac
2014-01-01T00:00:00+02:00,0.03,0.16,2.65,0.9,0.15,0.07,0.03,0.28,0.07
2015-01-01T00:00:00+02:00,0.06,0.16,1.72,0.9,0.04,,0.02,0.37,0.07
2016-01-01T00:00:00+02:00,0.1,0.16,1.66,0.9,0.04,0.08,0.02,0.43,0.08
2017-01-01T00:00:00+02:00,0.1,0.0,1.87,0.9,0.04,0.0,0.02,0.51,0.08
2018-01-01T00:00:00+02:00,0.1,0.0,1.71,0.9,0.14,0.0,0.02,0.52,0.08
2019-01-01T00:00:00+02:00,0.1,0.0,1.77,0.9,0.14,0.0,0.02,0.53,0.1
2020-01-01T00:00:00+02:00,0.1,0.0,1.89,0.9,0.04,0.0,0.05,0.54,0.17
2021-01-01T00:00:00+02:00,0.1,0.0,1.53,0.9,0.04,0.0,0.07,0.67,0.26
2022-01-01T00:00:00+02:00,0.1,0.0,1.52,0.9,0.04,0.0,0.07,0.81,0.58
2023-01-01T00:00:00+02:00,0.2,0.0,1.5,0.9,0.04,0.0,0.07,1.29,1.16
2024-01-01T00:00:00+02:00,0.2,0.0,1.5,0.9,0.04,0.0,0.07,1.68,1.79
2025-01-01T00:00:00+02:00,0.19,0.0,1.6,0.9,0.02,0.0,0.05,2.51,3.02
