timestamp,biomass,fossil_gas,hydro_water_reservoir,wind_onshore,solar_ac
2014-01-01T00:00:00+02:00,0.08,1.14,0.0,0.05,
2015-01-01T00:00:00+02:00,0.1,1.1,,0.05,
2016-01-01T00:00:00+02:00,0.11,1.12,,0.05,
2017-01-01T00:00:00+02:00,0.1,1.12,,0.05,
2018-01-01T00:00:00+02:00,0.13,1.11,,0.06,0.01
2019-01-01T00:00:00+02:00,0.14,1.03,,0.07,0.01
2020-01-01T00:00:00+02:00,0.15,1.02,,0.08,0.01
2021-01-01T00:00:00+02:00,0.16,1.16,,0.09,0.01
2022-01-01T00:00:00+02:00,0.18,1.16,,0.16,0.06
2023-01-01T00:00:00+02:00,0.17,1.11,,0.14,0.3
2024-01-01T00:00:00+02:00,0.17,1.11,,0.14,0.45
2025-01-01T00:00:00+02:00,0.15,1.15,,0.14,1.14
