timestamp,fossil_brown_coal_lignite,fossil_hard_coal,hydro_water_reservoir,wind_onshore
2014-01-01T00:00:00+01:00,,0.21,0.65,
2015-01-01T00:00:00+01:00,,0.21,0.65,
2016-01-01T00:00:00+01:00,,0.21,0.66,0.07
2017-01-01T00:00:00+01:00,0.21,0.21,0.66,0.07
2018-01-01T00:00:00+01:00,0.21,,0.34,0.12
2019-01-01T00:00:00+01:00,0.21,,0.34,0.12
2020-01-01T00:00:00+01:00,0.21,,0.34,0.12
2021-01-01T00:00:00+01:00,0.21,,0.34,0.12
2022-01-01T00:00:00+01:00,0.21,,0.34,0.12
2023-01-01T00:00:00+01:00,0.21,,0.34,0.12
2024-01-01T00:00:00+01:00,0.21,,0.34,0.12
2025-01-01T00:00:00+01:00,0.21,,0.34,0.17
