timestamp,biomass,fossil_brown_coal_lignite,fossil_oil,fossil_gas,hydro_water_reservoir,wind_onshore,solar_ac
2014-01-01T00:00:00+01:00,,,,,,,
2015-01-01T00:00:00+01:00,,0.82,0.16,0.25,0.51,0.04,
2016-01-01T00:00:00+01:00,,0.82,0.16,0.25,0.51,0.04,
2017-01-01T00:00:00+01:00,,0.82,0.16,0.25,0.51,0.04,
2018-01-01T00:00:00+01:00,,0.82,0.16,0.25,0.51,0.04,
2019-01-01T00:00:00+01:00,,0.82,0.16,0.25,0.51,0.04,
2020-01-01T00:00:00+01:00,,0.82,0.16,0.25,0.51,0.04,
2021-01-01T00:00:00+01:00,0.01,0.82,0.16,0.25,0.64,0.04,0.02
2022-01-01T00:00:00+01:00,0.01,0.82,0.21,0.25,0.64,0.04,0.02
2023-01-01T00:00:00+01:00,0.01,0.82,0.21,0.25,0.64,0.12,0.16
2024-01-01T00:00:00+01:00,0.01,0.82,0.21,0.25,0.64,0.12,0.16
2025-01-01T00:00:00+01:00,0.01,0.82,0.21,0.25,0.64,0.12,0.16
