timestamp,biomass,fossil_brown_coal_lignite,fossil_coal_derived_gas,fossil_hard_coal,fossil_oil,fossil_gas,hydro_water_reservoir,hydro_pumped_storage,others,wind_onshore,solar_ac
2014-01-01T00:00:00+01:00,0.38,8.43,0.16,19.37,0.34,0.83,0.16,1.77,,3.76,0.01
2015-01-01T00:00:00+01:00,0.43,8.48,0.16,18.48,0.34,1.3,0.16,1.77,,5.49,0.08
2016-01-01T00:00:00+01:00,0.5,8.21,0.16,18.09,0.34,1.44,0.16,1.77,,6.03,0.19
2017-01-01T00:00:00+01:00,0.6,8.56,0.16,20.08,0.42,2.14,0.16,1.78,,5.79,0.23
2018-01-01T00:00:00+01:00,0.85,8.01,0.27,22.26,0.42,2.11,0.16,1.78,,5.81,0.43
2019-01-01T00:00:00+01:00,0.88,7.68,0.27,22.29,0.36,2.54,0.16,1.78,,5.95,1.31
2020-01-01T00:00:00+01:00,0.88,7.6,0.27,20.92,0.36,2.56,0.16,1.79,,6.57,3.47
2021-01-01T00:00:00+01:00,0.65,7.56,0.28,19.07,0.39,3.81,0.46,1.59,1.52,7.95,6.66
2022-01-01T00:00:00+01:00,0.66,7.56,0.28,19.01,0.39,3.79,0.47,1.59,1.52,8.98,10.64
2023-01-01T00:00:00+01:00,0.66,7.56,0.27,18.83,0.39,5.16,0.47,1.59,1.64,9.58,14.61
2024-01-01T00:00:00+01:00,0.64,6.95,0.47,18.54,0.39,5.34,0.47,1.52,1.74,10.3,17.82
2025-01-01T00:00:00+01:00,0.7,6.95,0.5,18.54,0.41,5.43,0.47,1.52,1.98,10.7,20.73
