timestamp,biomass,fossil_brown_coal_lignite,fossil_gas,hydro_water_reservoir,hydro_pumped_storage,others,waste,wind_onshore,solar_ac
2014-01-01T00:00:00+01:00,,5.57,,0.42,0.61,0.35,,,
2015-01-01T00:00:00+01:00,,5.57,0.0,0.42,0.61,0.4,,,
2016-01-01T00:00:00+01:00,0.01,5.64,0.0,0.37,0.64,0.43,,0.02,0.0
2017-01-01T00:00:00+01:00,0.01,5.67,0.0,0.37,0.64,0.43,,0.02,0.0
2018-01-01T00:00:00+01:00,0.01,5.6,0.29,0.34,0.64,0.02,,0.4,0.0
2019-01-01T00:00:00+01:00,0.01,5.28,0.29,0.47,0.64,0.03,,0.4,0.0
2020-01-01T00:00:00+01:00,0.0,5.66,0.3,0.47,0.64,0.02,,0.43,0.0
2021-01-01T00:00:00+01:00,0.0,5.66,0.49,0.47,0.64,0.03,,0.53,0.0
2022-01-01T00:00:00+01:00,0.0,6.01,0.61,0.49,0.64,0.03,0.03,0.53,0.0
2023-01-01T00:00:00+01:00,0.0,6.01,0.61,0.48,0.64,0.03,0.03,0.65,0.03
2024-01-01T00:00:00+01:00,0.0,6.12,0.61,0.48,0.64,0.03,0.03,0.74,0.07
2025-01-01T00:00:00+01:00,0.0,6.01,0.61,0.49,0.64,0.03,0.03,1.11,0.19
