timestamp,nuclear,hydro_water_reservoir,others,wind_onshore,solar_ac
2014-01-01T00:00:00+01:00,9.53,15.96,8.01,3.5,
2015-01-01T00:00:00+01:00,8.89,15.92,8.38,5.49,
2016-01-01T00:00:00+01:00,9.08,15.94,8.04,5.96,
2017-01-01T00:00:00+01:00,8.6,15.95,7.87,6.25,
2018-01-01T00:00:00+01:00,8.59,16.3,8.44,7.51,
2019-01-01T00:00:00+01:00,7.71,16.32,8.83,9.65,
2020-01-01T00:00:00+01:00,6.87,16.33,7.98,10.02,
2021-01-01T00:00:00+01:00,6.9,16.3,8.4,12.1,
2022-01-01T00:00:00+01:00,6.9,16.3,9.0,14.7,
2023-01-01T00:00:00+01:00,6.9,16.3,6.6,16.7,3.2
2024-01-01T00:00:00+01:00,6.9,16.4,6.7,18.0,5.0
2025-01-01T00:00:00+01:00,6.9,16.4,6.7,18.0,5.0
