timestamp,nuclear,biomass,fossil_brown_coal_lignite,fossil_hard_coal,fossil_oil,fossil_gas,hydro_water_reservoir,hydro_pumped_storage,others,other_renewables,wind_onshore,solar_ac
2014-01-01T00:00:00+01:00,1.94,0.26,0.57,0.44,0.2,1.09,0.42,0.92,0.42,0.11,0.0,0.53
2015-01-01T00:00:00+01:00,1.94,0.22,0.46,0.22,0.26,1.12,0.42,0.92,0.44,0.12,0.0,0.53
2016-01-01T00:00:00+01:00,1.94,0.22,0.33,0.22,0.26,1.11,0.42,0.92,0.45,0.12,0.0,0.53
2017-01-01T00:00:00+01:00,1.94,0.22,0.34,0.22,0.26,1.11,0.42,0.92,0.44,0.12,0.0,0.53
2018-01-01T00:00:00+01:00,1.94,0.21,0.32,0.22,0.26,1.15,0.42,0.92,0.42,0.12,0.0,0.53
2019-01-01T00:00:00+01:00,1.94,0.22,0.31,0.0,0.26,1.15,0.42,0.92,0.64,0.12,0.0,0.53
2020-01-01T00:00:00+01:00,2.0,0.23,0.28,0.0,0.26,1.18,0.42,0.92,0.63,0.12,0.0,0.53
2021-01-01T00:00:00+01:00,2.0,0.21,0.27,0.0,0.26,1.18,0.42,0.92,0.63,0.11,0.0,0.59
2022-01-01T00:00:00+01:00,2.47,0.21,0.27,0.0,0.27,1.19,0.42,0.92,0.6,0.12,0.0,0.84
2023-01-01T00:00:00+01:00,2.47,0.22,0.06,0.0,0.26,1.19,0.42,0.92,0.32,0.12,0.0,1.1
2024-01-01T00:00:00+01:00,2.47,0.21,0.06,0.0,0.26,1.19,0.42,0.92,0.32,0.14,0.0,1.34
