time,temperature_2m_max,precipitation_sum,shortwave_radiation_sum,wind_speed_10m_mean,soil_moisture_28_to_100cm_mean,latitude,longitude
2018-01-01,8.4,0.1,2.86,20.9,0.397,51.0,15.0
2018-01-02,4.5,3.0,0.79,16.4,0.398,51.0,15.0
2018-01-03,5.2,15.7,1.5,27.2,0.398,51.0,15.0
2018-01-04,7.0,1.5,2.55,22.9,0.401,51.0,15.0
2018-01-05,8.1,0.9,2.54,19.1,0.404,51.0,15.0
2018-01-06,9.2,0.1,3.93,8.6,0.405,51.0,15.0
2018-01-07,5.2,2.2,0.72,17.3,0.406,51.0,15.0
2018-01-08,3.7,0.0,3.01,18.1,0.405,51.0,15.0
2018-01-09,9.7,0.4,3.57,20.1,0.404,51.0,15.0
2018-01-10,6.8,2.4,1.73,13.4,0.403,51.0,15.0
2018-01-11,5.9,5.1,1.3,5.0,0.402,51.0,15.0
2018-01-12,4.0,0.1,1.56,10.7,0.401,51.0,15.0
2018-01-13,1.4,0.0,3.48,15.4,0.4,51.0,15.0
2018-01-14,1.0,0.0,4.73,8.8,0.4,51.0,15.0
2018-01-15,0.3,0.0,4.01,26.1,0.399,51.0,15.0
2018-01-16,3.1,2.5,4.34,29.9,0.398,51.0,15.0
2018-01-17,2.0,3.3,2.8,16.4,0.397,51.0,15.0
2018-01-18,5.3,5.2,2.05,30.1,0.396,51.0,15.0
2018-01-19,3.1,0.9,2.93,10.4,0.395,51.0,15.0
2018-01-20,2.1,0.5,3.6,12.8,0.395,51.0,15.0
2018-01-21,1.3,0.0,4.05,6.7,0.393,51.0,15.0
2018-01-22,0.3,1.6,4.13,13.4,0.392,51.0,15.0
2018-01-23,3.0,1.9,0.95,10.3,0.391,51.0,15.0
2018-01-24,7.1,1.4,2.99,26.5,0.391,51.0,15.0
2018-01-25,8.1,0.0,3.75,25.2,0.391,51.0,15.0
2018-01-26,5.8,0.3,3.25,17.2,0.39,51.0,15.0
2018-01-27,5.4,5.4,0.88,9.5,0.389,51.0,15.0
2018-01-28,7.9,1.4,1.65,21.9,0.389,51.0,15.0
2018-01-29,10.7,1.8,4.1,22.4,0.388,51.0,15.0
2018-01-30,6.6,1.7,3.96,18.8,0.388,51.0,15.0
2018-01-31,7.2,2.3,3.33,23.9,0.387,51.0,15.0
2018-02-01,5.9,5.0,2.82,12.2,0.387,51.0,15.0
2018-02-02,4.5,0.0,6.49,16.2,0.387,51.0,15.0
2018-02-03,4.0,0.1,5.1,9.4,0.387,51.0,15.0
2018-02-04,2.5,0.1,5.61,6.9,0.388,51.0,15.0
2018-02-05,0.3,0.5,5.73,10.1,0.389,51.0,15.0
2018-02-06,0.2,0.0,7.34,6.3,0.389,51.0,15.0
2018-02-07,2.3,0.0,5.32,6.1,0.388,51.0,15.0
2018-02-08,0.7,0.0,4.6,7.9,0.387,51.0,15.0
2018-02-09,2.6,0.0,7.52,6.6,0.387,51.0,15.0
2018-02-10,2.1,0.0,5.02,8.0,0.386,51.0,15.0
2018-02-11,3.8,0.1,5.25,18.2,0.385,51.0,15.0
2018-02-12,4.2,3.1,6.77,9.2,0.384,51.0,15.0
2018-02-13,2.7,0.2,7.92,5.9,0.384,51.0,15.0
2018-02-14,3.0,0.0,8.09,7.5,0.383,51.0,15.0
2018-02-15,3.2,0.0,8.07,14.5,0.38,51.0,15.0
2018-02-16,7.5,1.6,8.68,11.9,0.379,51.0,15.0
2018-02-17,4.1,0.0,6.14,6.5,0.379,51.0,15.0
2018-02-18,2.0,0.2,5.1,5.8,0.377,51.0,15.0
2018-02-19,3.5,0.0,8.15,7.1,0.376,51.0,15.0
2018-02-20,4.0,0.0,8.37,9.2,0.375,51.0,15.0
2018-02-21,2.3,0.0,10.41,16.3,0.374,51.0,15.0
