time,temperature_2m_max,precipitation_sum,shortwave_radiation_sum,wind_speed_10m_mean,soil_moisture_28_to_100cm_mean,latitude,longitude
2018-01-01,9.9,2.6,2.15,23.7,0.387,54.0,15.0
2018-01-02,4.7,3.0,1.43,11.4,0.386,54.0,15.0
2018-01-03,4.9,12.3,0.38,22.5,0.386,54.0,15.0
2018-01-04,5.5,4.1,1.62,21.1,0.389,54.0,15.0
2018-01-05,6.9,5.6,0.94,22.7,0.394,54.0,15.0
2018-01-06,6.0,3.4,1.8,14.5,0.397,54.0,15.0
2018-01-07,2.5,0.0,2.71,10.9,0.398,54.0,15.0
2018-01-08,-1.7,0.0,2.33,5.8,0.398,54.0,15.0
2018-01-09,3.8,0.9,3.37,23.7,0.397,54.0,15.0
2018-01-10,5.0,2.3,1.97,14.2,0.397,54.0,15.0
2018-01-11,2.1,4.0,1.69,11.2,0.396,54.0,15.0
2018-01-12,1.6,0.1,1.61,14.7,0.397,54.0,15.0
2018-01-13,-1.1,0.0,1.95,15.9,0.397,54.0,15.0
2018-01-14,-1.0,0.0,3.57,16.0,0.397,54.0,15.0
2018-01-15,0.2,0.0,3.87,25.4,0.397,54.0,15.0
2018-01-16,3.5,4.9,1.54,21.9,0.397,54.0,15.0
2018-01-17,2.0,1.2,2.11,17.8,0.396,54.0,15.0
2018-01-18,2.5,9.4,1.51,20.0,0.396,54.0,15.0
2018-01-19,2.2,2.1,2.8,11.4,0.395,54.0,15.0
2018-01-20,2.0,1.0,2.86,9.7,0.394,54.0,15.0
2018-01-21,2.1,0.4,3.35,5.1,0.395,54.0,15.0
2018-01-22,0.7,0.0,3.21,16.4,0.396,54.0,15.0
2018-01-23,2.1,0.0,4.51,15.1,0.395,54.0,15.0
2018-01-24,9.2,1.7,2.74,25.5,0.394,54.0,15.0
2018-01-25,9.6,0.4,2.47,16.1,0.394,54.0,15.0
2018-01-26,5.9,4.6,0.95,5.3,0.393,54.0,15.0
2018-01-27,5.6,0.5,2.37,14.0,0.393,54.0,15.0
2018-01-28,7.8,4.1,3.64,29.6,0.393,54.0,15.0
2018-01-29,9.5,7.8,0.84,30.3,0.393,54.0,15.0
2018-01-30,5.4,0.4,3.8,30.0,0.395,54.0,15.0
2018-01-31,7.6,8.0,1.51,21.3,0.396,54.0,15.0
2018-02-01,5.0,1.2,4.76,17.1,0.398,54.0,15.0
